time,lat,lon,vmax,mslp
2003-06-17 00:00:00,15.9,-103.2,25,1007
2003-06-17 03:00:00,16.1,-103.2,28,1007
2003-06-17 06:00:00,16.2,-103.3,30,1006
2003-06-17 09:00:00,16.3,-103.4,30,1005
2003-06-17 12:00:00,16.4,-103.4,30,1004
2003-06-17 15:00:00,16.5,-103.5,33,1003
2003-06-17 18:00:00,16.5,-103.5,35,1001
2003-06-17 21:00:00,16.5,-103.5,40,1001
2003-06-18 00:00:00,16.6,-103.6,45,1000
2003-06-18 03:00:00,16.7,-103.7,45,1000
2003-06-18 06:00:00,16.7,-103.8,45,1000
2003-06-18 09:00:00,16.7,-103.9,45,1000
2003-06-18 12:00:00,16.7,-104.0,45,1000
2003-06-18 15:00:00,16.7,-104.2,48,999
2003-06-18 18:00:00,16.7,-104.3,50,997
2003-06-18 21:00:00,16.7,-104.4,48,998
2003-06-19 00:00:00,16.6,-104.5,45,998
2003-06-19 03:00:00,16.5,-104.6,45,999
2003-06-19 06:00:00,16.5,-104.6,45,1000
2003-06-19 09:00:00,16.5,-104.6,45,1000
2003-06-19 12:00:00,16.4,-104.7,45,1000
2003-06-19 15:00:00,16.3,-104.8,45,1000
2003-06-19 18:00:00,16.1,-104.9,45,1000
2003-06-19 21:00:00,16.0,-105.0,43,1001
2003-06-20 00:00:00,15.9,-105.1,40,1002
2003-06-20 03:00:00,15.8,-105.2,38,1003
2003-06-20 06:00:00,15.7,-105.4,35,1004
2003-06-20 09:00:00,15.6,-105.5,35,1004
2003-06-20 12:00:00,15.6,-105.7,35,1004
2003-06-20 15:00:00,15.6,-105.8,33,1005
2003-06-20 18:00:00,15.5,-106.0,30,1006
2003-06-20 21:00:00,15.4,-106.2,28,1006
2003-06-21 00:00:00,15.3,-106.3,25,1006
2003-06-21 03:00:00,15.3,-106.3,25,1007
2003-06-21 06:00:00,15.4,-106.2,25,1007
2003-06-21 09:00:00,15.5,-106.2,25,1008
2003-06-21 12:00:00,15.5,-106.1,25,1008
2003-06-21 15:00:00,15.5,-106.1,25,1008
2003-06-21 18:00:00,15.5,-106.0,25,1008
2003-06-21 21:00:00,15.5,-105.9,25,1009
2003-06-22 00:00:00,15.6,-105.7,25,1009
2003-06-22 03:00:00,15.7,-105.5,25,1010
2003-06-22 06:00:00,15.7,-105.2,25,1010
2003-06-22 09:00:00,15.7,-105.0,23,1010
2003-06-22 12:00:00,15.8,-104.9,20,1009
2003-06-22 15:00:00,15.9,-104.7,20,1009
2003-06-22 18:00:00,15.9,-104.5,20,1009
2003-06-22 21:00:00,16.0,-104.3,20,1009
2003-06-23 00:00:00,16.0,-104.1,20,1009
2003-06-23 03:00:00,16.0,-104.0,20,1009
2003-06-23 06:00:00,16.1,-103.9,20,1009
2003-06-23 09:00:00,16.1,-103.8,20,1009
2003-06-23 12:00:00,16.2,-103.8,20,1009
2003-06-23 15:00:00,16.3,-103.8,20,1009
2003-06-23 18:00:00,16.4,-103.7,20,1009
2003-06-23 21:00:00,16.5,-103.6,20,1009
2003-06-24 00:00:00,16.6,-103.6,20,1009
2003-06-24 03:00:00,16.8,-103.7,20,1009
2003-06-24 06:00:00,17.1,-103.8,20,1009
2003-06-24 09:00:00,17.3,-104.0,20,1009
2003-06-24 12:00:00,17.5,-104.3,20,1008
