time,lat,lon,vmax,mslp
2003-07-17 18:00:00,14.0,-105.3,25,1009
2003-07-17 21:00:00,14.2,-106.1,28,1009
2003-07-18 00:00:00,14.3,-107.0,30,1008
2003-07-18 03:00:00,14.4,-107.9,33,1007
2003-07-18 06:00:00,14.6,-108.7,35,1005
2003-07-18 09:00:00,14.7,-109.4,40,1003
2003-07-18 12:00:00,14.9,-110.1,45,1000
2003-07-18 15:00:00,15.1,-110.8,43,1001
2003-07-18 18:00:00,15.2,-111.6,40,1002
2003-07-18 21:00:00,15.3,-112.4,40,1002
2003-07-19 00:00:00,15.3,-113.2,40,1002
2003-07-19 03:00:00,15.3,-114.0,40,1002
2003-07-19 06:00:00,15.4,-114.7,40,1002
2003-07-19 09:00:00,15.5,-115.4,40,1003
2003-07-19 12:00:00,15.5,-116.1,40,1003
2003-07-19 15:00:00,15.5,-116.8,38,1004
2003-07-19 18:00:00,15.5,-117.6,35,1005
2003-07-19 21:00:00,15.5,-118.4,35,1006
2003-07-20 00:00:00,15.4,-119.2,35,1006
2003-07-20 03:00:00,15.3,-120.0,33,1007
2003-07-20 06:00:00,15.2,-120.7,30,1008
2003-07-20 09:00:00,15.2,-121.2,30,1009
2003-07-20 12:00:00,15.2,-121.7,30,1009
2003-07-20 15:00:00,15.2,-122.2,30,1009
2003-07-20 18:00:00,15.2,-122.6,30,1009
2003-07-20 21:00:00,15.3,-123.1,30,1009
2003-07-21 00:00:00,15.4,-123.6,30,1009
2003-07-21 03:00:00,15.5,-124.2,30,1009
2003-07-21 06:00:00,15.6,-124.8,30,1009
2003-07-21 09:00:00,15.7,-125.5,30,1009
2003-07-21 12:00:00,15.8,-126.2,30,1009
2003-07-21 15:00:00,15.8,-127.0,30,1009
2003-07-21 18:00:00,15.9,-127.7,30,1009
2003-07-21 21:00:00,16.0,-128.4,30,1009
2003-07-22 00:00:00,16.1,-129.1,30,1009
2003-07-22 03:00:00,16.2,-129.7,28,1010
2003-07-22 06:00:00,16.4,-130.3,25,1010
2003-07-22 09:00:00,16.5,-130.8,25,1010
2003-07-22 12:00:00,16.7,-131.4,25,1010
2003-07-22 15:00:00,16.9,-132.1,25,1010
2003-07-22 18:00:00,17.1,-132.8,25,1010
2003-07-22 21:00:00,17.3,-133.6,25,1010
2003-07-23 00:00:00,17.5,-134.5,25,1010
2003-07-23 03:00:00,17.6,-135.3,25,1010
2003-07-23 06:00:00,17.6,-136.1,25,1010
2003-07-23 09:00:00,17.6,-136.9,23,1010
2003-07-23 12:00:00,17.6,-137.6,20,1010
2003-07-23 15:00:00,17.6,-138.3,20,1010
2003-07-23 18:00:00,17.7,-139.0,20,1010
2003-07-23 21:00:00,17.7,-139.7,20,1010
2003-07-24 00:00:00,17.8,-140.5,20,1010
2003-07-24 03:00:00,17.8,-141.4,20,1010
2003-07-24 06:00:00,17.9,-142.4,20,1010
2003-07-24 09:00:00,18.0,-143.4,20,1010
2003-07-24 12:00:00,18.0,-144.5,20,1010
