time,lat,lon,vmax,mslp
2003-09-23 18:00:00,14.5,139.6,25.0,1002.0
2003-09-23 21:00:00,14.8,139.3,25.0,1002.0
2003-09-24 00:00:00,15.1,138.9,25.0,1002.0
2003-09-24 03:00:00,15.4,138.5,25.0,1002.0
2003-09-24 06:00:00,15.6,138.1,25.0,1002.0
2003-09-24 09:00:00,15.7,137.6,25.0,1002.0
2003-09-24 12:00:00,15.9,137.1,25.0,1002.0
2003-09-24 15:00:00,16.3,136.6,28.0,1001.0
2003-09-24 18:00:00,16.6,136.2,30.0,1000.0
2003-09-24 21:00:00,16.7,135.7,30.0,1000.0
2003-09-25 00:00:00,16.6,135.4,30.0,1000.0
2003-09-25 03:00:00,16.2,135.4,30.0,1000.0
2003-09-25 06:00:00,15.8,135.6,30.0,1000.0
2003-09-25 09:00:00,16.0,135.9,30.0,1000.0
2003-09-25 12:00:00,16.4,136.1,30.0,1000.0
2003-09-25 15:00:00,16.8,136.2,30.0,1000.0
2003-09-25 18:00:00,17.2,136.2,30.0,1000.0
2003-09-25 21:00:00,17.6,136.3,28.0,1001.0
2003-09-26 00:00:00,17.9,136.4,25.0,1002.0
2003-09-26 03:00:00,18.2,136.5,25.0,1000.0
2003-09-26 06:00:00,18.5,136.7,25.0,998.0
2003-09-26 09:00:00,18.9,137.0,28.0,998.0
2003-09-26 12:00:00,19.3,137.4,30.0,998.0
2003-09-26 15:00:00,19.7,137.8,33.0,998.0
2003-09-26 18:00:00,20.1,138.1,35.0,997.0
2003-09-26 21:00:00,20.6,138.4,43.0,992.0
2003-09-27 00:00:00,21.2,138.7,50.0,987.0
2003-09-27 03:00:00,21.8,139.0,55.0,984.0
2003-09-27 06:00:00,22.3,139.3,60.0,980.0
2003-09-27 09:00:00,22.8,139.5,60.0,980.0
2003-09-27 12:00:00,23.3,139.7,60.0,980.0
2003-09-27 15:00:00,23.7,139.9,60.0,980.0
2003-09-27 18:00:00,24.1,140.0,60.0,980.0
2003-09-27 21:00:00,24.6,140.2,60.0,980.0
2003-09-28 00:00:00,25.0,140.3,60.0,980.0
2003-09-28 03:00:00,25.4,140.5,60.0,980.0
2003-09-28 06:00:00,25.7,140.6,60.0,980.0
2003-09-28 09:00:00,26.0,140.8,65.0,976.0
2003-09-28 12:00:00,26.3,140.9,70.0,972.0
2003-09-28 15:00:00,26.6,141.1,75.0,968.0
2003-09-28 18:00:00,27.0,141.2,80.0,963.0
2003-09-28 21:00:00,27.3,141.3,83.0,961.0
2003-09-29 00:00:00,27.7,141.5,85.0,958.0
2003-09-29 03:00:00,28.1,141.7,88.0,956.0
2003-09-29 06:00:00,28.5,141.9,90.0,954.0
2003-09-29 09:00:00,28.9,142.2,88.0,956.0
2003-09-29 12:00:00,29.4,142.6,85.0,958.0
2003-09-29 15:00:00,30.0,143.2,80.0,958.0
2003-09-29 18:00:00,30.7,144.2,75.0,958.0
2003-09-29 21:00:00,31.6,145.5,68.0,969.0
2003-09-30 00:00:00,32.7,147.1,60.0,980.0
2003-09-30 03:00:00,33.8,148.6,53.0,986.0
2003-09-30 06:00:00,35.0,150.1,45.0,991.0
