time,lat,lon,vmax,mslp
2004-04-02 00:00:00,6.9,153.6,25.0,1002.0
2004-04-02 03:00:00,6.8,153.4,25.0,1002.0
2004-04-02 06:00:00,6.7,153.2,25.0,1002.0
2004-04-02 09:00:00,6.6,153.0,25.0,1002.0
2004-04-02 12:00:00,6.5,152.9,25.0,1002.0
2004-04-02 15:00:00,6.4,152.8,25.0,1002.0
2004-04-02 18:00:00,6.3,152.6,25.0,1002.0
2004-04-02 21:00:00,6.2,152.4,25.0,1002.0
2004-04-03 00:00:00,6.1,152.2,25.0,1002.0
2004-04-03 03:00:00,6.1,152.0,25.0,1002.0
2004-04-03 06:00:00,6.1,151.7,25.0,1002.0
2004-04-03 09:00:00,6.2,151.5,25.0,1002.0
2004-04-03 12:00:00,6.3,151.2,25.0,1002.0
2004-04-03 15:00:00,6.4,150.9,25.0,1002.0
2004-04-03 18:00:00,6.4,150.7,25.0,1002.0
2004-04-03 21:00:00,6.4,150.5,28.0,1001.0
2004-04-04 00:00:00,6.4,150.3,30.0,1000.0
2004-04-04 03:00:00,6.4,150.0,30.0,1000.0
2004-04-04 06:00:00,6.5,149.8,30.0,1000.0
2004-04-04 09:00:00,6.7,149.6,33.0,999.0
2004-04-04 12:00:00,6.9,149.5,35.0,997.0
2004-04-04 15:00:00,7.1,149.3,35.0,997.0
2004-04-04 18:00:00,7.4,149.2,35.0,997.0
2004-04-04 21:00:00,7.7,149.1,38.0,997.0
2004-04-05 00:00:00,8.1,149.1,40.0,997.0
2004-04-05 03:00:00,8.5,149.0,45.0,992.0
2004-04-05 06:00:00,8.9,148.9,50.0,987.0
2004-04-05 09:00:00,9.2,148.6,53.0,986.0
2004-04-05 12:00:00,9.4,148.3,55.0,984.0
2004-04-05 15:00:00,9.5,148.0,55.0,984.0
2004-04-05 18:00:00,9.5,147.6,55.0,984.0
2004-04-05 21:00:00,9.3,147.3,60.0,980.0
2004-04-06 00:00:00,9.1,146.9,65.0,976.0
2004-04-06 03:00:00,9.0,146.5,65.0,976.0
2004-04-06 06:00:00,9.1,146.1,65.0,976.0
2004-04-06 09:00:00,9.2,145.7,70.0,972.0
2004-04-06 12:00:00,9.4,145.4,75.0,967.0
2004-04-06 15:00:00,9.7,145.2,75.0,967.0
2004-04-06 18:00:00,10.0,144.9,75.0,967.0
2004-04-06 21:00:00,10.1,144.5,78.0,965.0
2004-04-07 00:00:00,10.1,144.1,80.0,963.0
2004-04-07 03:00:00,10.1,143.6,85.0,959.0
2004-04-07 06:00:00,10.1,143.1,90.0,954.0
2004-04-07 09:00:00,9.9,142.6,90.0,954.0
2004-04-07 12:00:00,9.7,142.2,90.0,954.0
2004-04-07 15:00:00,9.5,141.7,93.0,952.0
2004-04-07 18:00:00,9.4,141.3,95.0,949.0
2004-04-07 21:00:00,9.3,140.9,98.0,947.0
2004-04-08 00:00:00,9.2,140.6,100.0,944.0
2004-04-08 03:00:00,9.0,140.3,108.0,936.0
