time,lat,lon,vmax,mslp
2004-06-04 06:00:00,15.7,116.6,15.0,1006.0
2004-06-04 09:00:00,15.6,116.5,18.0,1005.0
2004-06-04 12:00:00,15.5,116.4,20.0,1004.0
2004-06-04 15:00:00,15.4,116.3,23.0,1004.0
2004-06-04 18:00:00,15.3,116.2,25.0,1004.0
2004-06-04 21:00:00,15.2,116.2,28.0,1002.0
2004-06-05 00:00:00,15.1,116.3,30.0,1000.0
2004-06-05 03:00:00,15.0,116.3,30.0,1000.0
2004-06-05 06:00:00,14.9,116.4,30.0,1000.0
2004-06-05 09:00:00,14.8,116.6,33.0,999.0
2004-06-05 12:00:00,14.8,116.8,35.0,997.0
2004-06-05 15:00:00,14.8,117.1,38.0,996.0
2004-06-05 18:00:00,14.9,117.4,40.0,994.0
2004-06-05 21:00:00,15.1,117.7,43.0,996.0
2004-06-06 00:00:00,15.3,117.9,45.0,997.0
2004-06-06 03:00:00,15.4,118.1,45.0,994.0
2004-06-06 06:00:00,15.6,118.3,45.0,991.0
2004-06-06 09:00:00,15.8,118.5,45.0,991.0
2004-06-06 12:00:00,16.0,118.6,45.0,991.0
2004-06-06 15:00:00,16.2,118.7,45.0,991.0
2004-06-06 18:00:00,16.3,118.8,45.0,991.0
2004-06-06 21:00:00,16.4,118.9,48.0,989.0
2004-06-07 00:00:00,16.6,118.9,50.0,987.0
2004-06-07 03:00:00,16.7,118.9,53.0,986.0
2004-06-07 06:00:00,16.9,119.0,55.0,984.0
2004-06-07 09:00:00,17.1,119.1,58.0,982.0
2004-06-07 12:00:00,17.4,119.2,60.0,980.0
2004-06-07 15:00:00,17.7,119.2,63.0,978.0
2004-06-07 18:00:00,18.0,119.2,65.0,976.0
2004-06-07 21:00:00,18.3,119.3,65.0,976.0
2004-06-08 00:00:00,18.7,119.4,65.0,976.0
2004-06-08 03:00:00,19.0,119.5,70.0,972.0
2004-06-08 06:00:00,19.3,119.7,75.0,967.0
2004-06-08 09:00:00,19.6,119.9,80.0,963.0
2004-06-08 12:00:00,19.9,120.1,85.0,958.0
2004-06-08 15:00:00,20.2,120.3,88.0,956.0
2004-06-08 18:00:00,20.5,120.5,90.0,954.0
2004-06-08 21:00:00,20.8,120.9,90.0,954.0
2004-06-09 00:00:00,21.1,121.4,90.0,954.0
2004-06-09 03:00:00,21.7,121.9,90.0,954.0
2004-06-09 06:00:00,22.3,122.5,90.0,954.0
2004-06-09 09:00:00,22.9,123.1,95.0,949.0
2004-06-09 12:00:00,23.5,123.7,100.0,944.0
2004-06-09 15:00:00,24.1,124.3,100.0,944.0
2004-06-09 18:00:00,24.7,124.9,100.0,944.0
2004-06-09 21:00:00,25.3,125.5,100.0,944.0
2004-06-10 00:00:00,25.9,126.2,100.0,944.0
2004-06-10 03:00:00,26.5,126.8,93.0,951.0
2004-06-10 06:00:00,27.1,127.5,85.0,958.0
2004-06-10 09:00:00,27.7,128.3,83.0,961.0
2004-06-10 12:00:00,28.3,129.1,80.0,963.0
2004-06-10 15:00:00,29.0,129.9,73.0,970.0
2004-06-10 18:00:00,29.7,130.6,65.0,976.0
2004-06-10 21:00:00,30.4,131.4,60.0,980.0
2004-06-11 00:00:00,31.1,132.2,55.0,984.0
2004-06-11 03:00:00,32.0,133.0,50.0,988.0
2004-06-11 06:00:00,33.0,133.9,45.0,991.0
