time,lat,lon,vmax,mslp
2004-06-11 18:00:00,6.4,140.0,15.0,1006.0
2004-06-11 21:00:00,6.7,139.7,15.0,1006.0
2004-06-12 00:00:00,6.9,139.3,15.0,1006.0
2004-06-12 03:00:00,7.1,138.9,15.0,1006.0
2004-06-12 06:00:00,7.3,138.5,15.0,1006.0
2004-06-12 09:00:00,7.5,138.2,15.0,1006.0
2004-06-12 12:00:00,7.6,138.0,15.0,1006.0
2004-06-12 15:00:00,7.7,137.7,20.0,1004.0
2004-06-12 18:00:00,7.8,137.4,25.0,1002.0
2004-06-12 21:00:00,7.9,137.1,28.0,1001.0
2004-06-13 00:00:00,8.1,136.9,30.0,1000.0
2004-06-13 03:00:00,8.3,136.6,30.0,1000.0
2004-06-13 06:00:00,8.5,136.4,30.0,1000.0
2004-06-13 09:00:00,8.7,136.2,30.0,1000.0
2004-06-13 12:00:00,8.9,136.1,30.0,1000.0
2004-06-13 15:00:00,9.1,136.2,33.0,999.0
2004-06-13 18:00:00,9.2,136.3,35.0,997.0
2004-06-13 21:00:00,9.3,136.4,40.0,994.0
2004-06-14 00:00:00,9.4,136.6,45.0,991.0
2004-06-14 03:00:00,9.5,136.7,50.0,988.0
2004-06-14 06:00:00,9.6,136.9,55.0,984.0
2004-06-14 09:00:00,9.7,137.2,55.0,984.0
2004-06-14 12:00:00,9.9,137.4,55.0,984.0
2004-06-14 15:00:00,10.3,137.4,60.0,980.0
2004-06-14 18:00:00,10.7,137.4,65.0,976.0
2004-06-14 21:00:00,11.1,137.4,68.0,974.0
2004-06-15 00:00:00,11.4,137.4,70.0,972.0
2004-06-15 03:00:00,11.6,137.3,80.0,963.0
2004-06-15 06:00:00,11.9,137.1,90.0,954.0
2004-06-15 09:00:00,12.3,137.0,105.0,938.0
2004-06-15 12:00:00,12.7,136.9,120.0,922.0
2004-06-15 15:00:00,13.1,136.9,133.0,907.0
2004-06-15 18:00:00,13.5,136.8,145.0,892.0
2004-06-15 21:00:00,13.9,136.7,148.0,889.0
2004-06-16 00:00:00,14.4,136.5,150.0,885.0
2004-06-16 03:00:00,14.8,136.3,153.0,882.0
2004-06-16 06:00:00,15.2,136.0,155.0,879.0
2004-06-16 09:00:00,15.6,135.8,155.0,879.0
2004-06-16 12:00:00,15.9,135.6,155.0,879.0
2004-06-16 15:00:00,16.2,135.4,155.0,879.0
2004-06-16 18:00:00,16.5,135.1,155.0,879.0
2004-06-16 21:00:00,16.9,134.9,153.0,882.0
2004-06-17 00:00:00,17.2,134.6,150.0,885.0
2004-06-17 03:00:00,17.3,134.2,145.0,892.0
2004-06-17 06:00:00,17.4,133.7,140.0,898.0
2004-06-17 09:00:00,17.5,133.2,135.0,904.0
2004-06-17 12:00:00,17.7,132.8,130.0,910.0
2004-06-17 15:00:00,17.9,132.4,125.0,916.0
2004-06-17 18:00:00,18.1,132.0,120.0,922.0
2004-06-17 21:00:00,18.4,131.7,120.0,922.0
2004-06-18 00:00:00,18.7,131.5,120.0,922.0
2004-06-18 03:00:00,19.0,131.3,123.0,919.0
2004-06-18 06:00:00,19.4,131.0,125.0,916.0
2004-06-18 09:00:00,19.8,130.7,128.0,913.0
2004-06-18 12:00:00,20.2,130.3,130.0,910.0
2004-06-18 15:00:00,20.7,130.0,128.0,913.0
2004-06-18 18:00:00,21.2,129.7,125.0,916.0
2004-06-18 21:00:00,21.7,129.5,123.0,919.0
2004-06-19 00:00:00,22.3,129.4,120.0,922.0
2004-06-19 03:00:00,22.9,129.2,120.0,922.0
2004-06-19 06:00:00,23.4,129.1,120.0,922.0
2004-06-19 09:00:00,23.9,129.1,118.0,925.0
2004-06-19 12:00:00,24.5,129.1,115.0,927.0
2004-06-19 15:00:00,25.1,129.2,108.0,936.0
2004-06-19 18:00:00,25.7,129.4,100.0,944.0
2004-06-19 21:00:00,26.3,129.5,95.0,949.0
2004-06-20 00:00:00,26.9,129.7,90.0,954.0
2004-06-20 03:00:00,27.5,130.0,85.0,959.0
2004-06-20 06:00:00,28.2,130.4,80.0,963.0
2004-06-20 09:00:00,28.8,130.8,75.0,968.0
2004-06-20 12:00:00,29.5,131.3,70.0,972.0
2004-06-20 15:00:00,30.2,131.7,68.0,974.0
2004-06-20 18:00:00,30.9,132.2,65.0,976.0
2004-06-20 21:00:00,31.8,132.9,63.0,978.0
2004-06-21 00:00:00,32.8,133.7,60.0,980.0
2004-06-21 03:00:00,34.0,134.6,55.0,984.0
2004-06-21 04:00:00,34.4,134.9,53.0,985.0
2004-06-21 06:00:00,35.4,135.6,50.0,987.0
2004-06-21 09:00:00,37.0,137.0,45.0,991.0
2004-06-21 12:00:00,38.6,138.4,40.0,994.0
2004-06-21 15:00:00,40.1,139.2,38.0,996.0
2004-06-21 18:00:00,41.5,139.7,35.0,997.0
