time,lat,lon,vmax,mslp
2004-07-26 12:00:00,12.2,-112.8,25,1008
2004-07-26 15:00:00,12.2,-113.5,28,1008
2004-07-26 18:00:00,12.3,-114.2,30,1007
2004-07-26 21:00:00,12.4,-114.9,33,1005
2004-07-27 00:00:00,12.5,-115.5,35,1003
2004-07-27 03:00:00,12.7,-116.2,40,1002
2004-07-27 06:00:00,12.9,-116.8,45,1000
2004-07-27 09:00:00,13.0,-117.4,50,997
2004-07-27 12:00:00,13.2,-118.0,55,993
2004-07-27 15:00:00,13.4,-118.5,58,992
2004-07-27 18:00:00,13.6,-119.1,60,990
2004-07-27 21:00:00,13.8,-119.8,63,989
2004-07-28 00:00:00,14.1,-120.5,65,987
2004-07-28 03:00:00,14.3,-121.1,68,985
2004-07-28 06:00:00,14.6,-121.7,70,983
2004-07-28 09:00:00,14.9,-122.3,75,980
2004-07-28 12:00:00,15.2,-122.8,80,977
2004-07-28 15:00:00,15.5,-123.4,85,974
2004-07-28 18:00:00,15.8,-124.0,90,970
2004-07-28 21:00:00,16.1,-124.6,93,967
2004-07-29 00:00:00,16.3,-125.2,95,964
2004-07-29 03:00:00,16.5,-125.7,100,961
2004-07-29 06:00:00,16.8,-126.2,105,957
2004-07-29 09:00:00,17.1,-126.7,103,959
2004-07-29 12:00:00,17.4,-127.2,100,960
2004-07-29 15:00:00,17.6,-127.7,98,962
2004-07-29 18:00:00,17.8,-128.2,95,964
2004-07-29 21:00:00,18.0,-128.7,85,972
2004-07-30 00:00:00,18.1,-129.2,75,980
2004-07-30 03:00:00,18.2,-129.7,70,984
2004-07-30 06:00:00,18.3,-130.3,65,987
2004-07-30 09:00:00,18.3,-131.0,60,991
2004-07-30 12:00:00,18.4,-131.7,55,994
2004-07-30 15:00:00,18.5,-132.4,50,996
2004-07-30 18:00:00,18.6,-133.2,45,998
2004-07-30 21:00:00,18.7,-133.9,43,999
2004-07-31 00:00:00,18.7,-134.6,40,1000
2004-07-31 03:00:00,18.8,-135.3,38,1001
2004-07-31 06:00:00,18.8,-136.0,35,1002
2004-07-31 09:00:00,18.8,-136.6,33,1004
2004-07-31 12:00:00,18.8,-137.3,30,1005
2004-07-31 15:00:00,18.8,-138.0,28,1006
2004-07-31 18:00:00,18.9,-138.8,25,1007
2004-07-31 21:00:00,18.9,-139.6,25,1007
2004-08-01 00:00:00,19.0,-140.4,25,1007
2004-08-01 03:00:00,19.1,-141.2,25,1007
2004-08-01 06:00:00,19.3,-142.0,25,1007
