time,lat,lon,vmax,mslp
2004-08-26 00:00:00,10.8,170.9,20.0,1004.0
2004-08-26 03:00:00,10.8,170.6,20.0,1004.0
2004-08-26 06:00:00,10.8,170.2,20.0,1004.0
2004-08-26 09:00:00,10.7,169.8,20.0,1004.0
2004-08-26 12:00:00,10.6,169.5,20.0,1004.0
2004-08-26 15:00:00,10.6,169.2,20.0,1004.0
2004-08-26 18:00:00,10.6,168.8,20.0,1004.0
2004-08-26 21:00:00,10.5,168.4,23.0,1003.0
2004-08-27 00:00:00,10.4,168.1,25.0,1002.0
2004-08-27 03:00:00,10.5,167.8,28.0,1001.0
2004-08-27 06:00:00,10.7,167.4,30.0,1000.0
2004-08-27 09:00:00,10.8,167.0,30.0,1000.0
2004-08-27 12:00:00,10.9,166.6,30.0,1000.0
2004-08-27 15:00:00,11.0,166.2,33.0,1001.0
2004-08-27 18:00:00,11.1,165.8,35.0,1002.0
2004-08-27 21:00:00,11.2,165.4,40.0,997.0
2004-08-28 00:00:00,11.4,164.9,45.0,991.0
2004-08-28 03:00:00,11.7,164.4,50.0,988.0
2004-08-28 06:00:00,12.0,163.9,55.0,984.0
2004-08-28 09:00:00,12.2,163.4,55.0,984.0
2004-08-28 12:00:00,12.4,162.9,55.0,984.0
2004-08-28 15:00:00,12.6,162.3,55.0,984.0
2004-08-28 18:00:00,12.8,161.6,55.0,984.0
2004-08-28 21:00:00,13.0,160.9,58.0,982.0
2004-08-29 00:00:00,13.2,160.2,60.0,980.0
2004-08-29 03:00:00,13.4,159.5,63.0,978.0
2004-08-29 06:00:00,13.7,158.7,65.0,976.0
2004-08-29 09:00:00,14.0,157.9,65.0,976.0
2004-08-29 12:00:00,14.2,157.2,65.0,976.0
2004-08-29 15:00:00,14.4,156.4,68.0,974.0
2004-08-29 18:00:00,14.6,155.7,70.0,972.0
2004-08-29 21:00:00,14.8,155.0,73.0,970.0
2004-08-30 00:00:00,15.0,154.3,75.0,967.0
2004-08-30 03:00:00,15.2,153.6,78.0,965.0
2004-08-30 06:00:00,15.4,152.9,80.0,963.0
2004-08-30 09:00:00,15.6,152.2,83.0,961.0
2004-08-30 12:00:00,15.7,151.5,85.0,958.0
2004-08-30 15:00:00,15.8,151.0,88.0,956.0
2004-08-30 18:00:00,16.0,150.5,90.0,954.0
2004-08-30 21:00:00,16.1,150.0,98.0,946.0
2004-08-31 00:00:00,16.3,149.5,105.0,938.0
2004-08-31 03:00:00,16.5,149.0,113.0,930.0
2004-08-31 06:00:00,16.7,148.5,120.0,922.0
2004-08-31 09:00:00,17.0,148.1,123.0,919.0
2004-08-31 12:00:00,17.4,147.7,125.0,916.0
2004-08-31 15:00:00,17.7,147.2,125.0,916.0
2004-08-31 18:00:00,17.9,146.8,125.0,916.0
2004-08-31 21:00:00,18.2,146.4,125.0,916.0
2004-09-01 00:00:00,18.6,146.1,125.0,916.0
2004-09-01 03:00:00,19.2,145.7,125.0,916.0
2004-09-01 06:00:00,19.7,145.2,125.0,916.0
2004-09-01 09:00:00,20.0,144.5,125.0,916.0
2004-09-01 12:00:00,20.2,143.7,125.0,916.0
2004-09-01 15:00:00,20.5,143.0,125.0,916.0
2004-09-01 18:00:00,20.8,142.3,125.0,916.0
2004-09-01 21:00:00,21.0,141.6,123.0,919.0
2004-09-02 00:00:00,21.2,141.0,120.0,922.0
2004-09-02 03:00:00,21.4,140.4,118.0,925.0
2004-09-02 06:00:00,21.5,139.8,115.0,927.0
2004-09-02 09:00:00,21.7,139.1,115.0,927.0
2004-09-02 12:00:00,21.8,138.5,115.0,927.0
2004-09-02 15:00:00,21.9,137.9,115.0,927.0
2004-09-02 18:00:00,21.9,137.4,115.0,927.0
2004-09-02 21:00:00,21.9,136.8,115.0,927.0
2004-09-03 00:00:00,22.0,136.3,115.0,927.0
2004-09-03 03:00:00,22.1,135.8,115.0,927.0
2004-09-03 06:00:00,22.2,135.2,115.0,927.0
2004-09-03 09:00:00,22.2,134.6,113.0,930.0
2004-09-03 12:00:00,22.3,134.1,110.0,933.0
2004-09-03 15:00:00,22.5,133.7,113.0,930.0
2004-09-03 18:00:00,22.8,133.2,115.0,927.0
2004-09-03 21:00:00,23.0,132.6,115.0,927.0
2004-09-04 00:00:00,23.3,132.1,115.0,927.0
2004-09-04 03:00:00,23.6,131.6,120.0,922.0
2004-09-04 06:00:00,24.0,131.2,125.0,916.0
2004-09-04 09:00:00,24.3,130.8,125.0,916.0
2004-09-04 12:00:00,24.5,130.4,125.0,916.0
2004-09-04 15:00:00,24.7,130.0,125.0,916.0
2004-09-04 18:00:00,25.0,129.6,125.0,916.0
2004-09-04 21:00:00,25.3,129.3,120.0,922.0
2004-09-05 00:00:00,25.6,129.0,115.0,927.0
2004-09-05 03:00:00,25.9,128.6,115.0,927.0
2004-09-05 06:00:00,26.2,128.3,115.0,927.0
2004-09-05 08:00:00,26.5,128.2,113.0,929.0
2004-09-05 09:00:00,26.6,128.1,113.0,930.0
2004-09-05 12:00:00,27.0,127.9,110.0,933.0
2004-09-05 15:00:00,27.3,127.5,108.0,936.0
2004-09-05 18:00:00,27.6,127.1,105.0,938.0
2004-09-05 21:00:00,28.0,127.1,103.0,941.0
2004-09-06 00:00:00,28.4,127.1,100.0,944.0
2004-09-06 03:00:00,28.8,127.0,98.0,947.0
2004-09-06 06:00:00,29.2,126.9,95.0,949.0
2004-09-06 09:00:00,29.6,127.1,93.0,952.0
2004-09-06 12:00:00,30.0,127.4,90.0,954.0
2004-09-06 15:00:00,30.5,127.6,90.0,954.0
2004-09-06 18:00:00,31.1,128.0,90.0,954.0
2004-09-06 21:00:00,31.7,128.5,90.0,954.0
2004-09-07 00:00:00,32.6,129.4,90.0,954.0
2004-09-07 03:00:00,33.8,130.6,88.0,956.0
2004-09-07 06:00:00,35.3,132.2,85.0,958.0
2004-09-07 09:00:00,37.0,134.0,78.0,965.0
2004-09-07 12:00:00,38.8,135.9,70.0,972.0
2004-09-07 15:00:00,40.5,138.2,58.0,982.0
2004-09-07 18:00:00,42.0,140.0,45.0,991.0
2004-09-07 21:00:00,43.4,140.5,45.0,991.0
2004-09-08 00:00:00,44.7,140.2,45.0,991.0
