time,lat,lon,vmax,mslp
2004-09-08 06:00:00,15.1,-109.9,30,1005
2004-09-08 09:00:00,15.1,-110.2,30,1005
2004-09-08 12:00:00,15.1,-110.4,30,1004
2004-09-08 15:00:00,15.2,-110.6,33,1004
2004-09-08 18:00:00,15.4,-110.8,35,1004
2004-09-08 21:00:00,15.7,-111.0,35,1004
2004-09-09 00:00:00,16.0,-111.3,35,1003
2004-09-09 03:00:00,16.3,-111.5,35,1003
2004-09-09 06:00:00,16.5,-111.8,35,1003
2004-09-09 09:00:00,16.7,-112.1,35,1003
2004-09-09 12:00:00,16.9,-112.4,35,1003
2004-09-09 15:00:00,17.1,-112.8,35,1003
2004-09-09 18:00:00,17.2,-113.3,35,1003
2004-09-09 21:00:00,17.3,-113.7,38,1003
2004-09-10 00:00:00,17.3,-114.1,40,1002
2004-09-10 03:00:00,17.3,-114.5,38,1003
2004-09-10 06:00:00,17.3,-114.9,35,1003
2004-09-10 09:00:00,17.3,-115.3,33,1004
2004-09-10 12:00:00,17.3,-115.7,30,1004
2004-09-10 15:00:00,17.3,-116.1,30,1004
2004-09-10 18:00:00,17.4,-116.6,30,1004
2004-09-10 21:00:00,17.4,-117.1,30,1004
2004-09-11 00:00:00,17.4,-117.7,30,1004
2004-09-11 03:00:00,17.4,-118.3,30,1004
2004-09-11 06:00:00,17.4,-118.8,30,1004
2004-09-11 09:00:00,17.4,-119.3,30,1004
2004-09-11 12:00:00,17.4,-119.7,30,1004
2004-09-11 15:00:00,17.4,-120.1,30,1004
2004-09-11 18:00:00,17.4,-120.5,30,1004
2004-09-11 21:00:00,17.4,-120.9,33,1004
2004-09-12 00:00:00,17.4,-121.3,35,1003
2004-09-12 03:00:00,17.4,-121.7,38,1003
2004-09-12 06:00:00,17.4,-122.2,40,1002
2004-09-12 09:00:00,17.4,-122.6,43,1001
2004-09-12 12:00:00,17.4,-123.1,45,1000
2004-09-12 15:00:00,17.4,-123.5,45,1000
2004-09-12 18:00:00,17.3,-124.0,45,1000
2004-09-12 21:00:00,17.3,-124.5,45,1000
2004-09-13 00:00:00,17.2,-125.0,45,1000
2004-09-13 03:00:00,17.1,-125.5,45,1000
2004-09-13 06:00:00,17.0,-126.0,45,1000
2004-09-13 09:00:00,16.8,-126.5,45,1000
2004-09-13 12:00:00,16.7,-127.0,45,1000
2004-09-13 15:00:00,16.6,-127.5,45,1000
2004-09-13 18:00:00,16.6,-128.0,45,1000
2004-09-13 21:00:00,16.6,-128.5,45,1000
2004-09-14 00:00:00,16.6,-128.9,45,1000
2004-09-14 03:00:00,16.6,-129.2,43,1001
2004-09-14 06:00:00,16.6,-129.5,40,1002
2004-09-14 09:00:00,16.7,-129.7,38,1003
2004-09-14 12:00:00,16.8,-129.9,35,1003
2004-09-14 15:00:00,16.9,-130.1,38,1002
2004-09-14 18:00:00,17.0,-130.4,40,1000
2004-09-14 21:00:00,17.1,-130.7,45,999
2004-09-15 00:00:00,17.2,-130.9,50,997
2004-09-15 03:00:00,17.3,-131.2,53,996
2004-09-15 06:00:00,17.5,-131.4,55,994
2004-09-15 09:00:00,17.6,-131.6,60,991
2004-09-15 12:00:00,17.8,-131.8,65,987
2004-09-15 15:00:00,18.0,-131.9,63,989
2004-09-15 18:00:00,18.2,-132.0,60,991
2004-09-15 21:00:00,18.3,-132.0,58,993
2004-09-16 00:00:00,18.4,-132.0,55,994
2004-09-16 03:00:00,18.4,-132.1,50,997
2004-09-16 06:00:00,18.4,-132.2,45,1000
2004-09-16 09:00:00,18.3,-132.2,38,1002
2004-09-16 12:00:00,18.2,-132.2,30,1003
2004-09-16 15:00:00,18.1,-132.2,30,1005
2004-09-16 18:00:00,18.0,-132.3,30,1006
2004-09-16 21:00:00,17.9,-132.4,30,1006
2004-09-17 00:00:00,17.9,-132.5,30,1006
2004-09-17 03:00:00,17.8,-132.7,30,1007
2004-09-17 06:00:00,17.7,-132.8,30,1007
2004-09-17 09:00:00,17.6,-132.9,30,1008
2004-09-17 12:00:00,17.6,-133.0,30,1008
2004-09-17 15:00:00,17.5,-133.1,30,1008
2004-09-17 18:00:00,17.4,-133.3,30,1008
2004-09-17 21:00:00,17.3,-133.5,30,1008
2004-09-18 00:00:00,17.2,-133.6,30,1008
2004-09-18 03:00:00,17.1,-133.7,28,1009
2004-09-18 06:00:00,17.0,-133.9,25,1009
2004-09-18 09:00:00,16.9,-134.0,25,1009
2004-09-18 12:00:00,16.8,-134.2,25,1009
2004-09-18 15:00:00,16.7,-134.4,25,1009
2004-09-18 18:00:00,16.6,-134.7,25,1009
2004-09-18 21:00:00,16.5,-135.0,28,1009
2004-09-19 00:00:00,16.4,-135.2,30,1009
2004-09-19 03:00:00,16.3,-135.4,30,1009
2004-09-19 06:00:00,16.3,-135.7,30,1009
2004-09-19 09:00:00,16.2,-135.9,30,1009
2004-09-19 12:00:00,16.2,-136.2,30,1009
2004-09-19 15:00:00,16.1,-136.4,30,1009
2004-09-19 18:00:00,16.1,-136.7,30,1009
2004-09-19 21:00:00,16.0,-137.0,30,1009
2004-09-20 00:00:00,16.0,-137.4,30,1009
2004-09-20 03:00:00,16.0,-137.8,30,1009
2004-09-20 06:00:00,16.0,-138.2,30,1009
2004-09-20 09:00:00,16.0,-138.6,30,1010
2004-09-20 12:00:00,16.0,-139.0,30,1010
2004-09-20 15:00:00,16.0,-139.3,30,1011
2004-09-20 18:00:00,16.0,-139.5,30,1011
2004-09-20 21:00:00,16.0,-139.7,30,1011
2004-09-21 00:00:00,16.0,-140.0,30,1011
