time,lat,lon,vmax,mslp
2005-08-02 18:00:00,14.3,-135.9,20,1009
2005-08-02 21:00:00,14.4,-136.7,20,1009
2005-08-03 00:00:00,14.4,-137.4,20,1009
2005-08-03 03:00:00,14.4,-138.0,20,1009
2005-08-03 06:00:00,14.5,-138.5,20,1009
2005-08-03 09:00:00,14.6,-139.0,20,1009
2005-08-03 12:00:00,14.7,-139.5,20,1009
2005-08-03 15:00:00,14.9,-140.0,23,1009
2005-08-03 18:00:00,15.0,-140.5,25,1008
2005-08-03 21:00:00,15.1,-140.8,25,1008
2005-08-04 00:00:00,15.2,-141.1,25,1008
2005-08-04 03:00:00,15.2,-141.4,25,1008
2005-08-04 06:00:00,15.2,-141.7,25,1008
2005-08-04 09:00:00,15.2,-142.2,25,1008
2005-08-04 12:00:00,15.1,-142.7,25,1008
2005-08-04 15:00:00,15.0,-143.2,25,1008
2005-08-04 18:00:00,14.9,-143.8,25,1008
2005-08-04 21:00:00,14.8,-144.4,25,1009
2005-08-05 00:00:00,14.7,-145.0,25,1009
