time,lat,lon,vmax,mslp
2005-09-17 12:00:00,13.5,-107.7,20,1009
2005-09-17 15:00:00,13.7,-109.0,20,1009
2005-09-17 18:00:00,13.9,-110.1,20,1009
2005-09-17 21:00:00,14.1,-110.9,20,1009
2005-09-18 00:00:00,14.3,-111.4,20,1009
2005-09-18 03:00:00,14.5,-112.0,20,1009
2005-09-18 06:00:00,14.7,-112.4,20,1009
2005-09-18 09:00:00,14.9,-112.7,25,1008
2005-09-18 12:00:00,15.0,-113.0,30,1007
2005-09-18 15:00:00,15.1,-113.5,33,1006
2005-09-18 18:00:00,15.2,-114.1,35,1005
2005-09-18 21:00:00,15.3,-114.6,35,1005
2005-09-19 00:00:00,15.4,-115.0,35,1005
2005-09-19 03:00:00,15.7,-115.5,40,1005
2005-09-19 06:00:00,16.0,-116.0,45,1005
2005-09-19 09:00:00,16.2,-116.3,50,1001
2005-09-19 12:00:00,16.4,-116.5,55,997
2005-09-19 15:00:00,16.8,-116.7,58,994
2005-09-19 18:00:00,17.2,-116.9,60,990
2005-09-19 21:00:00,17.6,-117.1,63,989
2005-09-20 00:00:00,18.0,-117.4,65,987
2005-09-20 03:00:00,18.4,-117.7,65,987
2005-09-20 06:00:00,18.7,-118.1,65,987
2005-09-20 09:00:00,19.0,-118.5,68,987
2005-09-20 12:00:00,19.3,-118.8,70,987
2005-09-20 15:00:00,19.6,-119.1,68,987
2005-09-20 18:00:00,19.9,-119.3,65,987
2005-09-20 21:00:00,20.3,-119.5,65,987
2005-09-21 00:00:00,20.7,-119.7,65,987
2005-09-21 03:00:00,21.0,-119.9,63,987
2005-09-21 06:00:00,21.2,-120.0,60,987
2005-09-21 09:00:00,21.3,-120.2,58,991
2005-09-21 12:00:00,21.4,-120.4,55,994
2005-09-21 15:00:00,21.6,-120.7,50,996
2005-09-21 18:00:00,21.7,-121.0,45,997
2005-09-21 21:00:00,21.8,-121.2,43,1000
2005-09-22 00:00:00,21.8,-121.3,40,1002
2005-09-22 03:00:00,21.7,-121.5,38,1003
2005-09-22 06:00:00,21.7,-121.7,35,1004
2005-09-22 09:00:00,21.7,-122.0,33,1006
2005-09-22 12:00:00,21.8,-122.4,30,1007
