time,lat,lon,vmax,mslp
2005-09-23 00:00:00,14.8,-108.5,30,1008
2005-09-23 03:00:00,14.9,-108.8,30,1007
2005-09-23 06:00:00,14.9,-109.1,30,1006
2005-09-23 09:00:00,14.9,-109.4,33,1006
2005-09-23 12:00:00,15.0,-109.6,35,1005
2005-09-23 15:00:00,15.1,-109.8,38,1004
2005-09-23 18:00:00,15.2,-109.9,40,1003
2005-09-23 21:00:00,15.3,-110.1,40,1003
2005-09-24 00:00:00,15.4,-110.2,40,1002
2005-09-24 03:00:00,15.5,-110.3,43,1001
2005-09-24 06:00:00,15.7,-110.4,45,1000
2005-09-24 09:00:00,15.8,-110.5,45,999
2005-09-24 12:00:00,16.0,-110.6,45,998
2005-09-24 15:00:00,16.1,-110.7,48,998
2005-09-24 18:00:00,16.3,-110.8,50,997
2005-09-24 21:00:00,16.5,-110.9,48,998
2005-09-25 00:00:00,16.7,-111.0,45,998
2005-09-25 03:00:00,16.9,-111.1,45,999
2005-09-25 06:00:00,17.1,-111.2,45,999
2005-09-25 09:00:00,17.4,-111.4,45,1000
2005-09-25 12:00:00,17.6,-111.7,45,1000
2005-09-25 15:00:00,17.8,-111.9,45,1000
2005-09-25 18:00:00,18.0,-112.2,45,1000
2005-09-25 21:00:00,18.2,-112.5,43,1001
2005-09-26 00:00:00,18.5,-112.8,40,1001
2005-09-26 03:00:00,18.7,-113.1,40,1002
2005-09-26 06:00:00,19.0,-113.4,40,1002
2005-09-26 09:00:00,19.3,-113.7,38,1003
2005-09-26 12:00:00,19.6,-114.0,35,1003
2005-09-26 15:00:00,19.9,-114.4,33,1004
2005-09-26 18:00:00,20.3,-114.7,30,1004
2005-09-26 21:00:00,20.7,-115.0,30,1005
2005-09-27 00:00:00,21.0,-115.3,30,1005
2005-09-27 03:00:00,21.3,-115.7,28,1006
2005-09-27 06:00:00,21.6,-116.1,25,1006
2005-09-27 09:00:00,21.8,-116.4,25,1006
2005-09-27 12:00:00,22.0,-116.7,25,1006
2005-09-27 15:00:00,22.2,-117.0,25,1006
2005-09-27 18:00:00,22.3,-117.3,25,1006
2005-09-27 21:00:00,22.3,-117.6,23,1006
2005-09-28 00:00:00,22.3,-117.8,20,1006
2005-09-28 03:00:00,22.3,-118.1,20,1006
2005-09-28 06:00:00,22.2,-118.3,20,1006
2005-09-28 09:00:00,22.1,-118.5,20,1006
2005-09-28 12:00:00,21.9,-118.7,20,1006
2005-09-28 15:00:00,21.7,-118.8,20,1006
2005-09-28 18:00:00,21.5,-119.0,20,1006
2005-09-28 21:00:00,21.3,-119.2,20,1006
2005-09-29 00:00:00,21.1,-119.4,20,1006
2005-09-29 03:00:00,20.9,-119.6,20,1007
2005-09-29 06:00:00,20.6,-119.9,20,1007
2005-09-29 09:00:00,20.3,-120.2,20,1007
2005-09-29 12:00:00,20.0,-120.4,20,1007
2005-09-29 15:00:00,19.7,-120.6,20,1008
2005-09-29 18:00:00,19.5,-120.7,20,1008
2005-09-29 21:00:00,19.3,-120.7,20,1008
2005-09-30 00:00:00,19.2,-120.7,20,1008
2005-09-30 03:00:00,19.0,-120.6,18,1009
2005-09-30 06:00:00,18.9,-120.5,15,1009
2005-09-30 09:00:00,18.8,-120.4,15,1009
2005-09-30 12:00:00,18.8,-120.2,15,1009
2005-09-30 15:00:00,18.7,-120.1,15,1010
2005-09-30 18:00:00,18.7,-119.9,15,1010
2005-09-30 21:00:00,18.7,-119.7,15,1010
2005-10-01 00:00:00,18.6,-119.5,15,1010
