time,lat,lon,vmax,mslp
2006-07-11 00:00:00,13.2,-110.3,30,1007
2006-07-11 03:00:00,13.4,-110.7,35,1005
2006-07-11 06:00:00,13.5,-111.0,40,1003
2006-07-11 09:00:00,13.6,-111.3,45,1001
2006-07-11 12:00:00,13.8,-111.7,50,998
2006-07-11 15:00:00,13.9,-112.1,55,995
2006-07-11 18:00:00,14.1,-112.6,60,991
2006-07-11 21:00:00,14.2,-113.0,68,987
2006-07-12 00:00:00,14.4,-113.5,75,983
2006-07-12 03:00:00,14.6,-114.0,78,980
2006-07-12 06:00:00,14.8,-114.6,80,976
2006-07-12 09:00:00,15.1,-115.1,83,975
2006-07-12 12:00:00,15.4,-115.7,85,973
2006-07-12 15:00:00,15.7,-116.3,88,972
2006-07-12 18:00:00,16.0,-116.9,90,970
2006-07-12 21:00:00,16.3,-117.5,95,966
2006-07-13 00:00:00,16.6,-118.2,100,962
2006-07-13 03:00:00,16.9,-119.0,105,958
2006-07-13 06:00:00,17.2,-119.8,110,953
2006-07-13 09:00:00,17.5,-120.6,105,956
2006-07-13 12:00:00,17.7,-121.3,100,959
2006-07-13 15:00:00,18.0,-122.0,95,963
2006-07-13 18:00:00,18.2,-122.7,90,966
2006-07-13 21:00:00,18.4,-123.4,83,971
2006-07-14 00:00:00,18.6,-124.0,75,975
2006-07-14 03:00:00,18.9,-124.7,68,980
2006-07-14 06:00:00,19.1,-125.3,60,985
2006-07-14 09:00:00,19.3,-125.9,55,990
2006-07-14 12:00:00,19.4,-126.5,50,995
2006-07-14 15:00:00,19.6,-127.1,45,998
2006-07-14 18:00:00,19.7,-127.8,40,1001
2006-07-14 21:00:00,19.8,-128.5,38,1002
2006-07-15 00:00:00,19.9,-129.2,35,1003
2006-07-15 03:00:00,20.0,-129.9,33,1004
2006-07-15 06:00:00,20.2,-130.7,30,1005
2006-07-15 09:00:00,20.4,-131.5,28,1006
2006-07-15 12:00:00,20.6,-132.2,25,1006
2006-07-15 15:00:00,20.8,-133.0,25,1007
2006-07-15 18:00:00,21.0,-133.7,25,1007
2006-07-15 21:00:00,21.2,-134.4,25,1008
2006-07-16 00:00:00,21.5,-135.2,25,1008
2006-07-16 03:00:00,21.7,-136.0,25,1009
2006-07-16 06:00:00,22.0,-136.8,25,1009
2006-07-16 09:00:00,22.2,-137.6,23,1010
2006-07-16 12:00:00,22.5,-138.3,20,1010
2006-07-16 15:00:00,22.7,-139.1,20,1011
2006-07-16 18:00:00,23.0,-139.8,20,1012
2006-07-16 21:00:00,23.2,-140.5,20,1013
2006-07-17 00:00:00,23.5,-141.3,20,1013
2006-07-17 03:00:00,23.8,-142.1,20,1013
2006-07-17 06:00:00,24.1,-143.0,20,1013
2006-07-17 09:00:00,24.4,-143.9,20,1013
2006-07-17 12:00:00,24.8,-144.8,20,1013
