time,lat,lon,vmax,mslp
2006-07-12 00:00:00,13.5,-102.2,30,1006
2006-07-12 03:00:00,13.8,-102.8,33,1006
2006-07-12 06:00:00,14.2,-103.4,35,1005
2006-07-12 09:00:00,14.6,-104.1,38,1004
2006-07-12 12:00:00,14.9,-104.8,40,1002
2006-07-12 15:00:00,15.2,-105.5,45,1000
2006-07-12 18:00:00,15.5,-106.1,50,997
2006-07-12 21:00:00,15.7,-106.7,55,994
2006-07-13 00:00:00,16.0,-107.3,60,991
2006-07-13 03:00:00,16.3,-108.0,63,989
2006-07-13 06:00:00,16.7,-108.7,65,987
2006-07-13 09:00:00,17.0,-109.3,68,986
2006-07-13 12:00:00,17.3,-109.8,70,984
2006-07-13 15:00:00,17.5,-110.3,73,983
2006-07-13 18:00:00,17.7,-110.8,75,981
2006-07-13 21:00:00,17.8,-111.3,73,982
2006-07-14 00:00:00,17.9,-111.7,70,983
2006-07-14 03:00:00,17.9,-112.1,70,984
2006-07-14 06:00:00,18.0,-112.4,70,985
2006-07-14 09:00:00,18.1,-112.8,68,986
2006-07-14 12:00:00,18.2,-113.2,65,987
2006-07-14 15:00:00,18.3,-113.6,63,988
2006-07-14 18:00:00,18.5,-114.0,60,989
2006-07-14 21:00:00,18.7,-114.5,65,987
2006-07-15 00:00:00,18.8,-115.0,70,985
2006-07-15 03:00:00,18.9,-115.5,68,986
2006-07-15 06:00:00,19.0,-116.0,65,987
2006-07-15 09:00:00,19.0,-116.5,63,989
2006-07-15 12:00:00,19.1,-117.0,60,990
2006-07-15 15:00:00,19.2,-117.5,58,992
2006-07-15 18:00:00,19.3,-118.0,55,993
2006-07-15 21:00:00,19.4,-118.5,50,995
2006-07-16 00:00:00,19.5,-119.0,45,996
2006-07-16 03:00:00,19.6,-119.5,40,999
2006-07-16 06:00:00,19.8,-120.0,35,1001
2006-07-16 09:00:00,19.9,-120.5,33,1003
2006-07-16 12:00:00,20.1,-121.0,30,1005
2006-07-16 15:00:00,20.2,-121.5,30,1007
2006-07-16 18:00:00,20.4,-121.9,30,1008
2006-07-16 21:00:00,20.5,-122.4,28,1009
2006-07-17 00:00:00,20.7,-122.9,25,1009
2006-07-17 03:00:00,20.9,-123.4,25,1010
2006-07-17 06:00:00,21.0,-123.9,25,1010
2006-07-17 09:00:00,21.1,-124.4,25,1010
2006-07-17 12:00:00,21.2,-124.9,25,1010
2006-07-17 15:00:00,21.3,-125.4,25,1010
2006-07-17 18:00:00,21.3,-125.9,25,1010
2006-07-17 21:00:00,21.3,-126.5,25,1010
2006-07-18 00:00:00,21.3,-127.0,25,1010
2006-07-18 03:00:00,21.3,-127.5,25,1010
2006-07-18 06:00:00,21.3,-127.9,25,1010
2006-07-18 09:00:00,21.3,-128.3,25,1010
2006-07-18 12:00:00,21.2,-128.7,25,1010
2006-07-18 15:00:00,21.1,-129.1,25,1010
2006-07-18 18:00:00,21.1,-129.4,25,1010
2006-07-18 21:00:00,21.0,-129.7,25,1010
2006-07-19 00:00:00,21.0,-130.0,25,1010
2006-07-19 03:00:00,20.9,-130.2,25,1010
2006-07-19 06:00:00,20.9,-130.5,25,1010
2006-07-19 09:00:00,20.8,-130.8,25,1010
2006-07-19 12:00:00,20.8,-131.1,25,1010
2006-07-19 15:00:00,20.7,-131.4,25,1010
2006-07-19 18:00:00,20.7,-131.7,25,1010
2006-07-19 21:00:00,20.7,-132.0,25,1010
2006-07-20 00:00:00,20.6,-132.3,25,1010
