time,lat,lon,vmax,mslp
2006-07-21 12:00:00,11.9,-103.0,25,1007
2006-07-21 15:00:00,12.2,-103.0,25,1007
2006-07-21 18:00:00,12.5,-103.1,25,1006
2006-07-21 21:00:00,12.8,-103.2,28,1006
2006-07-22 00:00:00,13.1,-103.4,30,1005
2006-07-22 03:00:00,13.4,-103.5,33,1005
2006-07-22 06:00:00,13.8,-103.7,35,1004
2006-07-22 09:00:00,14.3,-104.0,35,1004
2006-07-22 12:00:00,14.9,-104.3,35,1004
2006-07-22 15:00:00,15.4,-104.4,35,1004
2006-07-22 18:00:00,15.9,-104.6,35,1003
2006-07-22 21:00:00,16.4,-104.9,38,1002
2006-07-23 00:00:00,16.8,-105.3,40,1001
2006-07-23 03:00:00,17.1,-105.8,43,1000
2006-07-23 06:00:00,17.3,-106.3,45,999
2006-07-23 09:00:00,17.6,-106.7,48,997
2006-07-23 12:00:00,17.9,-107.0,50,995
2006-07-23 15:00:00,18.0,-107.4,53,993
2006-07-23 18:00:00,18.0,-107.7,55,991
2006-07-23 21:00:00,18.0,-108.0,53,992
2006-07-24 00:00:00,18.1,-108.4,50,993
2006-07-24 03:00:00,18.2,-108.8,48,994
2006-07-24 06:00:00,18.3,-109.2,45,995
2006-07-24 09:00:00,18.4,-109.4,45,995
2006-07-24 12:00:00,18.6,-109.6,45,995
2006-07-24 15:00:00,18.8,-109.9,45,995
2006-07-24 18:00:00,19.0,-110.1,45,995
2006-07-24 21:00:00,19.2,-110.3,45,995
2006-07-25 00:00:00,19.5,-110.4,45,995
2006-07-25 03:00:00,19.7,-110.6,48,994
2006-07-25 06:00:00,19.9,-110.7,50,993
2006-07-25 09:00:00,20.0,-110.9,50,993
2006-07-25 12:00:00,20.3,-111.0,50,993
2006-07-25 15:00:00,20.8,-111.2,50,993
2006-07-25 18:00:00,21.4,-111.3,50,993
2006-07-25 21:00:00,21.9,-111.4,53,992
2006-07-26 00:00:00,22.5,-111.5,55,991
2006-07-26 03:00:00,23.1,-111.8,55,991
2006-07-26 06:00:00,23.6,-112.2,55,990
2006-07-26 09:00:00,24.0,-112.6,55,991
2006-07-26 12:00:00,24.4,-113.1,55,991
2006-07-26 15:00:00,24.8,-113.6,53,992
2006-07-26 18:00:00,25.1,-114.1,50,993
2006-07-26 21:00:00,25.3,-114.7,48,996
2006-07-27 00:00:00,25.6,-115.3,45,998
2006-07-27 03:00:00,25.9,-115.9,40,1001
2006-07-27 06:00:00,26.3,-116.5,35,1003
2006-07-27 09:00:00,26.6,-117.2,30,1006
2006-07-27 12:00:00,26.9,-117.8,25,1008
2006-07-27 15:00:00,27.0,-118.3,25,1009
2006-07-27 18:00:00,27.2,-118.7,25,1009
2006-07-27 21:00:00,27.6,-119.1,25,1009
2006-07-28 00:00:00,27.9,-119.5,25,1009
2006-07-28 03:00:00,28.0,-119.9,25,1009
2006-07-28 06:00:00,28.0,-120.3,25,1009
2006-07-28 09:00:00,28.0,-120.7,23,1010
2006-07-28 12:00:00,28.0,-121.1,20,1010
2006-07-28 15:00:00,28.0,-121.5,20,1010
2006-07-28 18:00:00,27.9,-121.8,20,1010
2006-07-28 21:00:00,27.8,-122.1,20,1011
2006-07-29 00:00:00,27.6,-122.5,20,1011
2006-07-29 03:00:00,27.5,-122.9,20,1011
2006-07-29 06:00:00,27.4,-123.3,20,1011
2006-07-29 09:00:00,27.4,-123.7,20,1011
2006-07-29 12:00:00,27.5,-124.1,20,1011
2006-07-29 15:00:00,27.7,-124.4,20,1011
2006-07-29 18:00:00,27.9,-124.7,20,1011
2006-07-29 21:00:00,28.1,-124.9,20,1011
2006-07-30 00:00:00,28.4,-125.1,20,1011
2006-07-30 03:00:00,28.7,-125.2,20,1011
2006-07-30 06:00:00,29.0,-125.3,20,1011
2006-07-30 09:00:00,29.4,-125.3,20,1011
2006-07-30 12:00:00,29.7,-125.2,20,1011
2006-07-30 15:00:00,30.0,-125.2,18,1012
2006-07-30 18:00:00,30.3,-125.2,15,1012
2006-07-30 21:00:00,30.5,-125.2,15,1012
2006-07-31 00:00:00,30.6,-125.2,15,1012
2006-07-31 03:00:00,30.7,-125.2,15,1012
2006-07-31 06:00:00,30.8,-125.2,15,1012
2006-07-31 09:00:00,30.9,-125.2,15,1013
2006-07-31 12:00:00,31.0,-125.3,15,1013
