time,lat,lon,vmax,mslp
2006-08-28 00:00:00,12.3,-94.6,25,1005
2006-08-28 03:00:00,12.5,-94.8,28,1005
2006-08-28 06:00:00,12.7,-95.0,30,1005
2006-08-28 09:00:00,12.9,-95.3,33,1005
2006-08-28 12:00:00,13.1,-95.6,35,1004
2006-08-28 15:00:00,13.3,-95.9,38,1003
2006-08-28 18:00:00,13.5,-96.3,40,1002
2006-08-28 21:00:00,13.6,-96.6,45,1000
2006-08-29 00:00:00,13.7,-96.9,50,997
2006-08-29 03:00:00,13.7,-97.2,55,994
2006-08-29 06:00:00,13.8,-97.5,60,990
2006-08-29 09:00:00,13.9,-97.9,68,985
2006-08-29 12:00:00,14.0,-98.3,75,980
2006-08-29 15:00:00,14.1,-98.8,85,973
2006-08-29 18:00:00,14.2,-99.2,95,965
2006-08-29 21:00:00,14.5,-99.6,98,964
2006-08-30 00:00:00,14.9,-100.0,100,962
2006-08-30 03:00:00,15.1,-100.4,103,961
2006-08-30 06:00:00,15.3,-100.8,105,960
2006-08-30 09:00:00,15.6,-101.2,110,955
2006-08-30 12:00:00,16.0,-101.7,115,950
2006-08-30 15:00:00,16.4,-102.2,115,949
2006-08-30 18:00:00,16.9,-102.7,115,948
2006-08-30 21:00:00,17.3,-103.4,113,949
2006-08-31 00:00:00,17.6,-104.0,110,950
2006-08-31 03:00:00,17.9,-104.5,110,950
2006-08-31 06:00:00,18.2,-104.9,110,950
2006-08-31 09:00:00,18.6,-105.4,105,955
2006-08-31 12:00:00,19.0,-105.8,100,960
2006-08-31 15:00:00,19.6,-106.2,95,964
2006-08-31 18:00:00,20.2,-106.7,90,968
2006-08-31 21:00:00,20.7,-107.2,90,968
2006-09-01 00:00:00,21.0,-107.6,90,968
2006-09-01 03:00:00,21.2,-108.0,95,962
2006-09-01 06:00:00,21.4,-108.4,100,955
2006-09-01 09:00:00,21.5,-108.6,100,955
2006-09-01 12:00:00,21.7,-108.7,100,955
2006-09-01 15:00:00,22.0,-108.8,98,957
2006-09-01 18:00:00,22.4,-108.9,95,958
2006-09-01 21:00:00,22.9,-109.0,95,958
2006-09-02 00:00:00,23.2,-109.2,95,958
2006-09-02 02:00:00,23.3,-109.4,95,958
2006-09-02 03:00:00,23.4,-109.5,93,959
2006-09-02 06:00:00,23.8,-109.9,85,962
2006-09-02 09:00:00,24.0,-110.2,78,969
2006-09-02 12:00:00,24.2,-110.5,70,975
2006-09-02 15:00:00,24.5,-110.8,65,980
2006-09-02 18:00:00,24.8,-111.0,60,985
2006-09-02 21:00:00,25.1,-111.2,55,987
2006-09-03 00:00:00,25.4,-111.4,50,988
2006-09-03 03:00:00,25.7,-111.6,48,989
2006-09-03 06:00:00,26.0,-111.8,45,990
2006-09-03 09:00:00,26.3,-112.1,43,991
2006-09-03 12:00:00,26.7,-112.3,40,992
2006-09-03 15:00:00,27.1,-112.4,38,994
2006-09-03 18:00:00,27.4,-112.5,35,996
2006-09-03 21:00:00,27.7,-112.7,33,999
2006-09-04 00:00:00,27.9,-112.9,30,1002
2006-09-04 03:00:00,28.1,-113.0,28,1003
2006-09-04 06:00:00,28.4,-113.1,25,1004
2006-09-04 09:00:00,28.7,-113.2,25,1004
2006-09-04 12:00:00,28.9,-113.2,25,1004
