time,lat,lon,vmax,mslp
2006-08-30 00:00:00,16.0,-114.0,30,1007
2006-08-30 03:00:00,16.2,-114.2,33,1006
2006-08-30 06:00:00,16.3,-114.4,35,1005
2006-08-30 09:00:00,16.4,-114.7,43,1003
2006-08-30 12:00:00,16.5,-114.9,50,1000
2006-08-30 15:00:00,16.6,-115.1,53,997
2006-08-30 18:00:00,16.7,-115.2,55,994
2006-08-30 21:00:00,16.8,-115.3,58,992
2006-08-31 00:00:00,17.0,-115.5,60,990
2006-08-31 03:00:00,17.2,-115.7,63,989
2006-08-31 06:00:00,17.4,-115.9,65,987
2006-08-31 09:00:00,17.6,-116.1,68,986
2006-08-31 12:00:00,17.8,-116.4,70,985
2006-08-31 15:00:00,18.0,-116.7,68,986
2006-08-31 18:00:00,18.2,-116.9,65,987
2006-08-31 21:00:00,18.5,-117.1,65,989
2006-09-01 00:00:00,18.7,-117.4,65,990
2006-09-01 03:00:00,18.9,-117.7,63,991
2006-09-01 06:00:00,19.0,-117.9,60,992
2006-09-01 09:00:00,19.0,-118.1,55,994
2006-09-01 12:00:00,19.0,-118.2,50,995
2006-09-01 15:00:00,19.0,-118.4,48,997
2006-09-01 18:00:00,19.0,-118.6,45,998
2006-09-01 21:00:00,19.0,-118.7,43,1001
2006-09-02 00:00:00,19.0,-118.7,40,1003
2006-09-02 03:00:00,19.0,-118.8,38,1004
2006-09-02 06:00:00,18.9,-118.8,35,1004
2006-09-02 09:00:00,18.8,-118.8,35,1005
2006-09-02 12:00:00,18.7,-118.8,35,1005
2006-09-02 15:00:00,18.5,-118.8,33,1006
2006-09-02 18:00:00,18.4,-118.7,30,1007
2006-09-02 21:00:00,18.3,-118.6,30,1008
2006-09-03 00:00:00,18.3,-118.5,30,1009
2006-09-03 03:00:00,18.2,-118.4,30,1009
2006-09-03 06:00:00,18.2,-118.3,30,1009
2006-09-03 09:00:00,18.2,-118.2,30,1009
2006-09-03 12:00:00,18.1,-118.1,30,1009
2006-09-03 15:00:00,17.9,-118.1,33,1007
2006-09-03 18:00:00,17.8,-118.1,35,1005
2006-09-03 21:00:00,17.8,-118.2,35,1006
2006-09-04 00:00:00,17.7,-118.3,35,1006
2006-09-04 03:00:00,17.4,-118.3,33,1007
2006-09-04 06:00:00,17.1,-118.3,30,1007
2006-09-04 09:00:00,16.9,-118.5,30,1007
2006-09-04 12:00:00,16.8,-118.7,30,1007
2006-09-04 15:00:00,16.6,-118.9,30,1007
2006-09-04 18:00:00,16.4,-119.1,30,1007
2006-09-04 21:00:00,16.3,-119.3,30,1007
2006-09-05 00:00:00,16.2,-119.5,30,1007
2006-09-05 03:00:00,16.2,-119.8,30,1007
2006-09-05 06:00:00,16.2,-120.2,30,1007
2006-09-05 09:00:00,16.2,-120.6,33,1006
2006-09-05 12:00:00,16.3,-121.1,35,1005
2006-09-05 15:00:00,16.4,-121.7,35,1004
2006-09-05 18:00:00,16.5,-122.3,35,1003
2006-09-05 21:00:00,16.5,-122.9,35,1004
2006-09-06 00:00:00,16.5,-123.5,35,1004
2006-09-06 03:00:00,16.5,-124.1,35,1005
2006-09-06 06:00:00,16.5,-124.8,35,1005
2006-09-06 09:00:00,16.5,-125.5,33,1006
2006-09-06 12:00:00,16.5,-126.1,30,1007
2006-09-06 15:00:00,16.5,-126.7,30,1007
2006-09-06 18:00:00,16.5,-127.3,30,1007
2006-09-06 21:00:00,16.5,-127.8,30,1007
2006-09-07 00:00:00,16.4,-128.2,30,1007
2006-09-07 03:00:00,16.3,-128.6,28,1008
2006-09-07 06:00:00,16.3,-129.0,25,1008
2006-09-07 09:00:00,16.3,-129.3,25,1009
2006-09-07 12:00:00,16.2,-129.6,25,1009
2006-09-07 15:00:00,16.1,-129.8,25,1009
2006-09-07 18:00:00,16.0,-130.1,25,1009
2006-09-07 21:00:00,15.8,-130.5,25,1009
2006-09-08 00:00:00,15.5,-130.9,25,1009
2006-09-08 03:00:00,15.3,-131.2,23,1009
2006-09-08 06:00:00,15.2,-131.4,20,1009
2006-09-08 09:00:00,15.1,-131.6,20,1009
2006-09-08 12:00:00,15.0,-131.8,20,1009
2006-09-08 15:00:00,15.0,-131.9,20,1009
2006-09-08 18:00:00,15.0,-131.9,20,1009
2006-09-08 21:00:00,15.0,-131.9,20,1009
2006-09-09 00:00:00,15.0,-132.0,20,1009
2006-09-09 03:00:00,15.0,-132.2,20,1009
2006-09-09 06:00:00,15.0,-132.5,20,1009
