time,lat,lon,vmax,mslp
2006-09-16 00:00:00,17.3,-115.0,25,1006
2006-09-16 03:00:00,17.3,-114.9,28,1005
2006-09-16 06:00:00,17.4,-114.7,30,1004
2006-09-16 09:00:00,17.5,-114.5,33,1004
2006-09-16 12:00:00,17.7,-114.4,35,1003
2006-09-16 15:00:00,17.9,-114.3,35,1002
2006-09-16 18:00:00,18.1,-114.2,35,1001
2006-09-16 21:00:00,18.3,-114.1,38,1000
2006-09-17 00:00:00,18.5,-114.1,40,999
2006-09-17 03:00:00,18.6,-114.0,40,999
2006-09-17 06:00:00,18.7,-114.0,40,999
2006-09-17 09:00:00,18.8,-114.0,40,1000
2006-09-17 12:00:00,18.9,-113.9,40,1000
2006-09-17 15:00:00,19.0,-113.9,38,1001
2006-09-17 18:00:00,19.0,-113.8,35,1001
2006-09-17 21:00:00,19.0,-113.7,35,1001
2006-09-18 00:00:00,19.1,-113.7,35,1001
2006-09-18 03:00:00,19.3,-113.6,33,1002
2006-09-18 06:00:00,19.5,-113.6,30,1002
2006-09-18 09:00:00,19.7,-113.6,28,1003
2006-09-18 12:00:00,19.9,-113.6,25,1003
2006-09-18 15:00:00,20.1,-113.6,25,1004
2006-09-18 18:00:00,20.3,-113.7,25,1004
2006-09-18 21:00:00,20.5,-113.8,25,1005
2006-09-19 00:00:00,20.7,-113.9,25,1005
2006-09-19 03:00:00,20.9,-114.0,25,1005
2006-09-19 06:00:00,21.2,-114.2,25,1005
2006-09-19 09:00:00,21.5,-114.4,25,1006
2006-09-19 12:00:00,21.8,-114.6,25,1006
2006-09-19 15:00:00,22.1,-114.7,25,1007
2006-09-19 18:00:00,22.5,-114.8,25,1007
2006-09-19 21:00:00,22.9,-114.9,25,1007
2006-09-20 00:00:00,23.2,-114.9,25,1007
2006-09-20 03:00:00,23.4,-114.8,25,1007
2006-09-20 06:00:00,23.6,-114.6,25,1007
2006-09-20 09:00:00,23.8,-114.5,25,1007
2006-09-20 12:00:00,24.0,-114.3,25,1007
2006-09-20 15:00:00,24.2,-114.1,23,1007
2006-09-20 18:00:00,24.3,-113.8,20,1007
2006-09-20 21:00:00,24.4,-113.5,20,1008
2006-09-21 00:00:00,24.4,-113.2,20,1008
2006-09-21 03:00:00,24.4,-112.9,20,1009
2006-09-21 06:00:00,24.4,-112.6,20,1009
