time,lat,lon,vmax,mslp
2006-09-16 00:00:00,18.7,155.4,15.0,1006.0
2006-09-16 03:00:00,19.0,155.5,18.0,1005.0
2006-09-16 06:00:00,19.3,155.6,20.0,1004.0
2006-09-16 09:00:00,19.6,155.7,20.0,1004.0
2006-09-16 12:00:00,19.9,155.8,20.0,1004.0
2006-09-16 15:00:00,20.1,156.0,23.0,1003.0
2006-09-16 18:00:00,20.3,156.3,25.0,1002.0
2006-09-16 21:00:00,20.5,156.6,28.0,1001.0
2006-09-17 00:00:00,20.6,156.9,30.0,1000.0
2006-09-17 03:00:00,20.7,157.2,33.0,999.0
2006-09-17 06:00:00,20.8,157.5,35.0,997.0
2006-09-17 09:00:00,20.8,157.8,40.0,994.0
2006-09-17 12:00:00,20.8,158.1,45.0,991.0
2006-09-17 15:00:00,20.8,158.3,45.0,991.0
2006-09-17 18:00:00,20.8,158.5,45.0,991.0
2006-09-17 21:00:00,20.8,158.7,48.0,989.0
2006-09-18 00:00:00,20.7,158.8,50.0,987.0
2006-09-18 03:00:00,20.6,159.0,53.0,986.0
2006-09-18 06:00:00,20.5,159.1,55.0,984.0
2006-09-18 09:00:00,20.4,159.2,58.0,982.0
2006-09-18 12:00:00,20.4,159.3,60.0,980.0
2006-09-18 15:00:00,20.4,159.3,63.0,978.0
2006-09-18 18:00:00,20.3,159.3,65.0,976.0
2006-09-18 21:00:00,20.2,159.2,70.0,972.0
2006-09-19 00:00:00,20.1,159.0,75.0,967.0
2006-09-19 03:00:00,20.0,158.8,83.0,961.0
2006-09-19 06:00:00,20.0,158.6,90.0,954.0
2006-09-19 09:00:00,19.9,158.2,90.0,954.0
2006-09-19 12:00:00,19.9,157.8,90.0,954.0
2006-09-19 15:00:00,19.8,157.3,95.0,949.0
2006-09-19 18:00:00,19.8,156.8,100.0,944.0
2006-09-19 21:00:00,19.7,156.2,108.0,936.0
2006-09-20 00:00:00,19.7,155.6,115.0,927.0
2006-09-20 03:00:00,19.6,154.8,118.0,925.0
2006-09-20 06:00:00,19.6,154.0,120.0,922.0
2006-09-20 09:00:00,19.6,153.2,120.0,922.0
2006-09-20 12:00:00,19.6,152.4,120.0,922.0
2006-09-20 15:00:00,19.5,151.6,120.0,922.0
2006-09-20 18:00:00,19.5,150.8,120.0,922.0
2006-09-20 21:00:00,19.8,150.0,120.0,922.0
2006-09-21 00:00:00,20.1,149.2,120.0,922.0
2006-09-21 03:00:00,20.3,148.4,125.0,916.0
2006-09-21 06:00:00,20.6,147.6,130.0,910.0
2006-09-21 09:00:00,21.0,146.8,135.0,904.0
2006-09-21 12:00:00,21.5,146.1,140.0,898.0
2006-09-21 15:00:00,22.0,145.4,140.0,898.0
2006-09-21 18:00:00,22.6,144.7,140.0,898.0
2006-09-21 21:00:00,23.2,144.1,140.0,898.0
2006-09-22 00:00:00,23.8,143.5,140.0,898.0
2006-09-22 03:00:00,24.4,142.9,140.0,898.0
2006-09-22 06:00:00,25.0,142.5,140.0,898.0
2006-09-22 09:00:00,25.6,142.2,130.0,910.0
2006-09-22 12:00:00,26.2,142.0,120.0,922.0
2006-09-22 15:00:00,26.8,141.8,118.0,925.0
2006-09-22 18:00:00,27.4,141.8,115.0,927.0
2006-09-22 21:00:00,28.0,141.8,110.0,933.0
2006-09-23 00:00:00,28.7,142.0,105.0,938.0
2006-09-23 03:00:00,29.4,142.3,100.0,944.0
2006-09-23 06:00:00,30.0,142.7,95.0,949.0
2006-09-23 09:00:00,30.6,143.1,93.0,952.0
2006-09-23 12:00:00,31.1,143.7,90.0,954.0
2006-09-23 15:00:00,31.7,144.3,88.0,956.0
2006-09-23 18:00:00,32.3,145.1,85.0,958.0
2006-09-23 21:00:00,33.1,146.0,80.0,963.0
2006-09-24 00:00:00,34.0,147.0,75.0,967.0
2006-09-24 03:00:00,34.9,148.2,75.0,967.0
2006-09-24 06:00:00,35.7,149.5,75.0,967.0
2006-09-24 09:00:00,36.5,150.9,70.0,972.0
2006-09-24 12:00:00,37.3,152.6,65.0,976.0
2006-09-24 15:00:00,38.1,154.7,63.0,978.0
2006-09-24 18:00:00,38.9,156.7,60.0,980.0
2006-09-24 21:00:00,39.6,158.1,55.0,984.0
2006-09-25 00:00:00,40.4,159.5,50.0,987.0
2006-09-25 03:00:00,41.2,161.4,48.0,989.0
2006-09-25 06:00:00,42.1,163.7,45.0,991.0
