time,lat,lon,vmax,mslp
2006-10-09 18:00:00,12.8,-127.7,30,1005
2006-10-09 21:00:00,13.0,-127.7,30,1005
2006-10-10 00:00:00,13.3,-127.7,30,1005
2006-10-10 03:00:00,13.6,-127.7,33,1004
2006-10-10 06:00:00,13.9,-127.7,35,1003
2006-10-10 09:00:00,14.2,-127.6,38,1002
2006-10-10 12:00:00,14.5,-127.3,40,1001
2006-10-10 15:00:00,14.9,-126.9,40,1001
2006-10-10 18:00:00,15.4,-126.5,40,1000
2006-10-10 21:00:00,15.8,-126.1,40,1001
2006-10-11 00:00:00,16.2,-125.7,40,1001
2006-10-11 03:00:00,16.4,-125.5,38,1002
2006-10-11 06:00:00,16.6,-125.3,35,1003
2006-10-11 09:00:00,16.7,-125.0,33,1004
2006-10-11 12:00:00,16.8,-124.7,30,1004
2006-10-11 15:00:00,17.0,-124.3,30,1005
2006-10-11 18:00:00,17.1,-123.9,30,1005
2006-10-11 21:00:00,17.2,-123.5,30,1006
2006-10-12 00:00:00,17.3,-123.1,30,1006
2006-10-12 03:00:00,17.4,-122.7,28,1007
2006-10-12 06:00:00,17.5,-122.3,25,1007
2006-10-12 09:00:00,17.6,-121.9,25,1007
2006-10-12 12:00:00,17.6,-121.5,25,1007
2006-10-12 15:00:00,17.6,-121.0,25,1008
2006-10-12 18:00:00,17.6,-120.6,25,1008
2006-10-12 21:00:00,17.5,-120.2,25,1008
2006-10-13 00:00:00,17.3,-119.9,25,1008
2006-10-13 03:00:00,17.2,-119.6,25,1008
2006-10-13 06:00:00,17.1,-119.3,25,1008
2006-10-13 09:00:00,17.0,-119.0,25,1008
2006-10-13 12:00:00,16.8,-118.6,25,1008
2006-10-13 15:00:00,16.6,-118.2,25,1008
2006-10-13 18:00:00,16.5,-117.8,25,1008
2006-10-13 21:00:00,16.4,-117.3,25,1008
2006-10-14 00:00:00,16.2,-116.8,25,1008
2006-10-14 03:00:00,16.0,-116.2,23,1009
2006-10-14 06:00:00,15.8,-115.6,20,1009
2006-10-14 09:00:00,15.6,-115.0,20,1009
2006-10-14 12:00:00,15.3,-114.4,20,1009
2006-10-14 15:00:00,15.0,-113.7,20,1009
2006-10-14 18:00:00,14.8,-113.0,20,1009
