time,lat,lon,vmax,mslp
2006-10-21 06:00:00,15.7,-105.6,30,1004
2006-10-21 09:00:00,15.8,-106.0,33,1003
2006-10-21 12:00:00,15.8,-106.5,35,1002
2006-10-21 15:00:00,15.8,-107.0,40,1001
2006-10-21 18:00:00,15.8,-107.4,45,1000
2006-10-21 21:00:00,15.8,-107.8,45,1000
2006-10-22 00:00:00,15.8,-108.1,45,1000
2006-10-22 03:00:00,15.8,-108.5,45,1000
2006-10-22 06:00:00,15.8,-108.8,45,1000
2006-10-22 09:00:00,15.8,-109.2,45,1000
2006-10-22 12:00:00,15.8,-109.5,45,1000
2006-10-22 15:00:00,15.8,-109.9,50,997
2006-10-22 18:00:00,15.8,-110.2,55,994
2006-10-22 21:00:00,15.8,-110.5,65,987
2006-10-23 00:00:00,15.9,-110.8,75,980
2006-10-23 03:00:00,16.0,-111.1,80,977
2006-10-23 06:00:00,16.1,-111.3,85,973
2006-10-23 09:00:00,16.2,-111.4,88,972
2006-10-23 12:00:00,16.3,-111.4,90,970
2006-10-23 15:00:00,16.5,-111.5,85,974
2006-10-23 18:00:00,16.7,-111.6,80,978
2006-10-23 21:00:00,17.0,-111.7,78,979
2006-10-24 00:00:00,17.3,-111.8,75,979
2006-10-24 03:00:00,17.6,-111.9,70,983
2006-10-24 06:00:00,18.0,-111.9,65,987
2006-10-24 09:00:00,18.4,-111.9,60,990
2006-10-24 12:00:00,18.8,-111.9,55,992
2006-10-24 15:00:00,19.3,-111.7,50,995
2006-10-24 18:00:00,19.8,-111.5,45,998
2006-10-24 21:00:00,20.3,-111.3,43,999
2006-10-25 00:00:00,20.8,-111.0,40,1000
2006-10-25 03:00:00,21.3,-110.7,40,1000
2006-10-25 06:00:00,21.7,-110.3,40,1000
2006-10-25 09:00:00,22.1,-109.8,40,1001
2006-10-25 12:00:00,22.6,-109.3,40,1001
2006-10-25 15:00:00,23.2,-108.6,38,1002
2006-10-25 18:00:00,23.7,-108.1,35,1003
2006-10-25 21:00:00,24.2,-108.0,30,1004
2006-10-26 00:00:00,24.5,-108.1,25,1005
2006-10-26 03:00:00,24.7,-108.1,25,1006
2006-10-26 04:00:00,24.8,-108.1,25,1007
2006-10-26 06:00:00,25.0,-108.1,25,1008
