time,lat,lon,vmax,mslp
2007-05-15 00:00:00,7.8,146.7,15.0,1006.0
2007-05-15 03:00:00,8.1,146.3,15.0,1006.0
2007-05-15 06:00:00,8.4,145.9,15.0,1006.0
2007-05-15 09:00:00,8.7,145.4,18.0,1005.0
2007-05-15 12:00:00,8.8,145.0,20.0,1004.0
2007-05-15 15:00:00,8.7,144.6,20.0,1004.0
2007-05-15 18:00:00,8.6,144.3,20.0,1004.0
2007-05-15 21:00:00,8.6,144.1,20.0,1004.0
2007-05-16 00:00:00,8.6,143.9,20.0,1004.0
2007-05-16 03:00:00,8.6,143.8,23.0,1004.0
2007-05-16 06:00:00,8.6,143.7,25.0,1004.0
2007-05-16 09:00:00,8.4,143.7,28.0,1002.0
2007-05-16 12:00:00,8.3,143.6,30.0,1000.0
2007-05-16 15:00:00,8.4,143.2,30.0,1001.0
2007-05-16 18:00:00,8.5,142.6,30.0,1002.0
2007-05-16 21:00:00,8.5,141.8,30.0,1001.0
2007-05-17 00:00:00,8.5,141.0,30.0,1000.0
2007-05-17 03:00:00,8.7,140.2,33.0,999.0
2007-05-17 06:00:00,9.0,139.4,35.0,997.0
2007-05-17 09:00:00,9.3,138.5,40.0,994.0
2007-05-17 12:00:00,9.7,137.8,45.0,991.0
2007-05-17 15:00:00,10.2,137.3,45.0,991.0
2007-05-17 18:00:00,10.7,136.9,45.0,991.0
2007-05-17 21:00:00,11.2,136.5,50.0,988.0
2007-05-18 00:00:00,11.6,136.0,55.0,984.0
2007-05-18 03:00:00,12.0,135.4,58.0,982.0
2007-05-18 06:00:00,12.4,134.7,60.0,980.0
2007-05-18 09:00:00,12.8,134.2,63.0,978.0
2007-05-18 12:00:00,13.2,133.7,65.0,976.0
2007-05-18 15:00:00,13.6,133.2,65.0,976.0
2007-05-18 18:00:00,14.0,132.8,65.0,976.0
2007-05-18 21:00:00,14.5,132.5,70.0,972.0
2007-05-19 00:00:00,15.0,132.3,75.0,967.0
2007-05-19 03:00:00,15.6,132.1,80.0,963.0
2007-05-19 06:00:00,16.1,132.1,85.0,958.0
2007-05-19 09:00:00,16.5,132.1,90.0,955.0
2007-05-19 12:00:00,16.9,132.3,95.0,952.0
2007-05-19 15:00:00,17.3,132.5,100.0,945.0
2007-05-19 18:00:00,17.7,132.8,105.0,938.0
2007-05-19 21:00:00,18.0,133.1,105.0,941.0
2007-05-20 00:00:00,18.3,133.5,105.0,944.0
2007-05-20 03:00:00,18.7,133.9,110.0,941.0
2007-05-20 06:00:00,19.1,134.4,115.0,937.0
2007-05-20 09:00:00,19.5,134.9,123.0,932.0
2007-05-20 12:00:00,19.9,135.4,130.0,926.0
2007-05-20 15:00:00,20.3,135.9,130.0,926.0
2007-05-20 18:00:00,20.7,136.4,130.0,926.0
2007-05-20 21:00:00,21.1,137.0,125.0,930.0
2007-05-21 00:00:00,21.6,137.7,120.0,933.0
2007-05-21 03:00:00,22.2,138.4,120.0,933.0
2007-05-21 06:00:00,22.8,139.1,120.0,933.0
2007-05-21 09:00:00,23.3,139.9,118.0,935.0
2007-05-21 12:00:00,23.9,140.7,115.0,937.0
2007-05-21 15:00:00,24.6,141.6,103.0,947.0
2007-05-21 18:00:00,25.2,142.5,90.0,956.0
2007-05-21 21:00:00,25.7,143.5,78.0,966.0
2007-05-22 00:00:00,26.2,144.5,65.0,976.0
2007-05-22 03:00:00,26.8,145.5,60.0,980.0
2007-05-22 06:00:00,27.5,146.5,55.0,984.0
2007-05-22 09:00:00,28.1,147.7,55.0,984.0
2007-05-22 12:00:00,28.7,149.1,55.0,984.0
2007-05-22 15:00:00,29.3,150.8,53.0,986.0
2007-05-22 18:00:00,30.0,152.6,50.0,987.0
