time,lat,lon,vmax,mslp
2007-07-22 00:00:00,12.5,-104.6,25,1008
2007-07-22 03:00:00,12.6,-105.0,25,1008
2007-07-22 06:00:00,12.6,-105.3,25,1008
2007-07-22 09:00:00,12.6,-105.6,28,1008
2007-07-22 12:00:00,12.7,-105.9,30,1007
2007-07-22 15:00:00,12.8,-106.2,30,1007
2007-07-22 18:00:00,12.9,-106.6,30,1007
2007-07-22 21:00:00,13.0,-107.0,30,1007
2007-07-23 00:00:00,13.2,-107.3,30,1007
2007-07-23 03:00:00,13.5,-107.7,30,1007
2007-07-23 06:00:00,13.8,-108.0,30,1007
2007-07-23 09:00:00,14.1,-108.3,30,1007
2007-07-23 12:00:00,14.5,-108.5,30,1006
2007-07-23 15:00:00,14.8,-108.7,30,1006
2007-07-23 18:00:00,15.1,-108.9,30,1006
2007-07-23 21:00:00,15.4,-109.1,33,1006
2007-07-24 00:00:00,15.8,-109.3,35,1005
2007-07-24 03:00:00,16.1,-109.5,35,1005
2007-07-24 06:00:00,16.4,-109.7,35,1004
2007-07-24 09:00:00,16.6,-109.9,38,1003
2007-07-24 12:00:00,16.9,-110.0,40,1002
2007-07-24 15:00:00,17.2,-110.2,43,1001
2007-07-24 18:00:00,17.5,-110.3,45,999
2007-07-24 21:00:00,17.8,-110.5,48,997
2007-07-25 00:00:00,18.1,-110.6,50,995
2007-07-25 03:00:00,18.4,-110.7,50,996
2007-07-25 06:00:00,18.7,-110.9,50,996
2007-07-25 09:00:00,19.0,-111.1,48,997
2007-07-25 12:00:00,19.3,-111.3,45,998
2007-07-25 15:00:00,19.6,-111.5,45,999
2007-07-25 18:00:00,19.8,-111.8,45,1000
2007-07-25 21:00:00,20.0,-112.0,45,1000
2007-07-26 00:00:00,20.3,-112.3,45,1000
2007-07-26 03:00:00,20.6,-112.6,45,1000
2007-07-26 06:00:00,20.9,-112.9,45,1000
2007-07-26 09:00:00,21.2,-113.3,45,1000
2007-07-26 12:00:00,21.5,-113.7,45,1000
2007-07-26 15:00:00,21.8,-114.2,43,1001
2007-07-26 18:00:00,22.0,-114.8,40,1002
2007-07-26 21:00:00,22.2,-115.3,38,1003
2007-07-27 00:00:00,22.4,-115.7,35,1003
2007-07-27 03:00:00,22.6,-116.2,33,1004
2007-07-27 06:00:00,22.7,-116.6,30,1005
2007-07-27 09:00:00,22.8,-117.1,28,1006
2007-07-27 12:00:00,23.0,-117.5,25,1006
2007-07-27 15:00:00,23.1,-117.9,25,1007
2007-07-27 18:00:00,23.3,-118.2,25,1008
2007-07-27 21:00:00,23.4,-118.6,25,1009
2007-07-28 00:00:00,23.6,-118.9,25,1009
2007-07-28 03:00:00,23.7,-119.3,25,1009
2007-07-28 06:00:00,23.9,-119.6,25,1009
2007-07-28 09:00:00,24.0,-120.0,25,1009
2007-07-28 12:00:00,24.2,-120.3,25,1009
2007-07-28 15:00:00,24.4,-120.7,25,1009
2007-07-28 18:00:00,24.5,-121.0,25,1009
2007-07-28 21:00:00,24.6,-121.3,25,1009
2007-07-29 00:00:00,24.6,-121.5,25,1009
2007-07-29 03:00:00,24.6,-121.7,25,1009
2007-07-29 06:00:00,24.6,-121.9,25,1009
2007-07-29 09:00:00,24.6,-122.1,25,1009
2007-07-29 12:00:00,24.6,-122.2,25,1009
2007-07-29 15:00:00,24.5,-122.4,25,1009
2007-07-29 18:00:00,24.4,-122.5,25,1009
2007-07-29 21:00:00,24.3,-122.5,23,1009
2007-07-30 00:00:00,24.1,-122.5,20,1009
2007-07-30 03:00:00,23.9,-122.5,20,1009
2007-07-30 06:00:00,23.8,-122.5,20,1009
