time,lat,lon,vmax,mslp
2007-09-06 06:00:00,25.1,160.1,20.0,1007.0
2007-09-06 09:00:00,25.3,159.7,20.0,1007.0
2007-09-06 12:00:00,25.5,159.3,20.0,1007.0
2007-09-06 15:00:00,25.5,158.8,23.0,1006.0
2007-09-06 18:00:00,25.5,158.4,25.0,1004.0
2007-09-06 21:00:00,25.6,158.0,25.0,1004.0
2007-09-07 00:00:00,25.8,157.6,25.0,1004.0
2007-09-07 03:00:00,26.2,157.3,28.0,1004.0
2007-09-07 06:00:00,26.6,157.0,30.0,1004.0
2007-09-07 09:00:00,27.0,156.7,33.0,1000.0
2007-09-07 12:00:00,27.4,156.3,35.0,996.0
2007-09-07 15:00:00,27.9,155.8,35.0,996.0
2007-09-07 18:00:00,28.4,155.2,35.0,996.0
2007-09-07 21:00:00,28.9,154.6,38.0,995.0
2007-09-08 00:00:00,29.3,154.0,40.0,993.0
2007-09-08 03:00:00,29.7,153.4,43.0,991.0
2007-09-08 06:00:00,30.1,152.7,45.0,989.0
2007-09-08 09:00:00,30.3,152.0,48.0,987.0
2007-09-08 12:00:00,30.5,151.4,50.0,985.0
2007-09-08 15:00:00,30.8,150.8,50.0,985.0
2007-09-08 18:00:00,31.2,150.3,50.0,985.0
2007-09-08 21:00:00,31.6,149.7,50.0,985.0
2007-09-09 00:00:00,32.0,149.3,50.0,985.0
2007-09-09 03:00:00,32.5,149.1,50.0,985.0
2007-09-09 06:00:00,33.1,148.9,50.0,985.0
2007-09-09 09:00:00,33.6,148.7,50.0,985.0
2007-09-09 12:00:00,34.2,148.5,50.0,985.0
2007-09-09 15:00:00,34.8,148.3,53.0,984.0
2007-09-09 18:00:00,35.4,148.3,55.0,982.0
2007-09-09 21:00:00,36.0,148.4,58.0,980.0
2007-09-10 00:00:00,36.6,148.8,60.0,978.0
2007-09-10 03:00:00,37.4,149.4,63.0,976.0
2007-09-10 06:00:00,38.2,150.3,65.0,974.0
2007-09-10 09:00:00,38.9,151.3,65.0,974.0
2007-09-10 12:00:00,39.5,152.4,65.0,974.0
2007-09-10 15:00:00,40.0,153.5,65.0,974.0
2007-09-10 18:00:00,40.5,154.8,65.0,974.0
2007-09-10 21:00:00,40.9,156.4,63.0,976.0
2007-09-11 00:00:00,41.2,158.1,60.0,978.0
2007-09-11 03:00:00,41.2,159.5,58.0,980.0
2007-09-11 06:00:00,41.0,161.1,55.0,982.0
2007-09-11 09:00:00,40.7,163.0,55.0,982.0
2007-09-11 12:00:00,40.4,165.1,55.0,982.0
