time,lat,lon,vmax,mslp
2007-09-18 06:00:00,12.7,-106.3,25,1007
2007-09-18 09:00:00,13.0,-106.7,25,1007
2007-09-18 12:00:00,13.2,-107.1,25,1006
2007-09-18 15:00:00,13.4,-107.5,28,1006
2007-09-18 18:00:00,13.7,-107.9,30,1005
2007-09-18 21:00:00,14.0,-108.3,35,1004
2007-09-19 00:00:00,14.2,-108.8,40,1002
2007-09-19 03:00:00,14.4,-109.2,45,1000
2007-09-19 06:00:00,14.6,-109.7,50,997
2007-09-19 09:00:00,14.8,-110.2,53,996
2007-09-19 12:00:00,15.0,-110.7,55,994
2007-09-19 15:00:00,15.2,-111.2,58,993
2007-09-19 18:00:00,15.3,-111.6,60,991
2007-09-19 21:00:00,15.5,-111.9,63,989
2007-09-20 00:00:00,15.7,-112.1,65,987
2007-09-20 03:00:00,15.9,-112.3,65,987
2007-09-20 06:00:00,16.2,-112.5,65,987
2007-09-20 09:00:00,16.5,-112.7,65,987
2007-09-20 12:00:00,16.8,-112.8,65,986
2007-09-20 15:00:00,17.1,-113.0,68,986
2007-09-20 18:00:00,17.5,-113.1,70,985
2007-09-20 21:00:00,17.9,-113.3,70,985
2007-09-21 00:00:00,18.2,-113.4,70,984
2007-09-21 03:00:00,18.5,-113.5,70,984
2007-09-21 06:00:00,18.8,-113.6,70,984
2007-09-21 09:00:00,19.1,-113.6,68,986
2007-09-21 12:00:00,19.3,-113.6,65,987
2007-09-21 15:00:00,19.5,-113.6,63,989
2007-09-21 18:00:00,19.8,-113.5,60,990
2007-09-21 21:00:00,20.1,-113.4,58,992
2007-09-22 00:00:00,20.3,-113.3,55,994
2007-09-22 03:00:00,20.5,-113.2,53,996
2007-09-22 06:00:00,20.7,-113.1,50,997
2007-09-22 09:00:00,21.0,-113.0,48,998
2007-09-22 12:00:00,21.2,-112.8,45,999
2007-09-22 15:00:00,21.4,-112.7,40,1001
2007-09-22 18:00:00,21.6,-112.5,35,1002
2007-09-22 21:00:00,21.8,-112.3,33,1003
2007-09-23 00:00:00,21.9,-112.1,30,1004
2007-09-23 03:00:00,22.0,-111.9,28,1005
2007-09-23 06:00:00,22.0,-111.8,25,1006
2007-09-23 09:00:00,22.0,-111.7,25,1007
2007-09-23 12:00:00,22.0,-111.5,25,1007
2007-09-23 15:00:00,22.0,-111.3,25,1007
2007-09-23 18:00:00,22.0,-111.1,25,1007
2007-09-23 21:00:00,22.0,-110.9,25,1007
2007-09-24 00:00:00,22.0,-110.7,25,1007
2007-09-24 03:00:00,22.0,-110.5,23,1008
2007-09-24 06:00:00,22.0,-110.4,20,1008
2007-09-24 09:00:00,22.0,-110.2,18,1009
2007-09-24 12:00:00,22.0,-110.1,15,1009
2007-09-24 15:00:00,22.0,-110.0,15,1009
2007-09-24 18:00:00,21.9,-109.9,15,1009
2007-09-24 21:00:00,21.8,-109.8,15,1010
2007-09-25 00:00:00,21.8,-109.6,15,1010
