time,lat,lon,vmax,mslp
2007-10-09 00:00:00,18.8,-179.4,15.0,1010.0
2007-10-09 03:00:00,19.0,-179.8,15.0,1010.0
2007-10-09 06:00:00,19.1,179.7,15.0,1010.0
2007-10-09 09:00:00,19.2,179.1,15.0,1010.0
2007-10-09 12:00:00,19.3,178.5,15.0,1010.0
2007-10-09 15:00:00,19.4,177.9,15.0,1010.0
2007-10-09 18:00:00,19.6,177.3,15.0,1010.0
2007-10-09 21:00:00,19.7,176.7,15.0,1010.0
2007-10-10 00:00:00,19.9,176.3,15.0,1010.0
2007-10-10 03:00:00,20.2,176.0,15.0,1010.0
2007-10-10 06:00:00,20.5,175.8,15.0,1010.0
2007-10-10 09:00:00,20.7,175.4,15.0,1010.0
2007-10-10 12:00:00,21.0,175.1,15.0,1010.0
2007-10-10 15:00:00,21.3,174.8,15.0,1010.0
2007-10-10 18:00:00,21.7,174.6,15.0,1010.0
2007-10-10 21:00:00,22.0,174.5,15.0,1009.0
2007-10-11 00:00:00,22.4,174.4,15.0,1008.0
2007-10-11 03:00:00,22.8,174.3,15.0,1009.0
2007-10-11 06:00:00,23.1,174.2,15.0,1010.0
2007-10-11 09:00:00,23.4,174.0,18.0,1009.0
2007-10-11 12:00:00,23.7,173.8,20.0,1007.0
2007-10-11 15:00:00,24.0,173.6,20.0,1007.0
2007-10-11 18:00:00,24.2,173.4,20.0,1007.0
2007-10-11 21:00:00,24.5,173.2,23.0,1006.0
2007-10-12 00:00:00,24.7,173.0,25.0,1004.0
2007-10-12 03:00:00,24.9,172.8,28.0,1002.0
2007-10-12 06:00:00,25.1,172.7,30.0,1000.0
2007-10-12 09:00:00,25.4,172.5,33.0,1000.0
2007-10-12 12:00:00,25.7,172.3,35.0,999.0
2007-10-12 15:00:00,26.1,172.1,35.0,998.0
2007-10-12 18:00:00,26.5,171.9,35.0,996.0
2007-10-12 21:00:00,27.0,171.6,35.0,996.0
2007-10-13 00:00:00,27.5,171.3,35.0,996.0
2007-10-13 03:00:00,28.0,171.2,38.0,995.0
2007-10-13 06:00:00,28.6,171.0,40.0,993.0
2007-10-13 09:00:00,29.1,170.7,40.0,993.0
2007-10-13 12:00:00,29.6,170.3,40.0,993.0
2007-10-13 15:00:00,30.0,170.0,40.0,993.0
2007-10-13 18:00:00,30.4,169.8,40.0,993.0
2007-10-13 21:00:00,30.9,169.8,38.0,995.0
2007-10-14 00:00:00,31.4,169.9,35.0,996.0
2007-10-14 03:00:00,31.9,170.0,33.0,998.0
2007-10-14 06:00:00,32.4,170.3,30.0,1000.0
2007-10-14 09:00:00,32.9,170.8,28.0,1002.0
2007-10-14 12:00:00,33.4,171.5,25.0,1004.0
2007-10-14 15:00:00,33.9,172.2,25.0,1004.0
2007-10-14 18:00:00,34.4,173.2,25.0,1004.0
2007-10-14 21:00:00,34.9,174.7,23.0,1006.0
2007-10-15 00:00:00,35.4,176.4,20.0,1007.0
2007-10-15 03:00:00,36.1,177.9,20.0,1007.0
2007-10-15 06:00:00,36.9,179.3,20.0,1007.0
