time,lat,lon,vmax,mslp
2007-10-18 06:00:00,18.5,147.9,20.0,1007.0
2007-10-18 09:00:00,18.9,147.3,20.0,1007.0
2007-10-18 12:00:00,19.2,146.6,20.0,1007.0
2007-10-18 15:00:00,19.3,145.9,23.0,1006.0
2007-10-18 18:00:00,19.2,145.1,25.0,1004.0
2007-10-18 21:00:00,19.0,144.4,30.0,1000.0
2007-10-19 00:00:00,19.0,143.7,35.0,996.0
2007-10-19 03:00:00,19.3,143.2,43.0,991.0
2007-10-19 06:00:00,19.7,142.8,50.0,985.0
2007-10-19 09:00:00,20.1,142.3,53.0,984.0
2007-10-19 12:00:00,20.6,141.9,55.0,982.0
2007-10-19 15:00:00,21.0,141.5,63.0,976.0
2007-10-19 18:00:00,21.4,141.1,70.0,970.0
2007-10-19 21:00:00,21.7,140.8,80.0,963.0
2007-10-20 00:00:00,22.1,140.6,90.0,956.0
2007-10-20 03:00:00,22.7,140.5,98.0,950.0
2007-10-20 06:00:00,23.3,140.6,105.0,944.0
2007-10-20 09:00:00,23.9,140.8,105.0,957.0
2007-10-20 12:00:00,24.5,141.1,105.0,969.0
2007-10-20 15:00:00,25.3,141.5,110.0,953.0
2007-10-20 18:00:00,26.1,142.1,115.0,937.0
2007-10-20 21:00:00,26.9,142.9,115.0,937.0
2007-10-21 00:00:00,27.8,143.9,115.0,937.0
2007-10-21 03:00:00,28.8,145.1,115.0,937.0
2007-10-21 06:00:00,29.9,146.4,115.0,937.0
2007-10-21 09:00:00,31.1,147.8,103.0,947.0
2007-10-21 12:00:00,32.2,149.4,90.0,956.0
2007-10-21 15:00:00,33.1,151.3,83.0,962.0
2007-10-21 18:00:00,33.9,153.4,75.0,967.0
2007-10-21 21:00:00,34.7,155.5,63.0,976.0
2007-10-22 00:00:00,35.4,157.7,50.0,985.0
2007-10-22 03:00:00,35.9,159.9,50.0,985.0
2007-10-22 06:00:00,36.2,162.0,50.0,985.0
