time,lat,lon,vmax,mslp
2008-05-26 00:00:00,9.9,140.8,20.0,1006.0
2008-05-26 03:00:00,10.4,140.3,20.0,1007.0
2008-05-26 06:00:00,10.9,139.9,20.0,1007.0
2008-05-26 09:00:00,11.4,139.6,20.0,1007.0
2008-05-26 12:00:00,11.9,139.3,20.0,1007.0
2008-05-26 15:00:00,12.5,139.0,23.0,1006.0
2008-05-26 18:00:00,13.0,138.8,25.0,1004.0
2008-05-26 21:00:00,13.4,138.5,25.0,1004.0
2008-05-27 00:00:00,13.8,138.3,25.0,1004.0
2008-05-27 03:00:00,14.2,138.0,28.0,1002.0
2008-05-27 06:00:00,14.5,137.8,30.0,1000.0
2008-05-27 09:00:00,14.5,137.6,30.0,1000.0
2008-05-27 10:00:00,14.5,137.5,30.0,1000.0
2008-05-27 12:00:00,14.5,137.4,35.0,996.0
2008-05-27 15:00:00,14.7,137.3,40.0,993.0
2008-05-27 18:00:00,15.0,137.3,45.0,989.0
2008-05-27 21:00:00,15.2,137.2,50.0,986.0
2008-05-28 00:00:00,15.4,137.0,55.0,982.0
2008-05-28 03:00:00,15.6,136.9,55.0,982.0
2008-05-28 06:00:00,15.7,136.9,55.0,982.0
2008-05-28 09:00:00,15.8,136.9,60.0,978.0
2008-05-28 12:00:00,15.9,136.8,65.0,974.0
2008-05-28 15:00:00,15.9,136.7,73.0,969.0
2008-05-28 18:00:00,15.9,136.6,80.0,963.0
2008-05-28 21:00:00,15.9,136.5,90.0,956.0
2008-05-29 00:00:00,16.0,136.3,100.0,948.0
2008-05-29 03:00:00,16.1,136.1,113.0,939.0
2008-05-29 06:00:00,16.1,135.9,125.0,929.0
2008-05-29 09:00:00,16.1,135.7,125.0,929.0
2008-05-29 12:00:00,16.1,135.5,125.0,929.0
2008-05-29 15:00:00,16.2,135.3,125.0,929.0
2008-05-29 18:00:00,16.3,135.1,125.0,929.0
2008-05-29 21:00:00,16.4,134.9,125.0,929.0
2008-05-30 00:00:00,16.6,134.6,125.0,929.0
2008-05-30 03:00:00,16.8,134.4,120.0,933.0
2008-05-30 06:00:00,17.0,134.1,115.0,937.0
2008-05-30 09:00:00,17.1,133.8,110.0,941.0
2008-05-30 12:00:00,17.3,133.5,105.0,944.0
2008-05-30 15:00:00,17.5,133.3,100.0,948.0
2008-05-30 18:00:00,17.8,133.1,95.0,952.0
2008-05-30 21:00:00,18.1,133.0,95.0,952.0
2008-05-31 00:00:00,18.4,133.0,95.0,952.0
2008-05-31 03:00:00,18.8,133.0,95.0,952.0
2008-05-31 06:00:00,19.1,132.9,95.0,952.0
2008-05-31 09:00:00,19.4,132.8,90.0,956.0
2008-05-31 12:00:00,19.7,132.8,85.0,959.0
2008-05-31 15:00:00,20.0,132.8,83.0,961.0
2008-05-31 18:00:00,20.2,132.8,80.0,963.0
2008-05-31 21:00:00,20.4,132.8,75.0,967.0
2008-06-01 00:00:00,20.7,132.9,70.0,970.0
2008-06-01 03:00:00,21.1,133.0,70.0,970.0
2008-06-01 06:00:00,21.6,133.1,70.0,970.0
2008-06-01 09:00:00,22.1,133.2,73.0,969.0
2008-06-01 12:00:00,22.6,133.3,75.0,967.0
2008-06-01 15:00:00,23.1,133.5,80.0,963.0
2008-06-01 18:00:00,23.7,133.7,85.0,959.0
2008-06-01 21:00:00,24.4,134.0,88.0,958.0
2008-06-02 00:00:00,25.2,134.4,90.0,956.0
2008-06-02 03:00:00,26.0,134.8,88.0,958.0
2008-06-02 06:00:00,26.9,135.4,85.0,959.0
2008-06-02 09:00:00,27.7,136.2,80.0,963.0
2008-06-02 12:00:00,28.6,137.0,75.0,967.0
2008-06-02 15:00:00,29.5,137.7,68.0,973.0
2008-06-02 18:00:00,30.4,138.4,60.0,978.0
2008-06-02 21:00:00,31.2,139.4,53.0,984.0
2008-06-03 00:00:00,31.9,140.5,45.0,989.0
