time,lat,lon,vmax,mslp
2008-06-27 06:00:00,12.2,-107.9,30,1006
2008-06-27 09:00:00,12.4,-108.3,33,1006
2008-06-27 12:00:00,12.6,-108.7,35,1005
2008-06-27 15:00:00,12.8,-109.1,40,1003
2008-06-27 18:00:00,13.0,-109.5,45,1000
2008-06-27 21:00:00,13.2,-110.0,48,999
2008-06-28 00:00:00,13.5,-110.5,50,997
2008-06-28 03:00:00,13.8,-111.0,50,997
2008-06-28 06:00:00,14.0,-111.5,50,997
2008-06-28 09:00:00,14.2,-112.0,48,999
2008-06-28 12:00:00,14.4,-112.5,45,1000
2008-06-28 15:00:00,14.6,-113.0,45,1000
2008-06-28 18:00:00,14.7,-113.4,45,1000
2008-06-28 21:00:00,14.8,-113.8,45,1000
2008-06-29 00:00:00,14.9,-114.2,45,1000
2008-06-29 03:00:00,15.0,-114.6,45,1000
2008-06-29 06:00:00,15.0,-115.0,45,1000
2008-06-29 09:00:00,15.0,-115.4,48,999
2008-06-29 12:00:00,14.9,-115.8,50,997
2008-06-29 15:00:00,14.8,-116.3,53,996
2008-06-29 18:00:00,14.8,-116.8,55,995
2008-06-29 21:00:00,14.8,-117.3,58,994
2008-06-30 00:00:00,14.8,-117.9,60,992
2008-06-30 03:00:00,14.8,-118.4,60,992
2008-06-30 06:00:00,14.9,-119.0,60,992
2008-06-30 09:00:00,14.9,-119.6,60,992
2008-06-30 12:00:00,14.9,-120.2,60,992
2008-06-30 15:00:00,14.9,-120.8,60,992
2008-06-30 18:00:00,14.8,-121.4,60,992
2008-06-30 21:00:00,14.7,-122.0,63,991
2008-07-01 00:00:00,14.7,-122.5,65,989
2008-07-01 03:00:00,14.6,-123.0,65,989
2008-07-01 06:00:00,14.6,-123.5,65,989
2008-07-01 09:00:00,14.6,-123.9,65,989
2008-07-01 12:00:00,14.7,-124.3,65,989
2008-07-01 15:00:00,14.8,-124.7,63,990
2008-07-01 18:00:00,14.9,-125.0,60,991
2008-07-01 21:00:00,15.1,-125.3,63,990
2008-07-02 00:00:00,15.3,-125.6,65,988
2008-07-02 03:00:00,15.5,-125.9,68,987
2008-07-02 06:00:00,15.7,-126.2,70,985
2008-07-02 09:00:00,16.0,-126.6,68,987
2008-07-02 12:00:00,16.2,-126.9,65,988
2008-07-02 15:00:00,16.4,-127.2,60,990
2008-07-02 18:00:00,16.6,-127.4,55,992
2008-07-02 21:00:00,16.8,-127.7,53,994
2008-07-03 00:00:00,16.9,-127.9,50,995
2008-07-03 03:00:00,17.1,-128.1,50,995
2008-07-03 06:00:00,17.2,-128.4,50,995
2008-07-03 09:00:00,17.3,-128.7,45,998
2008-07-03 12:00:00,17.3,-129.0,40,1000
2008-07-03 15:00:00,17.3,-129.3,38,1001
2008-07-03 18:00:00,17.3,-129.6,35,1002
2008-07-03 21:00:00,17.3,-129.9,33,1003
2008-07-04 00:00:00,17.2,-130.2,30,1003
2008-07-04 03:00:00,17.1,-130.5,28,1004
2008-07-04 06:00:00,17.1,-130.8,25,1005
2008-07-04 09:00:00,17.1,-131.1,23,1006
2008-07-04 12:00:00,17.0,-131.5,20,1006
2008-07-04 15:00:00,16.9,-131.9,20,1007
2008-07-04 18:00:00,16.8,-132.4,20,1007
2008-07-04 21:00:00,16.7,-132.8,20,1007
2008-07-05 00:00:00,16.5,-133.2,20,1007
2008-07-05 03:00:00,16.3,-133.6,20,1007
2008-07-05 06:00:00,16.2,-134.0,20,1007
2008-07-05 09:00:00,16.1,-134.5,20,1007
2008-07-05 12:00:00,16.0,-135.0,20,1007
2008-07-05 15:00:00,16.0,-135.6,20,1007
2008-07-05 18:00:00,16.0,-136.2,20,1007
2008-07-05 21:00:00,16.0,-136.7,20,1007
2008-07-06 00:00:00,15.9,-137.2,20,1007
2008-07-06 03:00:00,15.8,-137.6,20,1008
2008-07-06 06:00:00,15.8,-138.0,20,1008
