time,lat,lon,vmax,mslp
2008-06-27 18:00:00,13.5,-122.0,30,1007
2008-06-27 21:00:00,13.7,-122.3,30,1007
2008-06-28 00:00:00,13.9,-122.7,30,1006
2008-06-28 03:00:00,14.1,-123.1,30,1006
2008-06-28 06:00:00,14.2,-123.5,30,1006
2008-06-28 09:00:00,14.3,-123.9,33,1006
2008-06-28 12:00:00,14.4,-124.3,35,1005
2008-06-28 15:00:00,14.5,-124.7,40,1003
2008-06-28 18:00:00,14.6,-125.0,45,1000
2008-06-28 21:00:00,14.6,-125.4,45,1000
2008-06-29 00:00:00,14.6,-125.7,45,999
2008-06-29 03:00:00,14.6,-126.0,45,1000
2008-06-29 06:00:00,14.6,-126.4,45,1000
2008-06-29 09:00:00,14.6,-126.7,43,1001
2008-06-29 12:00:00,14.5,-127.1,40,1002
2008-06-29 15:00:00,14.4,-127.5,40,1002
2008-06-29 18:00:00,14.4,-127.9,40,1002
2008-06-29 21:00:00,14.3,-128.3,40,1002
2008-06-30 00:00:00,14.3,-128.8,40,1002
2008-06-30 03:00:00,14.3,-129.2,40,1002
2008-06-30 06:00:00,14.3,-129.7,40,1002
2008-06-30 09:00:00,14.3,-130.2,35,1004
2008-06-30 12:00:00,14.2,-130.7,30,1005
2008-06-30 15:00:00,14.1,-131.2,30,1006
2008-06-30 18:00:00,14.1,-131.7,30,1007
2008-06-30 21:00:00,14.1,-132.2,28,1008
2008-07-01 00:00:00,14.1,-132.7,25,1008
2008-07-01 03:00:00,14.1,-133.2,23,1009
2008-07-01 06:00:00,14.1,-133.7,20,1009
2008-07-01 09:00:00,14.1,-134.1,20,1009
2008-07-01 12:00:00,14.1,-134.5,20,1009
2008-07-01 15:00:00,14.1,-134.9,20,1009
2008-07-01 18:00:00,14.0,-135.3,20,1009
2008-07-01 21:00:00,13.9,-135.7,20,1009
2008-07-02 00:00:00,13.8,-136.0,20,1009
2008-07-02 03:00:00,13.7,-136.3,20,1009
2008-07-02 06:00:00,13.5,-136.5,20,1009
2008-07-02 09:00:00,13.3,-136.7,20,1009
2008-07-02 12:00:00,13.1,-136.9,20,1009
2008-07-02 15:00:00,12.9,-137.0,20,1009
2008-07-02 18:00:00,12.8,-137.1,20,1009
2008-07-02 21:00:00,12.7,-137.2,20,1009
2008-07-03 00:00:00,12.5,-137.2,20,1009
