time,lat,lon,vmax,mslp
2008-08-13 12:00:00,16.3,-105.4,30,1005
2008-08-13 15:00:00,16.5,-105.9,33,1004
2008-08-13 18:00:00,16.7,-106.4,35,1003
2008-08-13 21:00:00,16.9,-106.9,38,1003
2008-08-14 00:00:00,17.1,-107.3,40,1002
2008-08-14 03:00:00,17.3,-107.8,40,1002
2008-08-14 06:00:00,17.4,-108.2,40,1002
2008-08-14 09:00:00,17.5,-108.7,43,1001
2008-08-14 12:00:00,17.6,-109.1,45,999
2008-08-14 15:00:00,17.6,-109.5,43,1001
2008-08-14 18:00:00,17.6,-109.9,40,1002
2008-08-14 21:00:00,17.6,-110.3,40,1002
2008-08-15 00:00:00,17.6,-110.6,40,1002
2008-08-15 03:00:00,17.6,-110.8,40,1002
2008-08-15 06:00:00,17.7,-110.9,40,1002
2008-08-15 09:00:00,17.7,-111.0,40,1002
2008-08-15 12:00:00,17.8,-111.1,40,1002
2008-08-15 15:00:00,17.8,-111.2,38,1003
2008-08-15 18:00:00,17.9,-111.3,35,1004
2008-08-15 21:00:00,18.0,-111.4,33,1005
2008-08-16 00:00:00,18.1,-111.4,30,1006
2008-08-16 03:00:00,18.2,-111.4,30,1006
2008-08-16 06:00:00,18.3,-111.5,30,1006
2008-08-16 09:00:00,18.4,-111.7,30,1006
2008-08-16 12:00:00,18.4,-112.0,30,1006
2008-08-16 15:00:00,18.4,-112.2,30,1006
2008-08-16 18:00:00,18.4,-112.4,30,1006
2008-08-16 21:00:00,18.4,-112.5,28,1007
2008-08-17 00:00:00,18.5,-112.6,25,1007
2008-08-17 03:00:00,18.6,-112.7,25,1008
2008-08-17 06:00:00,18.7,-112.9,25,1008
2008-08-17 09:00:00,18.8,-113.2,25,1008
2008-08-17 12:00:00,18.8,-113.6,25,1008
2008-08-17 15:00:00,18.8,-114.0,25,1008
2008-08-17 18:00:00,18.8,-114.3,25,1008
2008-08-17 21:00:00,18.8,-114.6,25,1008
2008-08-18 00:00:00,18.8,-114.9,25,1008
2008-08-18 03:00:00,18.8,-115.2,25,1009
2008-08-18 06:00:00,18.9,-115.6,25,1009
2008-08-18 09:00:00,19.0,-116.0,25,1009
2008-08-18 12:00:00,19.0,-116.4,25,1009
2008-08-18 15:00:00,19.0,-116.8,25,1009
2008-08-18 18:00:00,19.0,-117.1,25,1009
2008-08-18 21:00:00,18.9,-117.4,25,1009
2008-08-19 00:00:00,18.8,-117.8,25,1009
2008-08-19 03:00:00,18.7,-118.2,25,1009
2008-08-19 06:00:00,18.5,-118.6,25,1009
2008-08-19 09:00:00,18.4,-118.9,25,1009
2008-08-19 12:00:00,18.2,-119.2,25,1009
2008-08-19 15:00:00,18.0,-119.5,25,1009
2008-08-19 18:00:00,17.8,-119.7,25,1009
2008-08-19 21:00:00,17.6,-119.9,25,1009
2008-08-20 00:00:00,17.3,-120.1,25,1009
2008-08-20 03:00:00,17.0,-120.3,25,1009
2008-08-20 06:00:00,16.7,-120.5,25,1009
2008-08-20 09:00:00,16.4,-120.7,25,1009
2008-08-20 12:00:00,16.1,-120.9,25,1009
2008-08-20 15:00:00,15.8,-121.1,25,1009
2008-08-20 18:00:00,15.5,-121.4,25,1009
2008-08-20 21:00:00,15.2,-121.6,25,1009
2008-08-21 00:00:00,14.9,-121.9,25,1009
2008-08-21 03:00:00,14.6,-122.1,25,1009
2008-08-21 06:00:00,14.4,-122.4,25,1009
2008-08-21 09:00:00,14.2,-122.7,25,1009
2008-08-21 12:00:00,14.1,-123.0,25,1009
2008-08-21 15:00:00,13.9,-123.4,23,1010
2008-08-21 18:00:00,13.8,-123.7,20,1010
2008-08-21 21:00:00,13.7,-124.0,20,1010
2008-08-22 00:00:00,13.6,-124.2,20,1010
2008-08-22 03:00:00,13.5,-124.5,20,1010
2008-08-22 06:00:00,13.4,-124.7,20,1010
2008-08-22 09:00:00,13.3,-125.0,23,1010
2008-08-22 12:00:00,13.3,-125.2,25,1009
2008-08-22 15:00:00,13.3,-125.4,25,1009
2008-08-22 18:00:00,13.3,-125.6,25,1009
2008-08-22 21:00:00,13.4,-125.7,25,1009
2008-08-23 00:00:00,13.5,-125.8,25,1009
2008-08-23 03:00:00,13.7,-125.9,25,1009
2008-08-23 06:00:00,13.8,-125.9,25,1009
2008-08-23 09:00:00,13.9,-125.9,23,1010
2008-08-23 12:00:00,13.9,-125.9,20,1010
