time,lat,lon,vmax,mslp
2008-09-02 06:00:00,18.6,-110.0,30,1002
2008-09-02 09:00:00,18.9,-110.5,33,1001
2008-09-02 12:00:00,19.2,-111.0,35,1000
2008-09-02 15:00:00,19.4,-111.4,35,1000
2008-09-02 18:00:00,19.5,-111.8,35,1000
2008-09-02 21:00:00,19.7,-112.2,33,1000
2008-09-03 00:00:00,19.9,-112.6,30,1000
2008-09-03 03:00:00,20.0,-113.0,30,1001
2008-09-03 06:00:00,20.1,-113.4,30,1002
2008-09-03 09:00:00,20.2,-113.6,28,1004
2008-09-03 12:00:00,20.2,-113.8,25,1005
2008-09-03 15:00:00,20.2,-113.9,25,1006
2008-09-03 18:00:00,20.3,-114.0,25,1006
