time,lat,lon,vmax,mslp
2008-09-06 12:00:00,14.9,-104.3,25,1004
2008-09-06 15:00:00,15.0,-104.8,28,1004
2008-09-06 18:00:00,15.2,-105.2,30,1003
2008-09-06 21:00:00,15.4,-105.6,33,1003
2008-09-07 00:00:00,15.7,-106.0,35,1002
2008-09-07 03:00:00,16.0,-106.4,38,1001
2008-09-07 06:00:00,16.3,-106.7,40,1000
2008-09-07 09:00:00,16.6,-107.1,43,999
2008-09-07 12:00:00,16.9,-107.5,45,998
2008-09-07 15:00:00,17.2,-108.0,45,998
2008-09-07 18:00:00,17.4,-108.4,45,998
2008-09-07 21:00:00,17.6,-108.8,45,998
2008-09-08 00:00:00,17.8,-109.2,45,998
2008-09-08 03:00:00,18.0,-109.6,45,998
2008-09-08 06:00:00,18.3,-110.0,45,998
2008-09-08 09:00:00,18.5,-110.3,43,999
2008-09-08 12:00:00,18.8,-110.6,40,1000
2008-09-08 15:00:00,19.1,-110.9,40,1000
2008-09-08 18:00:00,19.3,-111.3,40,1000
2008-09-08 21:00:00,19.5,-111.7,40,1000
2008-09-09 00:00:00,19.6,-112.0,40,1000
2008-09-09 03:00:00,19.7,-112.3,40,1000
2008-09-09 06:00:00,19.9,-112.6,40,1000
2008-09-09 09:00:00,20.1,-112.8,40,1000
2008-09-09 12:00:00,20.3,-113.0,40,1000
2008-09-09 15:00:00,20.5,-113.1,40,1000
2008-09-09 18:00:00,20.7,-113.1,40,1000
2008-09-09 21:00:00,20.9,-113.1,38,1001
2008-09-10 00:00:00,21.1,-113.1,35,1002
2008-09-10 03:00:00,21.3,-113.0,33,1002
2008-09-10 06:00:00,21.6,-112.9,30,1002
2008-09-10 09:00:00,21.8,-112.8,30,1002
2008-09-10 12:00:00,22.0,-112.6,30,1002
2008-09-10 15:00:00,22.2,-112.4,30,1002
2008-09-10 18:00:00,22.4,-112.1,30,1002
2008-09-10 21:00:00,22.6,-111.8,30,1002
2008-09-11 00:00:00,22.7,-111.4,30,1002
2008-09-11 03:00:00,22.8,-111.0,30,1002
2008-09-11 06:00:00,22.9,-110.6,30,1001
2008-09-11 09:00:00,23.0,-110.1,30,1000
2008-09-11 12:00:00,23.0,-109.7,30,1000
