time,lat,lon,vmax,mslp
2008-11-14 18:00:00,23.4,146.1,15.0,1010.0
2008-11-14 21:00:00,23.5,146.4,18.0,1009.0
2008-11-15 00:00:00,23.6,146.7,20.0,1007.0
2008-11-15 03:00:00,23.8,147.0,23.0,1006.0
2008-11-15 06:00:00,24.1,147.4,25.0,1004.0
2008-11-15 09:00:00,24.4,147.9,28.0,1002.0
2008-11-15 12:00:00,24.8,148.5,30.0,1000.0
2008-11-15 15:00:00,25.1,149.1,30.0,1000.0
2008-11-15 18:00:00,25.5,149.7,30.0,1000.0
2008-11-15 21:00:00,26.0,150.4,33.0,998.0
2008-11-16 00:00:00,26.5,151.2,35.0,996.0
2008-11-16 03:00:00,26.9,152.0,38.0,995.0
2008-11-16 06:00:00,27.3,152.9,40.0,993.0
2008-11-16 09:00:00,27.8,153.7,40.0,993.0
2008-11-16 12:00:00,28.2,154.5,40.0,993.0
2008-11-16 15:00:00,28.5,155.3,38.0,995.0
2008-11-16 18:00:00,28.9,156.1,35.0,996.0
2008-11-16 21:00:00,29.3,156.8,33.0,998.0
2008-11-17 00:00:00,29.8,157.5,30.0,1000.0
