time,lat,lon,vmax,mslp
2009-07-12 18:00:00,10.5,-103.1,25,1009
2009-07-12 21:00:00,10.5,-103.9,25,1009
2009-07-13 00:00:00,10.6,-104.7,25,1009
2009-07-13 03:00:00,10.7,-105.4,25,1009
2009-07-13 06:00:00,10.9,-106.2,25,1009
2009-07-13 09:00:00,11.0,-107.0,25,1009
2009-07-13 12:00:00,11.2,-107.8,25,1008
2009-07-13 15:00:00,11.4,-108.5,25,1008
2009-07-13 18:00:00,11.6,-109.2,25,1008
2009-07-13 21:00:00,11.8,-109.8,25,1008
2009-07-14 00:00:00,12.0,-110.3,25,1008
2009-07-14 03:00:00,12.1,-110.8,25,1008
2009-07-14 06:00:00,12.3,-111.2,25,1008
2009-07-14 09:00:00,12.5,-111.6,25,1008
2009-07-14 12:00:00,12.8,-112.0,25,1008
2009-07-14 15:00:00,13.0,-112.4,28,1008
2009-07-14 18:00:00,13.3,-112.7,30,1007
2009-07-14 21:00:00,13.6,-113.1,30,1007
2009-07-15 00:00:00,13.8,-113.5,30,1006
2009-07-15 03:00:00,14.0,-114.0,30,1006
2009-07-15 06:00:00,14.2,-114.4,30,1006
2009-07-15 09:00:00,14.5,-114.8,33,1006
2009-07-15 12:00:00,14.8,-115.2,35,1005
2009-07-15 15:00:00,15.3,-115.6,38,1004
2009-07-15 18:00:00,15.8,-116.1,40,1003
2009-07-15 21:00:00,16.4,-116.6,45,1000
2009-07-16 00:00:00,17.0,-117.2,50,997
2009-07-16 03:00:00,17.4,-117.9,48,999
2009-07-16 06:00:00,17.8,-118.7,45,1000
2009-07-16 09:00:00,18.1,-119.5,43,1001
2009-07-16 12:00:00,18.4,-120.3,40,1002
2009-07-16 15:00:00,18.7,-121.1,38,1003
2009-07-16 18:00:00,19.0,-121.9,35,1004
2009-07-16 21:00:00,19.3,-122.7,33,1005
2009-07-17 00:00:00,19.5,-123.4,30,1006
2009-07-17 03:00:00,19.7,-124.1,30,1006
2009-07-17 06:00:00,19.9,-124.8,30,1006
2009-07-17 09:00:00,20.0,-125.6,30,1006
2009-07-17 12:00:00,20.2,-126.3,30,1006
2009-07-17 15:00:00,20.4,-127.0,30,1007
2009-07-17 18:00:00,20.7,-127.6,30,1007
2009-07-17 21:00:00,21.0,-128.2,30,1008
2009-07-18 00:00:00,21.3,-128.8,30,1008
2009-07-18 03:00:00,21.6,-129.4,28,1009
2009-07-18 06:00:00,22.0,-129.9,25,1010
2009-07-18 09:00:00,22.4,-130.5,25,1011
2009-07-18 12:00:00,22.8,-131.0,25,1012
2009-07-18 15:00:00,23.2,-131.5,23,1013
2009-07-18 18:00:00,23.7,-132.0,20,1014
2009-07-18 21:00:00,24.2,-132.5,20,1015
2009-07-19 00:00:00,24.8,-132.9,20,1015
2009-07-19 03:00:00,25.3,-133.3,20,1016
2009-07-19 06:00:00,25.9,-133.7,20,1016
2009-07-19 09:00:00,26.4,-134.0,20,1016
2009-07-19 12:00:00,27.0,-134.3,20,1016
2009-07-19 15:00:00,27.6,-134.4,18,1016
2009-07-19 18:00:00,28.3,-134.5,15,1016
2009-07-19 21:00:00,28.9,-134.5,15,1016
2009-07-20 00:00:00,29.5,-134.5,15,1016
