time,lat,lon,vmax,mslp
2009-07-28 18:00:00,10.8,-128.8,25,1009
2009-07-28 21:00:00,10.8,-129.4,25,1009
2009-07-29 00:00:00,10.9,-130.0,25,1009
2009-07-29 03:00:00,11.0,-130.6,25,1009
2009-07-29 06:00:00,11.0,-131.2,25,1009
2009-07-29 09:00:00,11.0,-131.8,25,1009
2009-07-29 12:00:00,11.0,-132.5,25,1009
2009-07-29 15:00:00,11.0,-133.2,25,1009
2009-07-29 18:00:00,11.1,-134.0,25,1009
2009-07-29 21:00:00,11.2,-134.8,25,1009
2009-07-30 00:00:00,11.3,-135.6,25,1009
2009-07-30 03:00:00,11.4,-136.4,25,1009
2009-07-30 06:00:00,11.6,-137.3,25,1009
2009-07-30 09:00:00,11.8,-138.2,28,1009
2009-07-30 12:00:00,12.0,-139.1,30,1008
2009-07-30 15:00:00,12.0,-139.9,33,1007
2009-07-30 18:00:00,12.1,-140.6,35,1005
2009-07-30 21:00:00,12.3,-141.4,40,1003
2009-07-31 00:00:00,12.6,-142.3,45,1000
2009-07-31 03:00:00,12.8,-143.1,48,999
2009-07-31 06:00:00,13.0,-143.9,50,997
2009-07-31 09:00:00,13.2,-144.7,50,997
2009-07-31 12:00:00,13.4,-145.5,50,997
2009-07-31 15:00:00,13.6,-146.2,53,996
2009-07-31 18:00:00,13.8,-146.9,55,995
2009-07-31 21:00:00,13.9,-147.7,53,996
2009-08-01 00:00:00,14.0,-148.4,50,997
2009-08-01 03:00:00,14.1,-149.1,48,998
2009-08-01 06:00:00,14.2,-149.8,45,999
2009-08-01 09:00:00,14.3,-150.5,45,1000
2009-08-01 12:00:00,14.4,-151.2,45,1000
2009-08-01 15:00:00,14.4,-151.9,45,1000
2009-08-01 18:00:00,14.4,-152.6,45,1000
2009-08-01 21:00:00,14.4,-153.4,43,1001
2009-08-02 00:00:00,14.5,-154.2,40,1002
2009-08-02 03:00:00,14.5,-155.1,40,1003
2009-08-02 06:00:00,14.5,-155.9,40,1003
2009-08-02 09:00:00,14.4,-156.7,38,1004
2009-08-02 12:00:00,14.4,-157.4,35,1004
2009-08-02 15:00:00,14.4,-158.2,33,1005
2009-08-02 18:00:00,14.4,-158.9,30,1006
2009-08-02 21:00:00,14.4,-159.6,28,1007
2009-08-03 00:00:00,14.4,-160.3,25,1008
2009-08-03 03:00:00,14.4,-161.0,23,1009
2009-08-03 06:00:00,14.4,-161.7,20,1010
2009-08-03 09:00:00,14.6,-162.3,23,1010
2009-08-03 12:00:00,14.8,-162.9,25,1010
