time,lat,lon,vmax,mslp
2009-08-15 18:00:00,11.4,162.5,20.0,1008.0
2009-08-15 21:00:00,11.3,162.2,20.0,1008.0
2009-08-16 00:00:00,11.3,161.9,20.0,1007.0
2009-08-16 03:00:00,11.3,161.6,20.0,1007.0
2009-08-16 06:00:00,11.4,161.3,20.0,1006.0
2009-08-16 09:00:00,11.5,160.9,20.0,1006.0
2009-08-16 12:00:00,11.6,160.5,20.0,1005.0
2009-08-16 15:00:00,11.8,160.1,23.0,1005.0
2009-08-16 18:00:00,12.0,159.7,25.0,1004.0
2009-08-16 21:00:00,12.3,159.4,25.0,1003.0
2009-08-17 00:00:00,12.7,159.1,25.0,1002.0
2009-08-17 03:00:00,13.1,158.9,28.0,1001.0
2009-08-17 06:00:00,13.5,158.7,30.0,1000.0
2009-08-17 09:00:00,13.9,158.4,33.0,998.0
2009-08-17 12:00:00,14.2,158.1,35.0,996.0
2009-08-17 15:00:00,14.6,157.8,35.0,995.0
2009-08-17 18:00:00,14.9,157.5,35.0,994.0
2009-08-17 21:00:00,15.3,157.4,38.0,994.0
2009-08-18 00:00:00,15.6,157.4,40.0,993.0
2009-08-18 03:00:00,15.9,157.4,43.0,997.0
2009-08-18 06:00:00,16.2,157.4,45.0,1000.0
2009-08-18 09:00:00,16.5,157.4,48.0,995.0
2009-08-18 12:00:00,16.7,157.4,50.0,990.0
2009-08-18 15:00:00,16.9,157.3,53.0,986.0
2009-08-18 18:00:00,17.0,157.3,55.0,982.0
2009-08-18 21:00:00,17.1,157.4,60.0,977.0
2009-08-19 00:00:00,17.3,157.5,65.0,972.0
2009-08-19 03:00:00,17.5,157.6,70.0,970.0
2009-08-19 06:00:00,17.7,157.7,75.0,967.0
2009-08-19 09:00:00,17.9,157.7,83.0,961.0
2009-08-19 12:00:00,18.0,157.6,90.0,955.0
2009-08-19 15:00:00,18.1,157.5,93.0,954.0
2009-08-19 18:00:00,18.2,157.4,95.0,952.0
2009-08-19 21:00:00,18.3,157.4,100.0,948.0
2009-08-20 00:00:00,18.5,157.4,105.0,944.0
2009-08-20 03:00:00,18.6,157.4,108.0,943.0
2009-08-20 06:00:00,18.8,157.4,110.0,941.0
2009-08-20 09:00:00,19.0,157.2,110.0,941.0
2009-08-20 12:00:00,19.1,157.0,110.0,941.0
2009-08-20 15:00:00,19.2,156.9,113.0,939.0
2009-08-20 18:00:00,19.3,156.8,115.0,937.0
2009-08-20 21:00:00,19.6,156.8,115.0,937.0
2009-08-21 00:00:00,19.9,156.8,115.0,937.0
2009-08-21 03:00:00,20.2,156.8,118.0,935.0
2009-08-21 06:00:00,20.5,156.8,120.0,933.0
2009-08-21 09:00:00,20.8,156.8,120.0,933.0
2009-08-21 12:00:00,21.1,156.8,120.0,933.0
2009-08-21 15:00:00,21.7,156.9,118.0,935.0
2009-08-21 18:00:00,22.3,156.9,115.0,937.0
2009-08-21 21:00:00,22.9,156.8,113.0,939.0
2009-08-22 00:00:00,23.5,156.7,110.0,941.0
2009-08-22 03:00:00,24.1,156.5,108.0,943.0
2009-08-22 06:00:00,24.6,156.3,105.0,944.0
2009-08-22 09:00:00,25.1,156.0,103.0,946.0
2009-08-22 12:00:00,25.6,155.7,100.0,948.0
2009-08-22 15:00:00,26.1,155.5,98.0,950.0
2009-08-22 18:00:00,26.5,155.4,95.0,952.0
2009-08-22 21:00:00,26.9,155.2,95.0,952.0
2009-08-23 00:00:00,27.4,155.1,95.0,952.0
2009-08-23 03:00:00,27.9,155.0,93.0,954.0
2009-08-23 06:00:00,28.4,154.9,90.0,956.0
2009-08-23 09:00:00,28.8,154.7,90.0,956.0
2009-08-23 12:00:00,29.2,154.6,90.0,956.0
2009-08-23 15:00:00,29.6,154.6,90.0,956.0
2009-08-23 18:00:00,30.0,154.6,90.0,956.0
2009-08-23 21:00:00,30.5,154.7,90.0,956.0
2009-08-24 00:00:00,31.0,154.8,90.0,956.0
2009-08-24 03:00:00,31.6,154.9,90.0,956.0
2009-08-24 06:00:00,32.2,155.0,90.0,956.0
2009-08-24 09:00:00,32.9,155.1,90.0,956.0
2009-08-24 12:00:00,33.7,155.3,90.0,956.0
2009-08-24 15:00:00,34.6,155.6,90.0,956.0
2009-08-24 18:00:00,35.6,156.0,90.0,956.0
2009-08-24 21:00:00,36.8,156.4,90.0,956.0
2009-08-25 00:00:00,38.1,156.9,90.0,956.0
2009-08-25 03:00:00,39.6,157.7,83.0,962.0
2009-08-25 06:00:00,41.3,158.8,75.0,967.0
2009-08-25 09:00:00,43.2,160.1,70.0,972.0
2009-08-25 12:00:00,45.1,161.7,65.0,976.0
2009-08-25 15:00:00,47.0,163.3,60.0,979.0
2009-08-25 18:00:00,48.7,165.1,55.0,982.0
2009-08-25 21:00:00,50.1,167.2,50.0,986.0
2009-08-26 00:00:00,51.3,169.5,45.0,989.0
