time,lat,lon,vmax,mslp
2009-08-26 18:00:00,12.2,-90.1,20,1009
2009-08-26 21:00:00,12.3,-90.7,20,1009
2009-08-27 00:00:00,12.4,-91.4,20,1009
2009-08-27 03:00:00,12.5,-92.1,23,1009
2009-08-27 06:00:00,12.5,-92.8,25,1008
2009-08-27 09:00:00,12.5,-93.6,25,1008
2009-08-27 12:00:00,12.6,-94.3,25,1008
2009-08-27 15:00:00,12.7,-94.9,25,1008
2009-08-27 18:00:00,12.9,-95.4,25,1008
2009-08-27 21:00:00,13.2,-96.1,25,1008
2009-08-28 00:00:00,13.4,-96.8,25,1008
2009-08-28 03:00:00,13.5,-97.4,25,1008
2009-08-28 06:00:00,13.5,-97.9,25,1008
2009-08-28 09:00:00,13.5,-98.5,25,1008
2009-08-28 12:00:00,13.5,-99.0,25,1008
2009-08-28 15:00:00,13.5,-99.5,28,1008
2009-08-28 18:00:00,13.6,-100.0,30,1007
2009-08-28 21:00:00,13.6,-100.5,33,1006
2009-08-29 00:00:00,13.7,-101.0,35,1005
2009-08-29 03:00:00,13.7,-101.5,40,1003
2009-08-29 06:00:00,13.8,-101.9,45,1000
2009-08-29 09:00:00,14.0,-102.4,53,995
2009-08-29 12:00:00,14.2,-102.9,60,990
2009-08-29 15:00:00,14.5,-103.4,68,985
2009-08-29 18:00:00,14.8,-103.8,75,980
2009-08-29 21:00:00,15.1,-104.3,83,975
2009-08-30 00:00:00,15.4,-104.7,90,970
2009-08-30 03:00:00,15.6,-105.1,98,964
2009-08-30 06:00:00,15.7,-105.5,105,957
2009-08-30 09:00:00,15.8,-105.8,110,953
2009-08-30 12:00:00,16.0,-106.0,115,948
2009-08-30 15:00:00,16.1,-106.3,118,947
2009-08-30 18:00:00,16.3,-106.6,120,945
2009-08-30 21:00:00,16.5,-106.9,120,945
2009-08-31 00:00:00,16.7,-107.1,120,945
2009-08-31 03:00:00,16.9,-107.3,120,945
2009-08-31 06:00:00,17.2,-107.6,120,945
2009-08-31 09:00:00,17.4,-107.9,120,945
2009-08-31 12:00:00,17.7,-108.2,120,945
2009-08-31 15:00:00,17.9,-108.6,128,940
2009-08-31 18:00:00,18.2,-108.9,135,935
2009-08-31 19:00:00,18.3,-109.0,135,931
2009-08-31 21:00:00,18.5,-109.2,135,931
2009-09-01 00:00:00,18.9,-109.4,135,931
2009-09-01 03:00:00,19.3,-109.6,133,932
2009-09-01 06:00:00,19.7,-109.9,130,933
2009-09-01 09:00:00,20.1,-110.2,128,937
2009-09-01 12:00:00,20.6,-110.5,125,940
2009-09-01 15:00:00,21.0,-110.8,120,944
2009-09-01 18:00:00,21.5,-111.0,115,948
2009-09-01 21:00:00,21.9,-111.2,110,953
2009-09-02 00:00:00,22.4,-111.4,105,957
2009-09-02 03:00:00,22.9,-111.6,100,961
2009-09-02 06:00:00,23.4,-111.7,95,965
2009-09-02 09:00:00,24.0,-111.8,93,968
2009-09-02 12:00:00,24.6,-112.0,90,971
2009-09-02 13:00:00,24.8,-112.1,90,972
2009-09-02 15:00:00,25.2,-112.3,86,974
2009-09-02 18:00:00,25.8,-112.4,80,977
2009-09-02 21:00:00,26.3,-112.4,75,980
2009-09-03 00:00:00,26.7,-112.4,65,985
2009-09-03 03:00:00,27.1,-112.4,58,991
2009-09-03 06:00:00,27.4,-112.3,50,997
2009-09-03 09:00:00,27.5,-112.3,48,998
2009-09-03 12:00:00,27.6,-112.3,45,999
2009-09-03 15:00:00,27.7,-112.2,43,1001
2009-09-03 18:00:00,27.8,-112.1,40,1002
2009-09-03 21:00:00,27.7,-112.0,38,1003
2009-09-04 00:00:00,27.6,-111.9,35,1004
2009-09-04 03:00:00,27.5,-111.8,33,1005
2009-09-04 06:00:00,27.5,-111.7,30,1005
2009-09-04 09:00:00,27.6,-111.6,28,1006
2009-09-04 12:00:00,27.7,-111.7,25,1006
2009-09-04 15:00:00,27.5,-111.9,25,1006
2009-09-04 18:00:00,27.4,-112.2,25,1006
2009-09-04 19:00:00,27.4,-112.3,25,1006
2009-09-04 21:00:00,27.4,-112.4,23,1006
2009-09-05 00:00:00,27.2,-112.5,20,1007
2009-09-05 03:00:00,27.1,-112.7,20,1008
2009-09-05 06:00:00,26.9,-112.9,20,1008
2009-09-05 09:00:00,26.7,-113.1,18,1009
2009-09-05 12:00:00,26.5,-113.3,15,1010
