time,lat,lon,vmax,mslp
2009-09-03 06:00:00,17.0,128.3,20.0,1007.0
2009-09-03 09:00:00,16.8,128.4,20.0,1007.0
2009-09-03 12:00:00,16.8,128.5,20.0,1007.0
2009-09-03 15:00:00,16.9,128.6,25.0,1001.0
2009-09-03 18:00:00,17.2,128.8,30.0,994.0
2009-09-03 21:00:00,17.4,129.0,30.0,997.0
2009-09-04 00:00:00,17.7,129.3,30.0,1000.0
2009-09-04 03:00:00,18.1,129.6,30.0,1000.0
2009-09-04 06:00:00,18.5,130.0,30.0,1000.0
2009-09-04 09:00:00,18.8,130.4,33.0,995.0
2009-09-04 12:00:00,19.0,130.9,35.0,990.0
2009-09-04 15:00:00,19.2,131.5,35.0,991.0
2009-09-04 18:00:00,19.5,132.0,35.0,992.0
2009-09-04 21:00:00,19.9,132.5,38.0,993.0
2009-09-05 00:00:00,20.4,132.9,40.0,993.0
2009-09-05 03:00:00,20.8,133.4,43.0,991.0
2009-09-05 06:00:00,21.3,133.9,45.0,989.0
2009-09-05 09:00:00,21.8,134.5,45.0,989.0
2009-09-05 12:00:00,22.3,135.0,45.0,989.0
2009-09-05 15:00:00,22.8,135.3,45.0,989.0
2009-09-05 18:00:00,23.4,135.5,45.0,989.0
2009-09-05 21:00:00,23.9,135.7,45.0,989.0
2009-09-06 00:00:00,24.4,135.8,45.0,989.0
2009-09-06 03:00:00,24.9,135.8,45.0,989.0
2009-09-06 06:00:00,25.3,135.8,45.0,989.0
2009-09-06 09:00:00,25.7,135.8,45.0,989.0
2009-09-06 12:00:00,26.1,135.8,45.0,989.0
2009-09-06 15:00:00,26.4,135.8,43.0,991.0
2009-09-06 18:00:00,26.7,135.9,40.0,993.0
2009-09-06 21:00:00,27.0,135.9,40.0,993.0
2009-09-07 00:00:00,27.3,136.0,40.0,993.0
2009-09-07 03:00:00,27.6,136.1,40.0,993.0
2009-09-07 06:00:00,28.0,136.2,40.0,993.0
2009-09-07 09:00:00,28.3,136.4,40.0,993.0
2009-09-07 12:00:00,28.6,136.6,40.0,993.0
2009-09-07 15:00:00,29.1,136.9,40.0,993.0
2009-09-07 18:00:00,29.6,137.4,40.0,993.0
2009-09-07 21:00:00,30.0,137.9,38.0,995.0
2009-09-08 00:00:00,30.4,138.6,35.0,996.0
2009-09-08 03:00:00,30.8,139.4,35.0,996.0
2009-09-08 06:00:00,31.2,140.4,35.0,996.0
2009-09-08 09:00:00,31.5,141.5,40.0,993.0
2009-09-08 12:00:00,31.8,142.7,45.0,989.0
2009-09-08 15:00:00,32.2,144.1,48.0,987.0
2009-09-08 18:00:00,32.7,145.7,50.0,985.0
2009-09-08 21:00:00,33.1,147.2,50.0,985.0
2009-09-09 00:00:00,33.6,148.7,50.0,985.0
2009-09-09 03:00:00,34.4,150.5,50.0,985.0
2009-09-09 06:00:00,35.4,152.4,50.0,985.0
2009-09-09 09:00:00,36.3,154.3,48.0,987.0
2009-09-09 12:00:00,37.2,156.1,45.0,989.0
2009-09-09 15:00:00,38.2,157.8,43.0,991.0
2009-09-09 18:00:00,39.5,159.4,40.0,993.0
2009-09-09 21:00:00,41.1,161.1,38.0,995.0
2009-09-10 00:00:00,42.9,163.0,35.0,996.0
