time,lat,lon,vmax,mslp
2009-09-20 18:00:00,12.9,-107.6,20,1010
2009-09-20 21:00:00,12.9,-108.3,20,1010
2009-09-21 00:00:00,12.9,-108.9,20,1010
2009-09-21 03:00:00,12.9,-109.6,20,1010
2009-09-21 06:00:00,12.9,-110.2,20,1010
2009-09-21 09:00:00,12.9,-110.9,20,1010
2009-09-21 12:00:00,12.9,-111.5,20,1010
2009-09-21 15:00:00,13.0,-111.8,20,1010
2009-09-21 18:00:00,13.1,-112.1,20,1010
2009-09-21 21:00:00,13.3,-112.5,20,1009
2009-09-22 00:00:00,13.5,-113.0,20,1008
2009-09-22 03:00:00,13.7,-113.4,23,1008
2009-09-22 06:00:00,13.9,-113.8,25,1008
2009-09-22 09:00:00,14.1,-114.2,25,1008
2009-09-22 12:00:00,14.4,-114.6,25,1008
2009-09-22 15:00:00,14.6,-115.0,25,1008
2009-09-22 18:00:00,14.9,-115.3,25,1007
2009-09-22 21:00:00,15.1,-115.6,28,1007
2009-09-23 00:00:00,15.4,-115.9,30,1006
2009-09-23 03:00:00,15.6,-116.2,33,1006
2009-09-23 06:00:00,15.9,-116.6,35,1005
2009-09-23 09:00:00,16.2,-117.0,38,1004
2009-09-23 12:00:00,16.4,-117.4,40,1003
2009-09-23 15:00:00,16.6,-117.8,43,1002
2009-09-23 18:00:00,16.8,-118.2,45,1000
2009-09-23 21:00:00,17.0,-118.6,48,999
2009-09-24 00:00:00,17.1,-118.9,50,997
2009-09-24 03:00:00,17.2,-119.2,48,999
2009-09-24 06:00:00,17.3,-119.5,45,1000
2009-09-24 09:00:00,17.4,-119.8,45,1000
2009-09-24 12:00:00,17.4,-120.1,45,1000
2009-09-24 15:00:00,17.4,-120.4,43,1001
2009-09-24 18:00:00,17.4,-120.7,40,1002
2009-09-24 21:00:00,17.4,-120.9,35,1004
2009-09-25 00:00:00,17.4,-121.2,30,1005
2009-09-25 03:00:00,17.4,-121.5,30,1006
2009-09-25 06:00:00,17.3,-121.8,30,1006
2009-09-25 09:00:00,17.2,-122.1,30,1007
2009-09-25 12:00:00,17.1,-122.5,30,1007
2009-09-25 15:00:00,16.9,-122.8,30,1007
2009-09-25 18:00:00,16.7,-123.2,30,1007
2009-09-25 21:00:00,16.6,-123.6,28,1008
2009-09-26 00:00:00,16.5,-124.0,25,1008
2009-09-26 03:00:00,16.5,-124.4,25,1008
2009-09-26 06:00:00,16.5,-124.7,25,1008
2009-09-26 09:00:00,16.5,-125.0,25,1008
2009-09-26 12:00:00,16.6,-125.3,25,1008
2009-09-26 15:00:00,16.7,-125.6,25,1008
2009-09-26 18:00:00,16.8,-125.9,25,1008
2009-09-26 21:00:00,16.9,-126.2,25,1008
2009-09-27 00:00:00,17.1,-126.6,25,1008
2009-09-27 03:00:00,17.2,-127.0,25,1008
2009-09-27 06:00:00,17.4,-127.4,25,1008
2009-09-27 09:00:00,17.5,-127.8,25,1009
2009-09-27 12:00:00,17.7,-128.2,25,1009
2009-09-27 15:00:00,17.9,-128.6,25,1009
2009-09-27 18:00:00,18.0,-128.9,25,1009
2009-09-27 21:00:00,18.0,-129.3,25,1009
2009-09-28 00:00:00,18.0,-129.6,25,1009
2009-09-28 03:00:00,17.9,-129.9,23,1010
2009-09-28 06:00:00,17.7,-130.2,20,1010
2009-09-28 09:00:00,17.6,-130.5,20,1010
2009-09-28 12:00:00,17.4,-130.7,20,1010
2009-09-28 15:00:00,17.2,-130.9,20,1010
2009-09-28 18:00:00,17.0,-131.1,20,1010
2009-09-28 21:00:00,16.8,-131.3,20,1010
2009-09-29 00:00:00,16.5,-131.5,20,1010
2009-09-29 03:00:00,16.2,-131.6,20,1010
2009-09-29 06:00:00,16.0,-131.8,20,1010
2009-09-29 09:00:00,15.8,-132.0,20,1010
2009-09-29 12:00:00,15.5,-132.2,20,1010
