time,lat,lon,vmax,mslp
2009-09-28 00:00:00,15.4,-103.5,20,1009
2009-09-28 03:00:00,15.5,-103.8,20,1009
2009-09-28 06:00:00,15.5,-104.1,20,1009
2009-09-28 09:00:00,15.5,-104.5,20,1009
2009-09-28 12:00:00,15.6,-104.8,20,1009
2009-09-28 15:00:00,15.7,-105.1,20,1009
2009-09-28 18:00:00,15.8,-105.4,20,1009
2009-09-28 21:00:00,15.9,-105.7,20,1008
2009-09-29 00:00:00,16.0,-106.0,20,1006
2009-09-29 03:00:00,16.2,-106.5,20,1006
2009-09-29 06:00:00,16.4,-107.0,20,1006
2009-09-29 09:00:00,16.5,-107.5,20,1006
2009-09-29 12:00:00,16.7,-108.1,20,1006
2009-09-29 15:00:00,17.2,-109.1,23,1006
2009-09-29 18:00:00,17.8,-110.1,25,1006
2009-09-29 21:00:00,18.2,-110.8,25,1006
2009-09-30 00:00:00,18.5,-111.5,25,1005
2009-09-30 03:00:00,18.8,-112.2,25,1005
2009-09-30 06:00:00,18.9,-112.9,25,1005
2009-09-30 09:00:00,18.9,-113.5,25,1005
2009-09-30 12:00:00,18.9,-114.1,25,1005
2009-09-30 15:00:00,18.8,-114.7,25,1005
2009-09-30 18:00:00,18.7,-115.2,25,1005
2009-09-30 21:00:00,18.7,-115.7,25,1005
2009-10-01 00:00:00,18.7,-116.2,25,1005
2009-10-01 03:00:00,18.7,-116.7,25,1005
2009-10-01 06:00:00,18.7,-117.1,25,1005
2009-10-01 09:00:00,18.8,-117.3,28,1004
2009-10-01 12:00:00,19.0,-117.3,30,1003
2009-10-01 15:00:00,19.3,-117.4,33,1002
2009-10-01 18:00:00,19.6,-117.4,35,1000
2009-10-01 21:00:00,20.0,-117.4,38,999
2009-10-02 00:00:00,20.4,-117.4,40,997
2009-10-02 03:00:00,20.9,-117.4,40,997
2009-10-02 06:00:00,21.5,-117.4,40,996
2009-10-02 09:00:00,22.1,-117.4,40,996
2009-10-02 12:00:00,22.6,-117.5,40,996
2009-10-02 15:00:00,23.0,-117.5,38,997
2009-10-02 18:00:00,23.3,-117.5,35,997
2009-10-02 21:00:00,23.6,-117.4,35,997
2009-10-03 00:00:00,23.8,-117.3,35,997
2009-10-03 03:00:00,23.9,-117.1,33,998
2009-10-03 06:00:00,24.0,-116.7,30,998
2009-10-03 09:00:00,24.0,-116.2,30,998
2009-10-03 12:00:00,23.9,-115.6,30,998
2009-10-03 15:00:00,23.8,-115.0,30,999
2009-10-03 18:00:00,23.8,-114.3,30,999
2009-10-03 21:00:00,23.8,-113.6,28,1000
2009-10-04 00:00:00,23.9,-113.0,25,1000
2009-10-04 03:00:00,24.0,-112.3,25,1001
2009-10-04 06:00:00,24.2,-111.8,25,1002
2009-10-04 09:00:00,24.4,-111.4,25,1003
2009-10-04 12:00:00,24.5,-111.2,25,1003
