time,lat,lon,vmax,mslp
2009-10-08 12:00:00,16.4,-107.6,20,1009
2009-10-08 15:00:00,16.6,-107.6,20,1009
2009-10-08 18:00:00,16.7,-107.6,20,1009
2009-10-08 21:00:00,16.8,-107.5,20,1009
2009-10-09 00:00:00,17.0,-107.4,20,1009
2009-10-09 03:00:00,17.2,-107.3,20,1009
2009-10-09 06:00:00,17.3,-107.1,20,1009
2009-10-09 09:00:00,17.4,-106.9,20,1009
2009-10-09 12:00:00,17.5,-106.6,20,1009
2009-10-09 15:00:00,17.5,-106.3,20,1009
2009-10-09 18:00:00,17.4,-106.0,20,1009
2009-10-09 21:00:00,17.0,-105.7,23,1009
2009-10-10 00:00:00,16.6,-105.6,25,1008
2009-10-10 03:00:00,16.3,-105.9,25,1008
2009-10-10 06:00:00,16.1,-106.4,25,1008
2009-10-10 09:00:00,15.8,-106.9,25,1008
2009-10-10 12:00:00,15.6,-107.3,25,1007
2009-10-10 15:00:00,15.3,-107.7,25,1007
2009-10-10 18:00:00,15.2,-108.0,25,1007
2009-10-10 21:00:00,15.2,-108.0,25,1007
2009-10-11 00:00:00,15.4,-108.0,25,1007
2009-10-11 03:00:00,15.6,-108.0,25,1007
2009-10-11 06:00:00,15.8,-108.1,25,1007
2009-10-11 09:00:00,16.2,-108.2,25,1007
2009-10-11 12:00:00,16.6,-108.2,25,1007
2009-10-11 15:00:00,16.9,-108.2,28,1006
2009-10-11 18:00:00,17.1,-108.2,30,1005
2009-10-11 21:00:00,17.4,-108.4,33,1004
2009-10-12 00:00:00,17.7,-108.7,35,1003
2009-10-12 03:00:00,18.0,-109.0,38,1002
2009-10-12 06:00:00,18.3,-109.2,40,1001
2009-10-12 09:00:00,18.6,-109.4,45,999
2009-10-12 12:00:00,18.8,-109.5,50,997
2009-10-12 15:00:00,19.0,-109.5,50,997
2009-10-12 18:00:00,19.3,-109.5,50,997
2009-10-12 21:00:00,19.5,-109.5,50,997
2009-10-13 00:00:00,19.8,-109.4,50,996
2009-10-13 03:00:00,20.1,-109.3,50,997
2009-10-13 06:00:00,20.4,-109.2,50,997
2009-10-13 09:00:00,20.7,-109.1,48,999
2009-10-13 12:00:00,21.1,-109.0,45,1000
2009-10-13 15:00:00,21.5,-108.9,43,1001
2009-10-13 18:00:00,21.9,-108.9,40,1002
2009-10-13 21:00:00,22.2,-109.0,38,1003
2009-10-14 00:00:00,22.4,-109.1,35,1004
2009-10-14 03:00:00,22.5,-109.3,33,1005
2009-10-14 06:00:00,22.6,-109.5,30,1006
2009-10-14 09:00:00,22.7,-109.8,28,1007
2009-10-14 12:00:00,22.7,-110.2,25,1008
2009-10-14 15:00:00,22.8,-110.7,25,1008
2009-10-14 18:00:00,22.8,-111.2,25,1008
2009-10-14 21:00:00,22.8,-111.6,23,1009
2009-10-15 00:00:00,22.7,-111.9,20,1009
2009-10-15 03:00:00,22.6,-112.2,20,1009
2009-10-15 06:00:00,22.5,-112.5,20,1009
2009-10-15 09:00:00,22.4,-112.7,20,1009
2009-10-15 12:00:00,22.3,-112.9,20,1009
