time,lat,lon,vmax,mslp
2010-05-28 18:00:00,12.7,-94.3,30,1005
2010-05-28 21:00:00,12.7,-94.2,30,1005
2010-05-29 00:00:00,12.8,-94.1,30,1005
2010-05-29 03:00:00,12.9,-93.9,33,1005
2010-05-29 06:00:00,13.0,-93.6,35,1004
2010-05-29 09:00:00,13.1,-93.4,35,1004
2010-05-29 12:00:00,13.3,-93.1,35,1003
2010-05-29 15:00:00,13.6,-92.8,38,1002
2010-05-29 18:00:00,13.9,-92.5,40,1001
2010-05-29 21:00:00,14.2,-92.3,40,1001
2010-05-29 22:30:00,14.4,-92.1,40,1001
2010-05-30 00:00:00,14.6,-91.9,35,1003
2010-05-30 03:00:00,14.9,-91.7,30,1005
2010-05-30 06:00:00,15.2,-91.6,25,1006
2010-05-30 09:00:00,15.5,-91.5,20,1007
2010-05-30 12:00:00,15.7,-91.4,15,1008
