time,lat,lon,vmax,mslp
2010-08-04 12:00:00,14.9,-94.9,20,1008
2010-08-04 15:00:00,14.8,-95.6,23,1008
2010-08-04 18:00:00,14.7,-96.3,25,1008
2010-08-04 21:00:00,14.7,-97.0,25,1008
2010-08-05 00:00:00,14.7,-97.6,25,1007
2010-08-05 03:00:00,14.8,-98.2,25,1007
2010-08-05 06:00:00,14.9,-98.8,25,1007
2010-08-05 09:00:00,15.0,-99.4,25,1007
2010-08-05 12:00:00,15.2,-99.9,25,1006
2010-08-05 15:00:00,15.3,-100.4,25,1006
2010-08-05 18:00:00,15.5,-100.9,25,1005
2010-08-05 21:00:00,15.6,-101.3,28,1005
2010-08-06 00:00:00,15.8,-101.7,30,1004
2010-08-06 03:00:00,16.0,-102.1,30,1004
2010-08-06 06:00:00,16.2,-102.6,30,1004
2010-08-06 09:00:00,16.4,-103.0,33,1004
2010-08-06 12:00:00,16.6,-103.5,35,1003
2010-08-06 15:00:00,16.8,-104.0,38,1003
2010-08-06 18:00:00,16.9,-104.6,40,1002
2010-08-06 21:00:00,17.0,-105.1,43,1001
2010-08-07 00:00:00,17.0,-105.6,45,1000
2010-08-07 03:00:00,16.9,-106.0,45,1000
2010-08-07 06:00:00,16.8,-106.4,45,1000
2010-08-07 09:00:00,16.8,-106.8,48,999
2010-08-07 12:00:00,16.9,-107.3,50,998
2010-08-07 15:00:00,17.0,-107.8,50,998
2010-08-07 18:00:00,17.1,-108.3,50,998
2010-08-07 21:00:00,17.2,-108.8,53,996
2010-08-08 00:00:00,17.3,-109.2,55,994
2010-08-08 03:00:00,17.4,-109.5,55,994
2010-08-08 06:00:00,17.5,-109.8,55,994
2010-08-08 09:00:00,17.6,-110.1,53,995
2010-08-08 12:00:00,17.7,-110.4,50,996
2010-08-08 15:00:00,17.8,-110.7,48,998
2010-08-08 18:00:00,17.9,-110.9,45,999
2010-08-08 21:00:00,17.9,-111.1,43,1000
2010-08-09 00:00:00,17.9,-111.3,40,1001
2010-08-09 03:00:00,17.9,-111.5,38,1002
2010-08-09 06:00:00,17.9,-111.7,35,1002
2010-08-09 09:00:00,17.9,-111.9,35,1003
2010-08-09 12:00:00,17.8,-112.0,35,1004
2010-08-09 15:00:00,17.7,-112.2,33,1005
2010-08-09 18:00:00,17.7,-112.4,30,1005
2010-08-09 21:00:00,17.7,-112.6,30,1005
2010-08-10 00:00:00,17.7,-112.8,30,1005
2010-08-10 03:00:00,17.6,-113.0,28,1005
2010-08-10 06:00:00,17.5,-113.2,25,1005
2010-08-10 09:00:00,17.4,-113.2,25,1006
2010-08-10 12:00:00,17.3,-113.2,25,1006
2010-08-10 15:00:00,17.2,-113.2,25,1006
2010-08-10 18:00:00,17.2,-113.1,25,1006
