time,lat,lon,vmax,mslp
2010-09-20 12:00:00,19.7,-108.4,30,1001
2010-09-20 15:00:00,19.9,-108.5,33,1001
2010-09-20 18:00:00,20.1,-108.6,35,1001
2010-09-20 21:00:00,20.4,-108.8,35,1001
2010-09-21 00:00:00,20.8,-109.0,35,1000
2010-09-21 03:00:00,21.1,-109.2,35,1000
2010-09-21 06:00:00,21.5,-109.3,35,1000
2010-09-21 09:00:00,21.9,-109.4,35,1000
2010-09-21 12:00:00,22.3,-109.5,35,999
2010-09-21 15:00:00,22.6,-109.6,35,999
2010-09-21 18:00:00,23.0,-109.7,35,999
2010-09-21 21:00:00,23.5,-109.8,33,1000
2010-09-22 00:00:00,24.0,-110.0,30,1000
2010-09-22 03:00:00,24.5,-110.2,30,1000
2010-09-22 06:00:00,25.1,-110.4,30,1000
2010-09-22 09:00:00,25.7,-110.6,30,1000
2010-09-22 12:00:00,26.3,-110.8,30,1000
2010-09-22 15:00:00,26.9,-111.0,30,1000
2010-09-22 18:00:00,27.4,-111.1,30,999
2010-09-22 21:00:00,27.9,-111.1,30,999
2010-09-22 22:00:00,28.0,-111.1,30,999
2010-09-23 00:00:00,28.3,-111.1,30,1000
