time,lat,lon,vmax,mslp
2010-12-16 00:00:00,30.0,175.0,25,1006
2010-12-16 03:00:00,29.5,175.5,25,1006
2010-12-16 06:00:00,29.0,176.0,25,1006
2010-12-16 09:00:00,28.5,176.4,25,1006
2010-12-16 12:00:00,28.0,177.0,25,1006
2010-12-16 15:00:00,27.5,178.0,25,1006
2010-12-16 18:00:00,27.0,179.0,25,1005
2010-12-16 21:00:00,26.5,179.6,25,1005
2010-12-17 00:00:00,26.0,-180.0,25,1004
2010-12-17 03:00:00,25.8,-179.7,25,1004
2010-12-17 06:00:00,25.6,-179.5,25,1004
2010-12-17 09:00:00,25.3,-179.2,25,1004
2010-12-17 12:00:00,25.0,-179.0,25,1004
2010-12-17 15:00:00,24.8,-178.8,28,1004
2010-12-17 18:00:00,24.6,-178.7,30,1003
2010-12-17 21:00:00,24.4,-178.6,30,1003
2010-12-18 00:00:00,24.2,-178.5,30,1002
2010-12-18 03:00:00,24.0,-178.5,30,1002
2010-12-18 06:00:00,23.8,-178.6,30,1002
2010-12-18 09:00:00,23.7,-178.6,33,1002
2010-12-18 12:00:00,23.6,-178.7,35,1002
2010-12-18 15:00:00,23.3,-179.2,35,1002
2010-12-18 18:00:00,23.0,-179.8,35,1002
2010-12-18 21:00:00,22.6,179.7,38,1002
2010-12-19 00:00:00,22.2,179.4,40,1001
2010-12-19 03:00:00,21.9,179.2,43,1001
2010-12-19 06:00:00,21.6,179.1,45,1000
2010-12-19 09:00:00,21.4,179.0,48,1000
2010-12-19 12:00:00,21.1,179.0,50,999
2010-12-19 15:00:00,20.7,179.0,50,999
2010-12-19 18:00:00,20.4,179.1,50,999
2010-12-19 21:00:00,20.2,179.4,48,999
2010-12-20 00:00:00,20.1,179.9,45,998
2010-12-20 03:00:00,20.2,-179.6,45,998
2010-12-20 06:00:00,20.4,-178.9,45,997
2010-12-20 09:00:00,20.6,-178.1,45,997
2010-12-20 12:00:00,21.0,-177.3,45,997
2010-12-20 15:00:00,21.6,-176.7,40,998
2010-12-20 18:00:00,22.4,-176.1,35,999
2010-12-20 21:00:00,23.1,-175.3,35,1000
2010-12-21 00:00:00,23.8,-174.6,35,1000
2010-12-21 03:00:00,24.6,-174.1,35,1001
2010-12-21 06:00:00,25.4,-173.7,35,1001
2010-12-21 09:00:00,26.2,-173.3,35,1002
2010-12-21 12:00:00,27.0,-173.0,35,1002
2010-12-21 15:00:00,28.0,-172.8,35,1002
2010-12-21 18:00:00,29.0,-172.6,35,1002
2010-12-21 21:00:00,29.9,-172.4,33,1002
2010-12-22 00:00:00,30.7,-172.2,30,1002
2010-12-22 03:00:00,31.5,-172.3,30,1003
2010-12-22 06:00:00,32.2,-172.4,30,1004
2010-12-22 09:00:00,32.8,-172.4,28,1005
2010-12-22 12:00:00,33.3,-172.3,25,1006
2010-12-22 15:00:00,33.7,-172.2,25,1007
2010-12-22 18:00:00,34.1,-172.0,25,1008
