time,lat,lon,vmax,mslp
2011-06-07 00:00:00,10.7,-99.7,25,1007
2011-06-07 03:00:00,11.0,-99.8,25,1007
2011-06-07 06:00:00,11.2,-99.8,25,1007
2011-06-07 09:00:00,11.4,-99.7,25,1007
2011-06-07 12:00:00,11.5,-99.6,25,1006
2011-06-07 15:00:00,11.6,-99.6,28,1006
2011-06-07 18:00:00,11.7,-99.6,30,1005
2011-06-07 21:00:00,11.7,-99.7,33,1004
2011-06-08 00:00:00,11.7,-99.9,35,1003
2011-06-08 03:00:00,11.8,-100.2,40,1002
2011-06-08 06:00:00,11.9,-100.4,45,1000
2011-06-08 09:00:00,12.2,-100.6,50,998
2011-06-08 12:00:00,12.5,-100.7,55,996
2011-06-08 15:00:00,12.8,-100.9,58,995
2011-06-08 18:00:00,13.1,-101.2,60,993
2011-06-08 21:00:00,13.3,-101.6,65,990
2011-06-09 00:00:00,13.5,-102.0,70,987
2011-06-09 03:00:00,13.7,-102.4,73,985
2011-06-09 06:00:00,13.8,-102.8,75,982
2011-06-09 09:00:00,14.0,-103.2,83,976
2011-06-09 12:00:00,14.1,-103.6,90,970
2011-06-09 15:00:00,14.2,-104.0,98,964
2011-06-09 18:00:00,14.3,-104.4,105,957
2011-06-09 21:00:00,14.4,-104.8,113,952
2011-06-10 00:00:00,14.5,-105.3,120,946
2011-06-10 03:00:00,14.6,-105.8,120,945
2011-06-10 06:00:00,14.8,-106.2,120,944
2011-06-10 09:00:00,14.9,-106.6,120,945
2011-06-10 12:00:00,15.1,-107.1,120,946
2011-06-10 15:00:00,15.3,-107.6,115,950
2011-06-10 18:00:00,15.4,-108.1,110,954
2011-06-10 21:00:00,15.5,-108.6,105,959
2011-06-11 00:00:00,15.5,-109.1,100,963
2011-06-11 03:00:00,15.6,-109.6,90,970
2011-06-11 06:00:00,15.6,-110.2,80,977
2011-06-11 09:00:00,15.6,-110.8,73,983
2011-06-11 12:00:00,15.6,-111.3,65,988
2011-06-11 15:00:00,15.6,-111.9,60,992
2011-06-11 18:00:00,15.6,-112.4,55,995
2011-06-11 21:00:00,15.6,-113.0,50,997
2011-06-12 00:00:00,15.7,-113.5,45,999
2011-06-12 03:00:00,15.8,-114.0,40,1001
2011-06-12 06:00:00,16.0,-114.5,35,1003
2011-06-12 09:00:00,16.1,-114.9,35,1004
2011-06-12 12:00:00,16.3,-115.2,35,1005
2011-06-12 15:00:00,16.5,-115.4,35,1006
2011-06-12 18:00:00,16.6,-115.6,35,1006
2011-06-12 21:00:00,16.7,-115.8,33,1007
2011-06-13 00:00:00,16.8,-116.0,30,1007
2011-06-13 03:00:00,16.9,-116.2,28,1008
2011-06-13 06:00:00,16.9,-116.4,25,1008
2011-06-13 09:00:00,17.0,-116.6,23,1008
2011-06-13 12:00:00,17.0,-116.9,20,1008
2011-06-13 15:00:00,17.0,-117.2,20,1008
2011-06-13 18:00:00,17.0,-117.5,20,1008
2011-06-13 21:00:00,17.0,-117.7,20,1008
2011-06-14 00:00:00,16.9,-117.9,20,1008
2011-06-14 03:00:00,16.8,-118.0,20,1008
2011-06-14 06:00:00,16.7,-118.1,20,1008
