time,lat,lon,vmax,mslp
2011-06-18 18:00:00,12.4,-97.2,25,1006
2011-06-18 21:00:00,12.5,-97.6,25,1006
2011-06-19 00:00:00,12.7,-98.1,25,1006
2011-06-19 03:00:00,12.9,-98.6,25,1006
2011-06-19 06:00:00,13.1,-99.0,25,1006
2011-06-19 09:00:00,13.3,-99.5,28,1006
2011-06-19 12:00:00,13.6,-99.9,30,1005
2011-06-19 15:00:00,13.8,-100.3,33,1005
2011-06-19 18:00:00,14.1,-100.7,35,1004
2011-06-19 21:00:00,14.4,-101.1,38,1003
2011-06-20 00:00:00,14.7,-101.5,40,1001
2011-06-20 03:00:00,15.0,-101.9,45,999
2011-06-20 06:00:00,15.3,-102.2,50,997
2011-06-20 09:00:00,15.8,-102.4,55,996
2011-06-20 12:00:00,16.2,-102.6,60,994
2011-06-20 15:00:00,16.5,-102.8,65,992
2011-06-20 18:00:00,16.7,-102.9,70,989
2011-06-20 21:00:00,17.0,-103.0,70,988
2011-06-21 00:00:00,17.4,-103.2,70,987
2011-06-21 03:00:00,17.9,-103.4,75,983
2011-06-21 06:00:00,18.5,-104.0,80,977
2011-06-21 09:00:00,18.8,-104.4,70,981
2011-06-21 12:00:00,19.0,-105.0,60,987
2011-06-21 15:00:00,19.0,-105.3,50,992
2011-06-21 18:00:00,19.0,-105.5,40,996
2011-06-21 21:00:00,19.0,-105.7,33,1000
2011-06-22 00:00:00,19.0,-105.9,25,1003
