time,lat,lon,vmax,mslp
2011-07-18 00:00:00,10.2,-89.0,25,1008
2011-07-18 03:00:00,10.3,-89.5,28,1007
2011-07-18 06:00:00,10.3,-90.0,30,1006
2011-07-18 09:00:00,10.3,-90.5,33,1006
2011-07-18 12:00:00,10.4,-91.1,35,1005
2011-07-18 15:00:00,10.5,-91.7,40,1004
2011-07-18 18:00:00,10.6,-92.3,45,1002
2011-07-18 21:00:00,10.7,-93.0,48,1001
2011-07-19 00:00:00,10.9,-93.7,50,999
2011-07-19 03:00:00,11.1,-94.4,53,998
2011-07-19 06:00:00,11.3,-95.1,55,996
2011-07-19 09:00:00,11.5,-95.8,58,995
2011-07-19 12:00:00,11.8,-96.5,60,993
2011-07-19 15:00:00,12.1,-97.2,63,991
2011-07-19 18:00:00,12.4,-97.9,65,989
2011-07-19 21:00:00,12.7,-98.6,68,988
2011-07-20 00:00:00,13.1,-99.4,70,987
2011-07-20 03:00:00,13.4,-100.2,75,984
2011-07-20 06:00:00,13.8,-100.9,80,981
2011-07-20 09:00:00,14.2,-101.6,85,976
2011-07-20 12:00:00,14.5,-102.3,90,970
2011-07-20 15:00:00,14.8,-103.0,98,964
2011-07-20 18:00:00,15.1,-103.6,105,957
2011-07-20 21:00:00,15.4,-104.2,110,953
2011-07-21 00:00:00,15.7,-104.7,115,948
2011-07-21 03:00:00,16.0,-105.2,120,944
2011-07-21 06:00:00,16.3,-105.7,125,939
2011-07-21 09:00:00,16.6,-106.1,130,934
2011-07-21 12:00:00,16.9,-106.5,135,929
2011-07-21 15:00:00,17.1,-106.8,133,931
2011-07-21 18:00:00,17.4,-107.1,130,932
2011-07-21 21:00:00,17.7,-107.4,123,940
2011-07-22 00:00:00,18.0,-107.8,115,948
2011-07-22 03:00:00,18.3,-108.2,105,958
2011-07-22 06:00:00,18.6,-108.5,95,967
2011-07-22 09:00:00,18.9,-108.8,85,974
2011-07-22 12:00:00,19.1,-109.1,75,981
2011-07-22 15:00:00,19.3,-109.4,68,984
2011-07-22 18:00:00,19.6,-109.7,60,987
2011-07-22 21:00:00,19.9,-110.0,58,989
2011-07-23 00:00:00,20.1,-110.3,55,990
2011-07-23 03:00:00,20.3,-110.6,53,992
2011-07-23 06:00:00,20.5,-111.0,50,994
2011-07-23 09:00:00,20.7,-111.4,48,996
2011-07-23 12:00:00,20.9,-111.7,45,998
2011-07-23 15:00:00,21.1,-112.1,45,999
2011-07-23 18:00:00,21.4,-112.4,45,1000
2011-07-23 21:00:00,21.6,-112.7,43,1001
2011-07-24 00:00:00,21.9,-113.0,40,1002
2011-07-24 03:00:00,22.1,-113.3,38,1003
2011-07-24 06:00:00,22.4,-113.5,35,1004
2011-07-24 09:00:00,22.6,-113.7,33,1005
2011-07-24 12:00:00,22.9,-113.9,30,1006
2011-07-24 15:00:00,23.2,-114.1,28,1008
2011-07-24 18:00:00,23.6,-114.3,25,1009
2011-07-24 21:00:00,24.0,-114.5,25,1010
2011-07-25 00:00:00,24.3,-114.6,25,1010
2011-07-25 03:00:00,24.6,-114.7,23,1010
2011-07-25 06:00:00,24.9,-114.7,20,1010
2011-07-25 09:00:00,25.2,-114.8,20,1010
2011-07-25 12:00:00,25.5,-114.8,20,1010
2011-07-25 15:00:00,25.8,-114.8,20,1010
2011-07-25 18:00:00,26.0,-114.8,20,1010
2011-07-25 21:00:00,26.2,-114.8,20,1010
2011-07-26 00:00:00,26.3,-114.8,20,1010
