time,lat,lon,vmax,mslp
2011-09-10 00:00:00,20.5,140.2,20.0,1007.0
2011-09-10 03:00:00,20.4,139.8,20.0,1007.0
2011-09-10 06:00:00,20.4,139.5,20.0,1007.0
2011-09-10 09:00:00,20.4,139.1,20.0,1007.0
2011-09-10 12:00:00,20.4,138.8,20.0,1007.0
2011-09-10 15:00:00,20.5,138.5,20.0,1007.0
2011-09-10 18:00:00,20.6,138.1,20.0,1006.0
2011-09-10 21:00:00,20.8,137.8,20.0,1006.0
2011-09-11 00:00:00,20.9,137.4,20.0,1006.0
2011-09-11 03:00:00,21.0,136.9,20.0,1006.0
2011-09-11 06:00:00,21.0,136.5,20.0,1006.0
2011-09-11 09:00:00,21.0,136.3,20.0,1007.0
2011-09-11 12:00:00,21.0,136.1,20.0,1007.0
2011-09-11 15:00:00,21.0,135.9,20.0,1007.0
2011-09-11 18:00:00,21.1,135.8,20.0,1007.0
2011-09-11 21:00:00,21.2,135.8,23.0,1006.0
2011-09-12 00:00:00,21.4,135.8,25.0,1004.0
2011-09-12 03:00:00,21.5,135.8,25.0,1004.0
2011-09-12 06:00:00,21.6,135.8,25.0,1004.0
2011-09-12 09:00:00,21.7,135.8,25.0,1004.0
2011-09-12 12:00:00,21.8,135.8,25.0,1004.0
2011-09-12 15:00:00,21.9,135.8,25.0,1004.0
2011-09-12 18:00:00,21.9,135.9,25.0,1004.0
2011-09-12 21:00:00,21.9,135.9,25.0,1004.0
2011-09-13 00:00:00,22.0,136.0,25.0,1004.0
2011-09-13 03:00:00,22.1,136.4,28.0,1002.0
2011-09-13 06:00:00,22.3,136.9,30.0,1000.0
2011-09-13 09:00:00,22.5,137.3,30.0,1000.0
2011-09-13 12:00:00,22.8,137.7,30.0,1000.0
2011-09-13 15:00:00,23.2,138.1,30.0,1000.0
2011-09-13 18:00:00,23.6,138.2,30.0,1000.0
2011-09-13 21:00:00,24.0,137.9,30.0,1000.0
2011-09-14 00:00:00,24.3,137.5,30.0,1000.0
2011-09-14 03:00:00,24.5,137.2,30.0,1000.0
2011-09-14 06:00:00,24.6,136.8,30.0,1000.0
2011-09-14 09:00:00,24.9,136.1,30.0,1000.0
2011-09-14 12:00:00,25.2,135.3,30.0,1000.0
2011-09-14 15:00:00,25.5,134.5,30.0,1000.0
2011-09-14 18:00:00,25.6,133.8,30.0,1000.0
2011-09-14 21:00:00,25.4,133.1,30.0,1000.0
2011-09-15 00:00:00,25.3,132.5,30.0,1000.0
2011-09-15 03:00:00,25.5,132.0,30.0,1000.0
2011-09-15 06:00:00,25.8,131.6,30.0,1000.0
2011-09-15 09:00:00,25.9,131.2,30.0,1000.0
2011-09-15 12:00:00,25.9,130.9,30.0,1000.0
2011-09-15 15:00:00,26.0,130.6,33.0,998.0
2011-09-15 18:00:00,26.2,130.4,35.0,996.0
2011-09-15 21:00:00,26.3,130.2,35.0,996.0
2011-09-16 00:00:00,26.3,130.1,35.0,996.0
2011-09-16 03:00:00,26.4,129.9,38.0,995.0
2011-09-16 06:00:00,26.4,129.8,40.0,993.0
2011-09-16 09:00:00,26.3,129.7,40.0,993.0
2011-09-16 12:00:00,26.1,129.6,40.0,993.0
2011-09-16 15:00:00,25.9,129.5,40.0,993.0
2011-09-16 18:00:00,25.7,129.5,40.0,993.0
2011-09-16 21:00:00,25.5,129.6,45.0,989.0
2011-09-17 00:00:00,25.3,129.8,50.0,985.0
2011-09-17 03:00:00,25.0,129.8,53.0,984.0
2011-09-17 06:00:00,24.8,129.9,55.0,982.0
2011-09-17 09:00:00,24.8,130.2,58.0,980.0
2011-09-17 12:00:00,24.8,130.5,60.0,978.0
2011-09-17 15:00:00,24.8,130.6,63.0,976.0
