time,lat,lon,vmax,mslp
2011-09-13 12:00:00,19.4,153.7,15.0,1010.0
2011-09-13 15:00:00,19.6,153.6,18.0,1009.0
2011-09-13 18:00:00,19.7,153.6,20.0,1007.0
2011-09-13 21:00:00,19.8,153.6,23.0,1006.0
2011-09-14 00:00:00,20.0,153.7,25.0,1004.0
2011-09-14 03:00:00,20.1,153.8,25.0,1004.0
2011-09-14 06:00:00,20.3,154.0,25.0,1004.0
2011-09-14 09:00:00,20.6,154.2,25.0,1004.0
2011-09-14 12:00:00,20.9,154.4,25.0,1004.0
2011-09-14 15:00:00,21.2,154.6,28.0,1002.0
2011-09-14 18:00:00,21.4,154.8,30.0,1000.0
2011-09-14 21:00:00,21.5,155.1,30.0,1000.0
2011-09-15 00:00:00,21.6,155.3,30.0,1000.0
2011-09-15 03:00:00,21.8,155.3,30.0,1000.0
2011-09-15 06:00:00,22.1,155.2,30.0,1000.0
2011-09-15 09:00:00,22.4,155.2,30.0,1000.0
2011-09-15 12:00:00,22.6,155.0,30.0,1000.0
2011-09-15 15:00:00,22.8,154.7,30.0,1000.0
2011-09-15 18:00:00,22.9,154.2,30.0,1000.0
2011-09-15 21:00:00,22.9,153.6,30.0,1000.0
2011-09-16 00:00:00,22.8,152.9,30.0,1000.0
2011-09-16 03:00:00,22.9,152.2,33.0,998.0
2011-09-16 06:00:00,23.0,151.5,35.0,996.0
2011-09-16 09:00:00,23.1,150.8,35.0,996.0
2011-09-16 12:00:00,23.3,150.2,35.0,996.0
2011-09-16 15:00:00,23.4,149.5,40.0,993.0
2011-09-16 18:00:00,23.6,148.9,45.0,989.0
2011-09-16 21:00:00,24.0,148.3,45.0,989.0
2011-09-17 00:00:00,24.6,147.6,45.0,989.0
2011-09-17 03:00:00,25.1,146.9,53.0,984.0
2011-09-17 06:00:00,25.6,146.1,60.0,978.0
2011-09-17 09:00:00,26.0,145.3,63.0,976.0
2011-09-17 12:00:00,26.4,144.5,65.0,974.0
2011-09-17 15:00:00,26.9,143.9,65.0,974.0
2011-09-17 18:00:00,27.4,143.4,65.0,974.0
2011-09-17 21:00:00,28.0,143.0,68.0,972.0
2011-09-18 00:00:00,28.7,142.8,70.0,970.0
2011-09-18 03:00:00,29.4,142.6,75.0,967.0
2011-09-18 06:00:00,30.2,142.5,80.0,963.0
2011-09-18 09:00:00,30.9,142.5,85.0,960.0
2011-09-18 12:00:00,31.7,142.6,90.0,956.0
2011-09-18 15:00:00,32.5,142.8,90.0,956.0
2011-09-18 18:00:00,33.3,143.1,90.0,956.0
2011-09-18 21:00:00,34.0,143.7,90.0,956.0
2011-09-19 00:00:00,34.6,144.4,90.0,956.0
2011-09-19 03:00:00,35.3,145.2,88.0,958.0
2011-09-19 06:00:00,36.0,146.2,85.0,959.0
2011-09-19 09:00:00,36.7,147.4,85.0,959.0
2011-09-19 12:00:00,37.4,148.7,85.0,959.0
2011-09-19 15:00:00,38.1,150.1,78.0,965.0
2011-09-19 18:00:00,38.8,151.8,70.0,970.0
2011-09-19 21:00:00,39.4,153.7,68.0,972.0
2011-09-20 00:00:00,39.9,155.7,65.0,974.0
2011-09-20 03:00:00,40.5,157.9,63.0,976.0
2011-09-20 06:00:00,41.1,160.1,60.0,978.0
2011-09-20 09:00:00,41.5,162.3,58.0,980.0
2011-09-20 12:00:00,41.9,164.6,55.0,982.0
2011-09-20 15:00:00,42.2,167.1,50.0,986.0
2011-09-20 18:00:00,42.5,169.8,45.0,989.0
