time,lat,lon,vmax,mslp
2011-09-21 06:00:00,13.4,-96.1,30,1006
2011-09-21 09:00:00,13.6,-96.2,33,1006
2011-09-21 12:00:00,13.7,-96.3,35,1005
2011-09-21 15:00:00,13.8,-96.3,38,1004
2011-09-21 18:00:00,14.0,-96.4,40,1003
2011-09-21 21:00:00,14.1,-96.6,43,1002
2011-09-22 00:00:00,14.3,-97.0,45,1001
2011-09-22 03:00:00,14.4,-97.4,50,999
2011-09-22 06:00:00,14.6,-97.8,55,997
2011-09-22 09:00:00,14.8,-98.2,63,993
2011-09-22 12:00:00,15.0,-98.6,70,988
2011-09-22 15:00:00,15.2,-99.0,80,980
2011-09-22 18:00:00,15.5,-99.4,90,971
2011-09-22 21:00:00,15.7,-99.8,98,965
2011-09-23 00:00:00,15.9,-100.3,105,959
2011-09-23 03:00:00,16.0,-100.8,110,955
2011-09-23 06:00:00,16.0,-101.3,115,951
2011-09-23 09:00:00,16.0,-101.7,118,949
2011-09-23 12:00:00,16.0,-102.0,120,946
2011-09-23 15:00:00,16.1,-102.3,123,944
2011-09-23 18:00:00,16.2,-102.7,125,942
2011-09-23 21:00:00,16.4,-103.1,125,942
2011-09-24 00:00:00,16.6,-103.5,125,942
2011-09-24 03:00:00,16.8,-104.0,123,944
2011-09-24 06:00:00,16.9,-104.6,120,946
2011-09-24 09:00:00,16.9,-105.2,120,946
2011-09-24 12:00:00,16.8,-105.7,120,946
2011-09-24 15:00:00,16.8,-106.1,118,948
2011-09-24 18:00:00,16.8,-106.4,115,950
2011-09-24 21:00:00,16.8,-106.8,115,950
2011-09-25 00:00:00,16.9,-107.2,115,950
2011-09-25 03:00:00,16.9,-107.6,113,951
2011-09-25 06:00:00,17.0,-108.0,110,952
2011-09-25 09:00:00,17.1,-108.4,110,952
2011-09-25 12:00:00,17.1,-108.9,110,952
2011-09-25 15:00:00,17.1,-109.4,108,954
2011-09-25 18:00:00,17.1,-109.9,105,955
2011-09-25 21:00:00,17.0,-110.4,105,955
2011-09-26 00:00:00,16.9,-110.8,105,955
2011-09-26 03:00:00,16.8,-111.2,105,955
2011-09-26 06:00:00,16.8,-111.7,105,955
2011-09-26 09:00:00,16.8,-112.2,108,954
2011-09-26 12:00:00,16.7,-112.7,110,953
2011-09-26 15:00:00,16.6,-113.1,113,951
2011-09-26 18:00:00,16.6,-113.5,115,948
2011-09-26 21:00:00,16.6,-113.9,115,948
2011-09-27 00:00:00,16.6,-114.4,115,948
2011-09-27 03:00:00,16.6,-114.9,110,953
2011-09-27 06:00:00,16.6,-115.3,105,957
2011-09-27 09:00:00,16.6,-115.7,103,959
2011-09-27 12:00:00,16.7,-116.1,100,961
2011-09-27 15:00:00,16.8,-116.5,98,963
2011-09-27 18:00:00,16.9,-116.9,95,964
2011-09-27 21:00:00,17.0,-117.2,93,966
2011-09-28 00:00:00,17.2,-117.4,90,968
2011-09-28 03:00:00,17.4,-117.6,85,971
2011-09-28 06:00:00,17.6,-117.8,80,973
2011-09-28 09:00:00,17.8,-118.0,78,976
2011-09-28 12:00:00,18.1,-118.3,75,978
2011-09-28 15:00:00,18.4,-118.6,73,979
2011-09-28 18:00:00,18.7,-118.8,70,980
2011-09-28 21:00:00,19.0,-119.1,68,983
2011-09-29 00:00:00,19.2,-119.3,65,985
2011-09-29 03:00:00,19.4,-119.5,63,987
2011-09-29 06:00:00,19.7,-119.7,60,989
2011-09-29 09:00:00,20.0,-119.9,58,992
2011-09-29 12:00:00,20.4,-120.1,55,994
2011-09-29 15:00:00,20.8,-120.3,53,997
2011-09-29 18:00:00,21.2,-120.5,50,1000
2011-09-29 21:00:00,21.5,-120.7,45,1001
2011-09-30 00:00:00,21.7,-120.8,40,1002
2011-09-30 03:00:00,21.9,-120.9,35,1004
2011-09-30 06:00:00,22.2,-121.1,30,1005
2011-09-30 09:00:00,22.5,-121.3,30,1005
2011-09-30 12:00:00,22.9,-121.5,30,1005
2011-09-30 15:00:00,23.2,-121.6,30,1006
2011-09-30 18:00:00,23.5,-121.8,30,1007
2011-09-30 21:00:00,23.7,-122.1,30,1007
2011-10-01 00:00:00,23.8,-122.4,30,1007
2011-10-01 03:00:00,23.8,-122.6,28,1008
2011-10-01 06:00:00,23.8,-122.7,25,1008
2011-10-01 09:00:00,23.8,-122.8,25,1008
2011-10-01 12:00:00,23.7,-123.0,25,1008
2011-10-01 15:00:00,23.6,-123.1,25,1009
2011-10-01 18:00:00,23.5,-123.3,25,1009
2011-10-01 21:00:00,23.4,-123.4,25,1009
2011-10-02 00:00:00,23.2,-123.6,25,1009
2011-10-02 03:00:00,23.0,-123.9,25,1010
2011-10-02 06:00:00,22.9,-124.2,25,1010
2011-10-02 09:00:00,22.8,-124.5,23,1010
2011-10-02 12:00:00,22.8,-124.8,20,1010
2011-10-02 15:00:00,22.8,-125.0,20,1010
2011-10-02 18:00:00,22.8,-125.1,20,1010
2011-10-02 21:00:00,22.8,-125.2,20,1010
2011-10-03 00:00:00,22.7,-125.4,20,1010
2011-10-03 03:00:00,22.4,-125.6,20,1010
2011-10-03 06:00:00,22.1,-125.8,20,1010
2011-10-03 09:00:00,21.9,-126.1,20,1010
2011-10-03 12:00:00,21.8,-126.4,20,1010
