time,lat,lon,vmax,mslp
2011-10-04 18:00:00,11.6,-111.7,25,1009
2011-10-04 21:00:00,11.6,-112.2,25,1009
2011-10-05 00:00:00,11.5,-112.6,25,1009
2011-10-05 03:00:00,11.4,-112.9,25,1009
2011-10-05 06:00:00,11.4,-113.2,25,1009
2011-10-05 09:00:00,11.4,-113.5,25,1009
2011-10-05 12:00:00,11.4,-113.9,25,1009
2011-10-05 15:00:00,11.5,-114.3,25,1009
2011-10-05 18:00:00,11.6,-114.6,25,1009
2011-10-05 21:00:00,11.7,-114.9,25,1008
2011-10-06 00:00:00,11.9,-115.3,25,1007
2011-10-06 03:00:00,12.0,-115.7,28,1007
2011-10-06 06:00:00,12.1,-116.0,30,1006
2011-10-06 09:00:00,12.2,-116.3,33,1005
2011-10-06 12:00:00,12.3,-116.7,35,1004
2011-10-06 15:00:00,12.4,-117.1,43,1002
2011-10-06 18:00:00,12.5,-117.6,50,999
2011-10-06 21:00:00,12.7,-118.1,55,997
2011-10-07 00:00:00,12.9,-118.5,60,995
2011-10-07 03:00:00,13.1,-118.9,65,992
2011-10-07 06:00:00,13.3,-119.3,70,989
2011-10-07 09:00:00,13.5,-119.7,75,985
2011-10-07 12:00:00,13.6,-120.0,80,981
2011-10-07 15:00:00,13.7,-120.3,83,979
2011-10-07 18:00:00,13.8,-120.5,85,977
2011-10-07 21:00:00,13.8,-120.7,85,977
2011-10-08 00:00:00,13.9,-120.8,85,976
2011-10-08 03:00:00,14.0,-120.9,83,978
2011-10-08 06:00:00,14.1,-121.0,80,980
2011-10-08 09:00:00,14.2,-121.0,75,983
2011-10-08 12:00:00,14.3,-121.0,70,985
2011-10-08 15:00:00,14.3,-121.0,65,988
2011-10-08 18:00:00,14.4,-120.9,60,991
2011-10-08 21:00:00,14.5,-120.8,53,996
2011-10-09 00:00:00,14.6,-120.7,45,1001
2011-10-09 03:00:00,14.7,-120.6,40,1003
2011-10-09 06:00:00,14.9,-120.4,35,1004
2011-10-09 09:00:00,15.0,-120.2,35,1004
2011-10-09 12:00:00,15.1,-120.0,35,1004
2011-10-09 15:00:00,15.2,-119.8,38,1004
2011-10-09 18:00:00,15.2,-119.6,40,1003
2011-10-09 21:00:00,15.2,-119.4,40,1003
2011-10-10 00:00:00,15.2,-119.1,40,1003
2011-10-10 03:00:00,15.2,-118.8,40,1003
2011-10-10 06:00:00,15.2,-118.5,40,1003
2011-10-10 09:00:00,15.2,-118.2,40,1003
2011-10-10 12:00:00,15.2,-117.9,40,1003
2011-10-10 15:00:00,15.1,-117.6,40,1003
2011-10-10 18:00:00,15.1,-117.2,40,1003
2011-10-10 21:00:00,15.1,-116.8,38,1004
2011-10-11 00:00:00,15.1,-116.5,35,1004
2011-10-11 03:00:00,15.1,-116.2,35,1004
2011-10-11 06:00:00,15.1,-115.9,35,1004
2011-10-11 09:00:00,15.1,-115.6,38,1004
2011-10-11 12:00:00,15.0,-115.3,40,1003
2011-10-11 15:00:00,14.9,-114.9,43,1002
2011-10-11 18:00:00,14.8,-114.5,45,1001
2011-10-11 21:00:00,14.8,-114.1,45,1001
2011-10-12 00:00:00,14.8,-113.6,45,1001
2011-10-12 03:00:00,14.9,-113.1,43,1002
2011-10-12 06:00:00,15.0,-112.5,40,1002
2011-10-12 09:00:00,15.2,-111.9,40,1002
2011-10-12 12:00:00,15.6,-111.2,40,1002
2011-10-12 15:00:00,16.0,-110.6,38,1003
2011-10-12 18:00:00,16.5,-110.0,35,1003
2011-10-12 21:00:00,17.0,-109.4,33,1004
2011-10-13 00:00:00,17.4,-108.9,30,1004
2011-10-13 03:00:00,17.8,-108.5,30,1004
2011-10-13 06:00:00,18.1,-108.1,30,1004
2011-10-13 09:00:00,18.4,-107.8,30,1004
2011-10-13 12:00:00,18.6,-107.5,30,1004
2011-10-13 15:00:00,18.8,-107.1,33,1004
2011-10-13 18:00:00,19.0,-106.8,35,1003
2011-10-13 21:00:00,19.1,-106.7,35,1003
2011-10-14 00:00:00,19.2,-106.7,35,1002
2011-10-14 03:00:00,19.2,-106.7,35,1002
2011-10-14 06:00:00,19.2,-106.8,35,1002
2011-10-14 09:00:00,19.1,-106.9,38,1002
2011-10-14 12:00:00,18.9,-106.9,40,1002
2011-10-14 15:00:00,18.7,-106.9,40,1003
