time,lat,lon,vmax,mslp
2012-08-06 00:00:00,12.4,-105.9,25,1008
2012-08-06 03:00:00,12.6,-106.4,25,1008
2012-08-06 06:00:00,12.7,-106.9,25,1008
2012-08-06 09:00:00,12.8,-107.4,25,1008
2012-08-06 12:00:00,13.0,-108.0,25,1008
2012-08-06 15:00:00,13.1,-108.6,25,1008
2012-08-06 18:00:00,13.3,-109.1,25,1008
2012-08-06 21:00:00,13.4,-109.7,25,1008
2012-08-07 00:00:00,13.6,-110.2,25,1008
2012-08-07 03:00:00,13.8,-110.8,28,1007
2012-08-07 06:00:00,14.1,-111.3,30,1006
2012-08-07 09:00:00,14.4,-111.9,30,1006
2012-08-07 12:00:00,14.6,-112.4,30,1006
2012-08-07 15:00:00,14.8,-112.9,35,1004
2012-08-07 18:00:00,14.9,-113.4,40,1001
2012-08-07 21:00:00,15.0,-113.9,45,999
2012-08-08 00:00:00,15.2,-114.4,50,997
2012-08-08 03:00:00,15.4,-114.9,53,996
2012-08-08 06:00:00,15.5,-115.4,55,994
2012-08-08 09:00:00,15.6,-115.9,58,992
2012-08-08 12:00:00,15.7,-116.3,60,989
2012-08-08 15:00:00,15.8,-116.8,63,988
2012-08-08 18:00:00,15.9,-117.2,65,987
2012-08-08 21:00:00,16.0,-117.5,65,987
2012-08-09 00:00:00,16.1,-117.8,65,987
2012-08-09 03:00:00,16.2,-118.1,68,986
2012-08-09 06:00:00,16.3,-118.3,70,984
2012-08-09 09:00:00,16.5,-118.5,68,986
2012-08-09 12:00:00,16.7,-118.7,65,988
2012-08-09 15:00:00,16.9,-118.8,63,990
2012-08-09 18:00:00,17.1,-118.9,60,991
2012-08-09 21:00:00,17.3,-118.9,60,991
2012-08-10 00:00:00,17.6,-118.9,60,991
2012-08-10 03:00:00,17.9,-118.9,60,992
2012-08-10 06:00:00,18.1,-119.0,60,992
2012-08-10 09:00:00,18.3,-119.1,58,993
2012-08-10 12:00:00,18.5,-119.2,55,994
2012-08-10 15:00:00,18.7,-119.3,53,996
2012-08-10 18:00:00,18.9,-119.4,50,997
2012-08-10 21:00:00,19.1,-119.5,48,998
2012-08-11 00:00:00,19.3,-119.6,45,999
2012-08-11 03:00:00,19.4,-119.7,43,1000
2012-08-11 06:00:00,19.6,-119.8,40,1001
2012-08-11 09:00:00,19.8,-119.9,38,1002
2012-08-11 12:00:00,20.0,-120.0,35,1002
2012-08-11 15:00:00,20.2,-120.1,33,1003
2012-08-11 18:00:00,20.4,-120.3,30,1004
2012-08-11 21:00:00,20.6,-120.5,30,1004
2012-08-12 00:00:00,20.7,-120.6,30,1004
2012-08-12 03:00:00,20.9,-120.8,30,1005
2012-08-12 06:00:00,21.0,-120.9,30,1005
2012-08-12 09:00:00,21.2,-121.0,28,1006
2012-08-12 12:00:00,21.3,-121.1,25,1006
2012-08-12 15:00:00,21.4,-121.2,25,1006
2012-08-12 18:00:00,21.5,-121.3,25,1006
2012-08-12 21:00:00,21.5,-121.5,23,1007
2012-08-13 00:00:00,21.5,-121.6,20,1007
2012-08-13 03:00:00,21.4,-121.7,20,1007
2012-08-13 06:00:00,21.3,-121.7,20,1007
2012-08-13 09:00:00,21.2,-121.8,20,1007
2012-08-13 12:00:00,21.0,-121.9,20,1007
2012-08-13 15:00:00,20.9,-122.0,20,1007
2012-08-13 18:00:00,20.7,-122.1,20,1007
2012-08-13 21:00:00,20.5,-122.2,20,1007
2012-08-14 00:00:00,20.2,-122.3,20,1007
