time,lat,lon,vmax,mslp
2012-09-15 12:00:00,13.2,-122.8,30,1006
2012-09-15 15:00:00,13.1,-123.0,33,1005
2012-09-15 18:00:00,13.1,-123.2,35,1004
2012-09-15 21:00:00,13.1,-123.4,38,1003
2012-09-16 00:00:00,13.1,-123.6,40,1002
2012-09-16 03:00:00,13.2,-123.9,45,1002
2012-09-16 06:00:00,13.3,-124.2,50,1001
2012-09-16 09:00:00,13.5,-124.5,50,1001
2012-09-16 12:00:00,13.7,-124.7,50,1001
2012-09-16 15:00:00,13.9,-125.0,53,999
2012-09-16 18:00:00,14.1,-125.2,55,997
2012-09-16 21:00:00,14.4,-125.4,58,996
2012-09-17 00:00:00,14.7,-125.6,60,995
2012-09-17 03:00:00,15.1,-125.8,63,994
2012-09-17 06:00:00,15.5,-126.0,65,993
2012-09-17 09:00:00,15.9,-126.2,65,993
2012-09-17 12:00:00,16.4,-126.4,65,993
2012-09-17 15:00:00,16.8,-126.6,68,991
2012-09-17 18:00:00,17.2,-126.9,70,988
2012-09-17 21:00:00,17.6,-127.2,73,987
2012-09-18 00:00:00,18.0,-127.4,75,985
2012-09-18 03:00:00,18.4,-127.7,70,987
2012-09-18 06:00:00,18.8,-127.9,65,989
2012-09-18 09:00:00,19.2,-128.1,60,992
2012-09-18 12:00:00,19.6,-128.4,55,995
2012-09-18 15:00:00,19.9,-128.7,50,997
2012-09-18 18:00:00,20.1,-129.0,45,999
2012-09-18 21:00:00,20.3,-129.3,43,1002
2012-09-19 00:00:00,20.5,-129.7,40,1005
2012-09-19 03:00:00,20.6,-130.1,35,1007
2012-09-19 06:00:00,20.7,-130.5,30,1009
2012-09-19 09:00:00,20.8,-130.8,30,1010
2012-09-19 12:00:00,20.8,-131.0,30,1010
2012-09-19 15:00:00,20.8,-131.2,30,1011
2012-09-19 18:00:00,20.9,-131.5,30,1011
2012-09-19 21:00:00,21.0,-131.8,30,1012
2012-09-20 00:00:00,21.0,-132.2,30,1012
2012-09-20 03:00:00,21.0,-132.6,28,1013
2012-09-20 06:00:00,21.0,-133.0,25,1013
