time,lat,lon,vmax,mslp
2012-10-06 12:00:00,18.7,139.3,20.0,1007.0
2012-10-06 15:00:00,18.7,139.0,20.0,1006.0
2012-10-06 18:00:00,18.7,138.6,20.0,1004.0
2012-10-06 21:00:00,18.6,138.2,20.0,1006.0
2012-10-07 00:00:00,18.4,137.9,20.0,1007.0
2012-10-07 03:00:00,18.2,137.6,20.0,1007.0
2012-10-07 06:00:00,18.0,137.3,20.0,1007.0
2012-10-07 09:00:00,17.9,137.0,23.0,1006.0
2012-10-07 12:00:00,17.8,136.7,25.0,1004.0
2012-10-07 15:00:00,17.8,136.4,30.0,1000.0
2012-10-07 18:00:00,17.9,136.1,35.0,996.0
2012-10-07 21:00:00,17.9,135.8,40.0,993.0
2012-10-08 00:00:00,17.9,135.5,45.0,989.0
2012-10-08 03:00:00,18.1,135.2,48.0,987.0
2012-10-08 06:00:00,18.3,134.9,50.0,985.0
2012-10-08 09:00:00,18.4,134.4,53.0,984.0
2012-10-08 12:00:00,18.3,133.9,55.0,982.0
2012-10-08 15:00:00,18.1,133.5,58.0,980.0
2012-10-08 18:00:00,17.9,133.2,60.0,978.0
2012-10-08 21:00:00,17.7,132.9,63.0,976.0
2012-10-09 00:00:00,17.6,132.6,65.0,974.0
2012-10-09 03:00:00,17.7,132.4,65.0,974.0
2012-10-09 06:00:00,17.8,132.2,65.0,974.0
2012-10-09 09:00:00,17.9,132.0,68.0,972.0
2012-10-09 12:00:00,18.1,131.9,70.0,970.0
2012-10-09 15:00:00,18.2,131.7,73.0,969.0
2012-10-09 18:00:00,18.3,131.5,75.0,967.0
2012-10-09 21:00:00,18.3,131.3,83.0,962.0
2012-10-10 00:00:00,18.4,131.0,90.0,956.0
2012-10-10 03:00:00,18.5,130.8,90.0,956.0
2012-10-10 06:00:00,18.6,130.5,90.0,956.0
2012-10-10 09:00:00,18.7,130.2,90.0,956.0
2012-10-10 12:00:00,18.8,129.9,90.0,956.0
2012-10-10 15:00:00,18.8,129.6,90.0,956.0
