time,lat,lon,vmax,mslp
2013-07-30 00:00:00,11.2,-111.6,20,1009
2013-07-30 03:00:00,11.5,-112.3,20,1009
2013-07-30 06:00:00,11.7,-112.9,20,1009
2013-07-30 09:00:00,11.9,-113.5,23,1009
2013-07-30 12:00:00,12.1,-114.2,25,1008
2013-07-30 15:00:00,12.3,-114.9,30,1007
2013-07-30 18:00:00,12.5,-115.6,35,1005
2013-07-30 21:00:00,12.7,-116.3,38,1004
2013-07-31 00:00:00,12.8,-116.9,40,1002
2013-07-31 03:00:00,12.9,-117.5,43,1002
2013-07-31 06:00:00,13.1,-118.1,45,1001
2013-07-31 09:00:00,13.2,-118.7,50,999
2013-07-31 12:00:00,13.4,-119.2,55,997
2013-07-31 15:00:00,13.6,-119.7,60,995
2013-07-31 18:00:00,13.7,-120.2,65,993
2013-07-31 21:00:00,13.8,-120.7,68,992
2013-08-01 00:00:00,13.9,-121.2,70,990
2013-08-01 03:00:00,14.1,-121.7,70,990
2013-08-01 06:00:00,14.2,-122.3,70,990
2013-08-01 09:00:00,14.3,-122.9,70,990
2013-08-01 12:00:00,14.3,-123.5,70,990
2013-08-01 15:00:00,14.3,-124.1,73,989
2013-08-01 18:00:00,14.3,-124.6,75,987
2013-08-01 21:00:00,14.3,-125.2,75,986
2013-08-02 00:00:00,14.4,-125.8,75,985
2013-08-02 03:00:00,14.4,-126.4,75,985
2013-08-02 06:00:00,14.5,-126.9,75,985
2013-08-02 09:00:00,14.6,-127.5,70,988
2013-08-02 12:00:00,14.6,-128.0,65,990
2013-08-02 15:00:00,14.6,-128.5,63,991
2013-08-02 18:00:00,14.6,-129.0,60,992
2013-08-02 21:00:00,14.6,-129.5,58,994
2013-08-03 00:00:00,14.7,-130.0,55,995
2013-08-03 03:00:00,14.8,-130.5,53,997
2013-08-03 06:00:00,14.9,-131.0,50,998
2013-08-03 09:00:00,15.0,-131.5,50,999
2013-08-03 12:00:00,15.2,-132.1,50,999
2013-08-03 15:00:00,15.3,-132.6,48,1000
2013-08-03 18:00:00,15.4,-133.1,45,1001
2013-08-03 21:00:00,15.3,-133.6,43,1002
2013-08-04 00:00:00,15.1,-134.0,40,1003
2013-08-04 03:00:00,14.9,-134.4,38,1005
2013-08-04 06:00:00,14.7,-134.8,35,1006
2013-08-04 09:00:00,14.6,-135.2,33,1007
2013-08-04 12:00:00,14.5,-135.5,30,1007
2013-08-04 15:00:00,14.4,-135.9,30,1007
2013-08-04 18:00:00,14.3,-136.2,30,1007
2013-08-04 21:00:00,14.2,-136.5,28,1007
2013-08-05 00:00:00,14.1,-136.8,25,1007
2013-08-05 03:00:00,13.9,-137.1,25,1007
2013-08-05 06:00:00,13.8,-137.5,25,1007
2013-08-05 09:00:00,13.7,-137.8,25,1007
2013-08-05 12:00:00,13.7,-138.2,25,1007
2013-08-05 15:00:00,13.6,-138.6,28,1007
2013-08-05 18:00:00,13.6,-139.0,30,1006
2013-08-05 21:00:00,13.6,-139.4,30,1006
2013-08-06 00:00:00,13.5,-139.8,30,1006
2013-08-06 03:00:00,13.4,-140.1,33,1006
2013-08-06 06:00:00,13.4,-140.3,35,1006
2013-08-06 09:00:00,13.3,-140.6,35,1006
2013-08-06 12:00:00,13.3,-140.9,35,1006
2013-08-06 15:00:00,13.3,-141.2,33,1007
2013-08-06 18:00:00,13.3,-141.5,30,1008
