time,lat,lon,vmax,mslp
2013-08-15 00:00:00,7.6,-167.3,25.0,1009.0
2013-08-15 03:00:00,7.7,-167.7,25.0,1009.0
2013-08-15 06:00:00,7.8,-168.1,25.0,1008.0
2013-08-15 09:00:00,8.0,-168.5,25.0,1008.0
2013-08-15 12:00:00,8.2,-168.9,25.0,1008.0
2013-08-15 15:00:00,8.4,-169.4,25.0,1008.0
2013-08-15 18:00:00,8.6,-169.9,25.0,1008.0
2013-08-15 21:00:00,8.8,-170.4,25.0,1008.0
2013-08-16 00:00:00,8.9,-170.9,25.0,1007.0
2013-08-16 03:00:00,9.1,-171.4,28.0,1006.0
2013-08-16 06:00:00,9.2,-172.0,30.0,1005.0
2013-08-16 09:00:00,9.3,-172.6,33.0,1005.0
2013-08-16 12:00:00,9.4,-173.1,35.0,1005.0
2013-08-16 15:00:00,9.5,-173.6,35.0,1005.0
2013-08-16 18:00:00,9.7,-174.0,35.0,1005.0
2013-08-16 21:00:00,9.8,-174.5,40.0,1003.0
2013-08-17 00:00:00,10.0,-175.0,45.0,1001.0
2013-08-17 03:00:00,10.2,-175.5,45.0,1000.0
2013-08-17 06:00:00,10.4,-176.0,45.0,999.0
2013-08-17 09:00:00,10.6,-176.5,48.0,998.0
2013-08-17 12:00:00,10.8,-176.9,50.0,997.0
2013-08-17 15:00:00,11.0,-177.4,53.0,996.0
2013-08-17 18:00:00,11.2,-177.9,55.0,995.0
2013-08-17 21:00:00,11.4,-178.5,55.0,995.0
2013-08-18 00:00:00,11.5,-179.0,55.0,995.0
2013-08-18 03:00:00,11.7,-179.5,55.0,995.0
2013-08-18 06:00:00,11.9,-179.9,55.0,995.0
2013-08-18 09:00:00,12.2,179.7,53.0,996.0
2013-08-18 12:00:00,12.5,179.3,50.0,997.0
2013-08-18 15:00:00,12.7,179.0,53.0,996.0
2013-08-18 18:00:00,12.9,178.8,55.0,994.0
2013-08-18 21:00:00,13.1,178.6,60.0,991.0
2013-08-19 00:00:00,13.3,178.4,65.0,988.0
2013-08-19 03:00:00,13.6,178.2,65.0,988.0
2013-08-19 06:00:00,13.9,178.0,65.0,987.0
2013-08-19 09:00:00,14.3,177.6,63.0,988.0
2013-08-19 12:00:00,14.6,177.2,60.0,989.0
2013-08-19 15:00:00,14.6,176.7,58.0,992.0
2013-08-19 18:00:00,14.6,176.3,55.0,994.0
2013-08-19 21:00:00,14.9,175.9,53.0,995.0
2013-08-20 00:00:00,15.3,175.6,50.0,996.0
2013-08-20 03:00:00,15.7,175.2,48.0,997.0
2013-08-20 06:00:00,16.2,174.8,45.0,997.0
2013-08-20 09:00:00,16.8,174.4,45.0,998.0
2013-08-20 12:00:00,17.4,174.0,45.0,998.0
2013-08-20 15:00:00,17.9,173.4,45.0,998.0
2013-08-20 18:00:00,18.3,172.8,45.0,998.0
2013-08-20 21:00:00,18.5,172.2,45.0,998.0
2013-08-21 00:00:00,18.7,171.8,45.0,998.0
2013-08-21 03:00:00,19.1,171.5,40.0,1000.0
2013-08-21 06:00:00,19.6,171.3,35.0,1001.0
2013-08-21 09:00:00,20.0,171.0,35.0,1002.0
2013-08-21 12:00:00,20.4,170.6,35.0,1002.0
2013-08-21 15:00:00,20.8,170.3,35.0,1003.0
2013-08-21 18:00:00,21.2,170.0,35.0,1003.0
2013-08-21 21:00:00,21.6,169.9,33.0,1004.0
2013-08-22 00:00:00,22.1,169.9,30.0,1005.0
2013-08-22 03:00:00,22.6,169.8,30.0,1005.0
2013-08-22 06:00:00,23.2,169.6,30.0,1005.0
2013-08-22 09:00:00,23.8,169.4,30.0,1006.0
2013-08-22 12:00:00,24.4,169.3,30.0,1006.0
2013-08-22 15:00:00,24.8,169.2,30.0,1006.0
2013-08-22 18:00:00,25.2,169.2,30.0,1006.0
2013-08-22 21:00:00,25.7,169.3,30.0,1006.0
2013-08-23 00:00:00,26.2,169.5,30.0,1006.0
2013-08-23 03:00:00,26.4,169.5,30.0,1006.0
2013-08-23 06:00:00,26.5,169.5,30.0,1006.0
2013-08-23 09:00:00,26.7,169.4,30.0,1006.0
2013-08-23 12:00:00,26.8,169.3,30.0,1006.0
2013-08-23 15:00:00,26.9,169.3,30.0,1006.0
2013-08-23 18:00:00,27.1,169.3,30.0,1006.0
2013-08-23 21:00:00,27.3,169.3,30.0,1006.0
2013-08-24 00:00:00,27.6,169.3,30.0,1006.0
2013-08-24 03:00:00,27.8,169.1,28.0,1007.0
2013-08-24 06:00:00,27.9,168.9,25.0,1007.0
2013-08-24 09:00:00,27.9,168.9,23.0,1007.0
2013-08-24 12:00:00,27.9,168.8,20.0,1007.0
2013-08-24 15:00:00,28.0,168.2,20.0,1008.0
2013-08-24 18:00:00,28.2,167.6,20.0,1008.0
2013-08-24 21:00:00,28.3,167.2,20.0,1009.0
2013-08-25 00:00:00,28.3,166.9,20.0,1009.0
2013-08-25 03:00:00,28.3,166.6,20.0,1009.0
2013-08-25 06:00:00,28.4,166.2,20.0,1009.0
