time,lat,lon,vmax,mslp
2013-10-06 18:00:00,12.9,-118.0,30,1007
2013-10-06 21:00:00,13.0,-118.6,33,1006
2013-10-07 00:00:00,13.1,-119.2,35,1005
2013-10-07 03:00:00,13.3,-119.8,38,1004
2013-10-07 06:00:00,13.6,-120.5,40,1003
2013-10-07 09:00:00,13.8,-121.1,45,1001
2013-10-07 12:00:00,14.0,-121.7,50,999
2013-10-07 15:00:00,14.2,-122.3,53,998
2013-10-07 18:00:00,14.4,-122.8,55,997
2013-10-07 21:00:00,14.6,-123.4,55,998
2013-10-08 00:00:00,14.8,-123.9,55,998
2013-10-08 03:00:00,14.9,-124.4,53,999
2013-10-08 06:00:00,15.1,-124.9,50,999
2013-10-08 09:00:00,15.3,-125.4,45,1001
2013-10-08 12:00:00,15.6,-126.0,40,1002
2013-10-08 15:00:00,15.9,-126.5,38,1005
2013-10-08 18:00:00,16.1,-127.0,35,1007
2013-10-08 21:00:00,16.3,-127.4,33,1007
2013-10-09 00:00:00,16.5,-127.7,30,1007
2013-10-09 03:00:00,16.7,-128.0,30,1007
2013-10-09 06:00:00,16.8,-128.2,30,1007
2013-10-09 09:00:00,16.9,-128.3,30,1007
2013-10-09 12:00:00,16.9,-128.4,30,1007
2013-10-09 15:00:00,16.9,-128.4,30,1007
2013-10-09 18:00:00,16.9,-128.4,30,1007
2013-10-09 21:00:00,16.8,-128.4,30,1007
2013-10-10 00:00:00,16.7,-128.5,30,1007
2013-10-10 03:00:00,16.6,-128.6,30,1007
2013-10-10 06:00:00,16.5,-128.7,30,1007
2013-10-10 09:00:00,16.4,-128.8,28,1007
2013-10-10 12:00:00,16.4,-128.9,25,1007
2013-10-10 15:00:00,16.4,-129.0,25,1007
2013-10-10 18:00:00,16.3,-129.2,25,1007
2013-10-10 21:00:00,16.2,-129.4,25,1007
2013-10-11 00:00:00,16.1,-129.6,25,1007
2013-10-11 03:00:00,16.0,-129.8,25,1007
2013-10-11 06:00:00,15.9,-130.1,25,1007
2013-10-11 09:00:00,15.9,-130.4,25,1007
2013-10-11 12:00:00,15.9,-130.8,25,1007
2013-10-11 15:00:00,15.8,-131.2,25,1007
2013-10-11 18:00:00,15.7,-131.5,25,1007
2013-10-11 21:00:00,15.5,-131.8,25,1007
2013-10-12 00:00:00,15.2,-132.1,25,1007
2013-10-12 03:00:00,15.0,-132.4,25,1007
2013-10-12 06:00:00,14.8,-132.6,25,1007
2013-10-12 09:00:00,14.6,-132.8,23,1008
2013-10-12 12:00:00,14.5,-133.0,20,1008
