time,lat,lon,vmax,mslp
2013-10-13 12:00:00,12.5,-116.8,25,1005
2013-10-13 15:00:00,12.5,-116.8,25,1005
2013-10-13 18:00:00,12.5,-116.7,25,1005
2013-10-13 21:00:00,12.5,-116.5,28,1004
2013-10-14 00:00:00,12.7,-116.2,30,1003
2013-10-14 03:00:00,13.1,-116.0,33,1003
2013-10-14 06:00:00,13.7,-115.8,35,1002
2013-10-14 09:00:00,14.2,-115.7,38,1002
2013-10-14 12:00:00,14.7,-115.6,40,1001
2013-10-14 15:00:00,15.1,-115.6,40,1001
2013-10-14 18:00:00,15.4,-115.7,40,1001
2013-10-14 21:00:00,15.7,-115.8,38,1002
2013-10-15 00:00:00,16.1,-115.8,35,1003
2013-10-15 03:00:00,16.5,-115.8,35,1004
2013-10-15 06:00:00,16.9,-115.9,35,1004
2013-10-15 09:00:00,17.1,-116.1,35,1004
2013-10-15 12:00:00,17.3,-116.3,35,1004
2013-10-15 15:00:00,17.4,-116.6,33,1005
2013-10-15 18:00:00,17.5,-117.0,30,1005
2013-10-15 21:00:00,17.5,-117.4,30,1006
2013-10-16 00:00:00,17.6,-117.7,30,1006
2013-10-16 03:00:00,17.7,-118.0,30,1006
2013-10-16 06:00:00,17.8,-118.4,30,1006
2013-10-16 09:00:00,17.9,-118.8,30,1007
2013-10-16 12:00:00,18.1,-119.2,30,1007
2013-10-16 15:00:00,18.3,-119.6,28,1008
2013-10-16 18:00:00,18.5,-120.0,25,1008
2013-10-16 21:00:00,18.8,-120.3,25,1008
2013-10-17 00:00:00,19.0,-120.7,25,1008
2013-10-17 03:00:00,19.1,-121.1,25,1009
2013-10-17 06:00:00,19.2,-121.6,25,1009
2013-10-17 09:00:00,19.2,-122.1,25,1009
2013-10-17 12:00:00,19.1,-122.6,25,1009
2013-10-17 15:00:00,19.0,-123.1,25,1009
2013-10-17 18:00:00,18.9,-123.5,25,1009
2013-10-17 21:00:00,18.8,-123.9,25,1009
2013-10-18 00:00:00,18.8,-124.2,25,1009
2013-10-18 03:00:00,18.8,-124.6,23,1009
2013-10-18 06:00:00,18.7,-124.9,20,1009
2013-10-18 09:00:00,18.7,-125.2,20,1009
2013-10-18 12:00:00,18.6,-125.4,20,1009
