time,lat,lon,vmax,mslp
2013-10-19 06:00:00,9.2,163.3,15.0,1010.0
2013-10-19 09:00:00,9.6,163.3,15.0,1010.0
2013-10-19 12:00:00,9.9,163.2,15.0,1010.0
2013-10-19 15:00:00,10.2,163.0,18.0,1007.0
2013-10-19 18:00:00,10.4,162.7,20.0,1004.0
2013-10-19 21:00:00,10.6,162.4,20.0,1005.0
2013-10-20 00:00:00,10.7,162.1,20.0,1005.0
2013-10-20 03:00:00,10.8,161.7,20.0,1006.0
2013-10-20 06:00:00,10.8,161.4,20.0,1007.0
2013-10-20 09:00:00,10.6,161.1,23.0,1006.0
2013-10-20 12:00:00,10.5,160.9,25.0,1004.0
2013-10-20 15:00:00,10.6,160.8,30.0,1000.0
2013-10-20 18:00:00,10.9,160.8,35.0,996.0
2013-10-20 21:00:00,11.2,160.9,40.0,993.0
2013-10-21 00:00:00,11.6,160.9,45.0,989.0
2013-10-21 03:00:00,11.9,160.8,48.0,987.0
2013-10-21 06:00:00,12.2,160.6,50.0,985.0
2013-10-21 09:00:00,12.6,160.3,55.0,982.0
2013-10-21 12:00:00,13.1,160.0,60.0,978.0
2013-10-21 15:00:00,13.5,159.6,65.0,974.0
2013-10-21 18:00:00,13.9,159.1,70.0,970.0
2013-10-21 21:00:00,14.5,158.6,80.0,963.0
2013-10-22 00:00:00,15.1,158.1,90.0,956.0
2013-10-22 03:00:00,15.7,157.4,98.0,950.0
2013-10-22 06:00:00,16.3,156.7,105.0,944.0
2013-10-22 09:00:00,16.8,156.0,115.0,937.0
2013-10-22 12:00:00,17.2,155.3,125.0,929.0
2013-10-22 15:00:00,17.7,154.6,133.0,924.0
2013-10-22 18:00:00,18.1,153.8,140.0,918.0
2013-10-22 21:00:00,18.4,153.0,140.0,918.0
2013-10-23 00:00:00,18.6,152.2,140.0,918.0
2013-10-23 03:00:00,18.8,151.5,138.0,920.0
2013-10-23 06:00:00,19.0,150.9,135.0,922.0
2013-10-23 09:00:00,19.2,150.3,138.0,920.0
2013-10-23 12:00:00,19.4,149.8,140.0,918.0
2013-10-23 15:00:00,19.6,149.2,140.0,918.0
2013-10-23 18:00:00,19.9,148.7,140.0,918.0
2013-10-23 21:00:00,20.2,148.1,138.0,920.0
2013-10-24 00:00:00,20.6,147.6,135.0,922.0
2013-10-24 03:00:00,21.0,147.0,133.0,924.0
2013-10-24 06:00:00,21.4,146.5,130.0,926.0
2013-10-24 09:00:00,21.9,146.0,128.0,928.0
2013-10-24 12:00:00,22.4,145.6,125.0,929.0
2013-10-24 15:00:00,23.0,145.1,123.0,931.0
2013-10-24 18:00:00,23.6,144.7,120.0,933.0
2013-10-24 21:00:00,24.2,144.4,118.0,935.0
2013-10-25 00:00:00,25.0,144.3,115.0,937.0
2013-10-25 03:00:00,25.9,144.3,115.0,937.0
2013-10-25 06:00:00,26.9,144.5,115.0,937.0
2013-10-25 09:00:00,28.0,144.6,108.0,943.0
2013-10-25 12:00:00,29.2,145.0,100.0,948.0
2013-10-25 15:00:00,30.5,145.7,98.0,950.0
2013-10-25 18:00:00,31.8,146.7,95.0,952.0
2013-10-25 21:00:00,33.1,147.6,85.0,960.0
2013-10-26 00:00:00,34.5,148.8,75.0,967.0
2013-10-26 03:00:00,35.9,150.6,70.0,971.0
2013-10-26 06:00:00,37.2,152.7,65.0,974.0
2013-10-26 09:00:00,38.4,154.6,55.0,982.0
2013-10-26 12:00:00,39.6,156.5,45.0,989.0
