time,lat,lon,vmax,mslp
2014-06-14 00:00:00,20.2,116.8,25.0,1004.0
2014-06-14 03:00:00,20.4,116.9,30.0,1000.0
2014-06-14 06:00:00,20.7,117.0,35.0,996.0
2014-06-14 09:00:00,21.0,117.0,38.0,995.0
2014-06-14 12:00:00,21.2,117.0,40.0,993.0
2014-06-14 15:00:00,21.4,117.0,43.0,991.0
2014-06-14 18:00:00,21.6,117.0,45.0,989.0
2014-06-14 21:00:00,21.9,117.0,48.0,987.0
2014-06-15 00:00:00,22.2,116.9,50.0,985.0
2014-06-15 03:00:00,22.5,116.9,50.0,985.0
2014-06-15 06:00:00,22.8,116.9,50.0,985.0
2014-06-15 09:00:00,23.2,116.8,45.0,989.0
2014-06-15 12:00:00,23.6,116.7,40.0,993.0
2014-06-15 15:00:00,23.9,116.7,38.0,995.0
2014-06-15 18:00:00,24.1,116.7,35.0,996.0
2014-06-15 21:00:00,24.4,116.7,33.0,998.0
2014-06-16 00:00:00,24.7,116.9,30.0,1000.0
2014-06-16 03:00:00,25.0,117.2,33.0,998.0
2014-06-16 06:00:00,25.4,117.6,35.0,996.0
2014-06-16 09:00:00,25.9,118.2,35.0,996.0
2014-06-16 12:00:00,26.3,118.9,35.0,996.0
2014-06-16 15:00:00,26.6,119.5,35.0,996.0
2014-06-16 18:00:00,26.9,120.2,35.0,996.0
2014-06-16 21:00:00,27.3,121.1,38.0,995.0
2014-06-17 00:00:00,27.7,122.4,40.0,993.0
2014-06-17 03:00:00,28.2,124.2,40.0,993.0
2014-06-17 06:00:00,28.6,126.2,40.0,993.0
2014-06-17 09:00:00,28.9,128.1,35.0,997.0
2014-06-17 12:00:00,29.2,130.0,30.0,1000.0
2014-06-17 15:00:00,29.4,132.2,30.0,1000.0
2014-06-17 18:00:00,29.7,134.5,30.0,1000.0
2014-06-17 21:00:00,30.2,136.9,30.0,1000.0
2014-06-18 00:00:00,30.7,139.1,30.0,1000.0
2014-06-18 03:00:00,31.1,141.0,33.0,998.0
2014-06-18 06:00:00,31.3,142.7,35.0,996.0
