time,lat,lon,vmax,mslp
2014-06-30 06:00:00,17.0,-103.0,45,1004
2014-06-30 09:00:00,17.0,-103.2,45,1003
2014-06-30 12:00:00,17.1,-103.4,45,1002
2014-06-30 15:00:00,17.2,-103.8,45,1003
2014-06-30 18:00:00,17.3,-104.1,45,1003
2014-06-30 21:00:00,17.4,-104.3,45,1003
2014-07-01 00:00:00,17.5,-104.4,45,1003
2014-07-01 03:00:00,17.5,-104.4,45,1003
2014-07-01 06:00:00,17.5,-104.3,45,1003
2014-07-01 09:00:00,17.5,-104.3,43,1004
2014-07-01 12:00:00,17.4,-104.2,40,1004
2014-07-01 15:00:00,17.4,-104.1,38,1005
2014-07-01 18:00:00,17.3,-104.0,35,1005
2014-07-01 21:00:00,17.2,-103.8,33,1006
2014-07-02 00:00:00,17.1,-103.6,30,1007
2014-07-02 03:00:00,17.0,-103.4,28,1008
2014-07-02 06:00:00,17.0,-103.1,25,1008
2014-07-02 09:00:00,16.9,-102.8,25,1009
2014-07-02 12:00:00,16.9,-102.6,25,1009
2014-07-02 15:00:00,16.9,-102.5,23,1010
2014-07-02 18:00:00,16.9,-102.4,20,1010
