time,lat,lon,vmax,mslp
2014-07-06 06:00:00,10.8,-113.0,20,1008
2014-07-06 09:00:00,10.8,-113.5,20,1008
2014-07-06 12:00:00,10.7,-114.0,20,1008
2014-07-06 15:00:00,10.6,-114.5,20,1008
2014-07-06 18:00:00,10.5,-115.1,20,1008
2014-07-06 21:00:00,10.3,-115.6,23,1008
2014-07-07 00:00:00,10.1,-116.1,25,1007
2014-07-07 03:00:00,9.9,-116.6,25,1007
2014-07-07 06:00:00,9.7,-117.1,25,1007
2014-07-07 09:00:00,9.6,-117.6,28,1007
2014-07-07 12:00:00,9.5,-118.1,30,1006
2014-07-07 15:00:00,9.4,-118.6,35,1005
2014-07-07 18:00:00,9.4,-119.2,40,1004
2014-07-07 21:00:00,9.4,-119.7,40,1004
2014-07-08 00:00:00,9.4,-120.3,40,1004
2014-07-08 03:00:00,9.4,-120.9,40,1004
2014-07-08 06:00:00,9.4,-121.5,40,1004
2014-07-08 09:00:00,9.5,-122.1,38,1005
2014-07-08 12:00:00,9.6,-122.8,35,1005
2014-07-08 15:00:00,9.8,-123.4,35,1005
2014-07-08 18:00:00,10.0,-124.1,35,1005
2014-07-08 21:00:00,10.3,-124.8,33,1006
2014-07-09 00:00:00,10.6,-125.5,30,1006
2014-07-09 03:00:00,10.9,-126.2,28,1007
2014-07-09 06:00:00,11.3,-127.0,25,1007
